Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Шелопугинская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6383	305	80	415	149	98	324	259	165	84	257	1073	478	186	883	90	119	180	164	1074									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6441	312	79	425	152	98	326	260	166	86	263	1078	483	191	898	95	124	179	171	1055									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2306	132	45	146	59	55	114	104	72	37	102	273	171	50	355	42	55	91	82	321									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	404	15	6	31	1	0	44	6	22	7	39	31	37	18	21	7	6	15	17	81									
6	Число погашенных избирательных бюллетеней	3731	165	28	248	92	43	168	150	72	42	122	774	275	123	522	46	63	73	72	653									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	404	15	6	31	1	0	44	6	22	7	39	31	37	18	21	7	6	15	17	81									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2306	132	45	146	59	55	114	104	72	37	102	273	171	50	355	42	55	91	82	321									
9	Число недействительных избирательных бюллетеней	42	3	0	1	0	1	1	2	0	2	3	5	7	0	8	1	1	0	2	5									
10	Число действительных избирательных бюллетеней	2668	144	51	176	60	54	157	108	94	42	138	299	201	68	368	48	60	106	97	397									
