Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Советская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427					
1	"Число избирателей, внесенных в список избирателей"	13666	2092	2426	628	189	139	828	595	362	367	558	1190	178	366	410	758	153	947	1480					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13831	2112	2444	647	195	143	840	606	359	371	555	1212	177	371	421	750	148	960	1520					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6542	988	1104	355	103	90	328	309	213	166	293	539	120	172	199	368	85	402	708					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	630	70	58	38	11	8	70	41	19	17	25	34	10	17	25	61	3	57	66					
6	Число погашенных избирательных бюллетеней	6659	1054	1282	254	81	45	442	256	127	188	237	639	47	182	197	321	60	501	746					
7	Число избирательных бюллетеней в переносных ящиках для голосования	630	70	58	38	11	8	70	41	19	17	25	34	10	17	25	61	3	57	66					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6542	988	1104	355	103	90	328	309	213	166	293	539	120	172	199	368	85	402	708					
9	Число недействительных избирательных бюллетеней	164	28	22	7	1	1	14	13	7	3	8	14	0	2	7	6	0	15	16					
10	Число действительных избирательных бюллетеней	7008	1030	1140	386	113	97	384	337	225	180	310	559	130	187	217	423	88	444	758					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	98	25	16	3	0	3	2	4	0	2	6	6	4	4	1	4	0	5	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	94	25	16	3	0	2	2	4	0	2	6	6	4	3	1	2	0	5	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	59	3	7	1	3	1	1	2	0	8	4	3	0	0	3	5	4	9	5					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	950	162	163	35	12	10	46	32	18	19	28	110	14	43	29	66	10	76	77					
		13.25%	15.31%	14.03%	8.91%	10.53%	10.20%	11.56%	9.14%	7.76%	10.38%	8.81%	19.20%	10.77%	22.75%	12.95%	15.38%	11.36%	16.56%	9.95%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1483	228	253	66	25	23	124	55	57	48	61	114	13	47	40	85	29	98	117					
		20.68%	21.55%	21.77%	16.79%	21.93%	23.47%	31.16%	15.71%	24.57%	26.23%	19.18%	19.90%	10.00%	24.87%	17.86%	19.81%	32.95%	21.35%	15.12%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	8	6	2	0	0	3	8	0	5	2	4	0	0	1	1	0	2	3					
		0.63%	0.76%	0.52%	0.51%	0.00%	0.00%	0.75%	2.29%	0.00%	2.73%	0.63%	0.70%	0.00%	0.00%	0.45%	0.23%	0.00%	0.44%	0.39%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1633	217	277	114	24	19	67	86	27	35	47	112	14	33	55	135	22	85	264					
		22.77%	20.51%	23.84%	29.01%	21.05%	19.39%	16.83%	24.57%	11.64%	19.13%	14.78%	19.55%	10.77%	17.46%	24.55%	31.47%	25.00%	18.52%	34.11%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	62	20	9	1	0	1	0	2	2	4	3	7	1	2	1	1	0	4	4					
		0.86%	1.89%	0.77%	0.25%	0.00%	1.02%	0.00%	0.57%	0.86%	2.19%	0.94%	1.22%	0.77%	1.06%	0.45%	0.23%	0.00%	0.87%	0.52%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2812	391	429	165	52	44	144	153	119	67	169	210	88	62	90	131	27	178	293					
		39.21%	36.96%	36.92%	41.98%	45.61%	44.90%	36.18%	43.71%	51.29%	36.61%	53.14%	36.65%	67.69%	32.80%	40.18%	30.54%	30.68%	38.78%	37.86%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	23	4	3	3	0	0	0	1	2	2	0	2	0	0	1	4	0	1	0					
		0.32%	0.38%	0.26%	0.76%	0.00%	0.00%	0.00%	0.29%	0.86%	1.09%	0.00%	0.35%	0.00%	0.00%	0.45%	0.93%	0.00%	0.22%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
