Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Азнакаевская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27614	1524	1342	1478	1363	1452	1391	1470	1315	1414	1353	1404	1417	1301	1320	1288	1511	1249	1277	1356	1389									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27701	1530	1355	1487	1382	1456	1398	1483	1320	1420	1376	1420	1433	1330	1302	1306	1388	1262	1283	1367	1403									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22734	1388	1244	1214	1166	1233	1187	1221	1136	740	1145	1225	1324	1202	598	1151	1222	1103	1150	863	1222									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	615	8	21	56	24	16	31	23	72	4	34	53	37	23	21	35	138	8	6	3	2									
6	Число погашенных избирательных бюллетеней	4352	134	90	217	192	207	180	239	112	676	197	142	72	105	683	120	28	151	127	501	179									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	615	8	21	56	24	16	31	23	72	4	34	53	37	23	21	35	138	8	6	3	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22711	1388	1244	1214	1166	1233	1187	1198	1136	740	1145	1225	1324	1202	598	1151	1222	1103	1150	863	1222									
9	Число недействительных избирательных бюллетеней	137	0	0	0	0	20	0	24	0	28	2	0	19	0	17	7	7	6	7	0	0									
10	Число действительных избирательных бюллетеней	23189	1396	1265	1270	1190	1229	1218	1197	1208	716	1177	1278	1342	1225	602	1179	1353	1105	1149	866	1224									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	612	30	30	30	30	30	32	30	30	30	30	30	30	30	30	30	30	30	30	30	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	448	27	16	16	17	14	30	23	23	16	25	23	22	24	17	23	26	18	23	25	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	10	4	5	3	0	6	7	12	3	5	5	3	8	8	8	10	3	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	164	3	14	14	13	16	2	7	7	14	5	7	8	6	13	7	4	12	7	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	3	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	4	3	1									
