Выборы Президента Российской Федерации																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Муромская																																																																																								
																																																																																								
Итоги голосования 																																																																																								
																																																																																								
		Сумма	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903					
1	"Число избирателей, внесенных в список"	126435	1151	1280	2145	1948	2184	2685	2334	1071	1261	1994	2343	2223	2262	2732	2233	2310	2113	2141	2687	2021	2279	1734	925	1783	2795	2181	2601	2408	2816	2272	2197	2672	2941	2566	2586	2548	2327	2858	2899	2246	2198	2463	2366	2358	2534	2140	2567	1278	264	642	966	334	283	2079	1466	1771	210	1508	453	367	210	372	753	633	995	210	286	379	375	516	808	412	212	664	1038	182	323	385	219	320	144					
2	Число полученных избирательных бюллетеней	122239	1100	1250	2100	1900	2100	2600	2250	1000	1250	1900	2300	2200	2200	2650	2200	2250	2050	2100	2600	2000	2200	1700	900	1750	2700	1900	2500	2300	2700	2200	2150	2550	2800	2500	2500	2500	2200	2750	2800	2100	2100	2400	2250	2200	2500	2100	2500	1250	260	620	950	330	270	2000	1400	1700	210	1500	450	370	200	370	720	630	950	200	270	370	360	500	800	400	200	650	1000	177	300	410	200	320	152					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	67342	578	681	1024	906	1229	1404	1260	520	713	944	1146	1064	1264	1449	1070	1239	1114	1097	1417	1008	1160	820	403	909	1286	895	1396	1223	1412	1184	1048	1265	1611	1398	1248	1290	1244	1331	1297	906	1046	1391	1259	1389	1417	1120	1473	907	162	474	786	195	193	1224	798	961	114	1054	302	244	139	229	423	487	737	167	169	265	261	311	546	260	145	458	794	124	264	203	81	214	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	6146	53	51	56	78	61	70	48	64	49	77	108	72	81	35	73	46	80	44	45	49	67	62	66	93	100	317	82	42	76	92	83	74	49	92	62	64	45	99	108	116	94	51	144	104	66	118	54	127	64	57	35	57	50	83	77	127	54	147	81	59	36	89	136	98	78	13	68	67	64	87	110	55	29	68	97	33	24	122	99	61	34					
6	Число погашенных избирательных бюллетеней	48751	469	518	1020	916	810	1126	942	416	488	879	1046	1064	855	1166	1057	965	856	959	1138	943	973	818	431	748	1314	688	1022	1035	1212	924	1019	1211	1140	1010	1190	1146	911	1320	1395	1078	960	958	847	707	1017	862	973	216	34	89	129	78	27	693	525	612	42	299	67	67	25	52	161	45	135	20	33	38	35	102	144	85	26	124	109	20	12	85	20	45	15					
7	Число избирательных бюллетеней в переносных ящиках	6146	53	51	56	78	61	70	48	64	49	77	108	72	81	35	73	46	80	44	45	49	67	62	66	93	100	317	82	42	76	92	83	74	49	92	62	64	45	99	108	116	94	51	144	104	66	118	54	127	64	57	35	57	50	83	77	127	54	147	81	59	36	89	136	98	78	13	68	67	64	87	110	55	29	68	97	33	24	122	99	61	34					
8	Число бюллетеней в стационарных ящиках для голосования	67316	578	681	1024	906	1229	1401	1258	520	713	943	1146	1064	1261	1449	1070	1238	1114	1096	1412	1008	1159	820	403	909	1286	895	1395	1218	1412	1184	1048	1265	1611	1398	1248	1290	1244	1331	1297	905	1046	1391	1259	1389	1417	1120	1473	907	162	474	786	195	193	1223	798	961	114	1054	302	244	139	229	423	487	736	167	169	265	261	311	546	260	145	458	794	124	264	203	81	214	103					
9	Число недействительных избирательных бюллетеней	607	12	5	7	12	8	11	14	9	7	8	12	5	10	14	10	8	8	10	9	8	11	5	12	5	7	5	7	16	8	12	5	12	15	14	15	12	10	7	8	7	8	13	5	13	13	7	15	7	2	7	2	2	2	15	10	15	0	9	4	3	1	0	16	3	4	2	2	2	4	6	10	1	2	8	3	2	5	2	2	0	0					
10	Число действительных избирательных бюллетеней	72855	619	727	1073	972	1282	1460	1292	575	755	1012	1242	1131	1332	1470	1133	1276	1186	1130	1448	1049	1215	877	457	997	1379	1207	1470	1244	1480	1264	1126	1327	1645	1476	1295	1342	1279	1423	1397	1014	1132	1429	1398	1480	1470	1231	1512	1027	224	524	819	250	241	1291	865	1073	168	1192	379	300	174	318	543	582	810	178	235	330	321	392	646	314	172	518	888	155	283	323	178	275	137					
