Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Светловская поселковая											
											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)											
											
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086					
1	"Число избирателей, внесенных в списки"	10166	2774	2248	3079	2065					
2	"Число бюллетеней, полученных участковыми комиссиями"	9675	2760	2230	2700	1985					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	581	33	22	501	25					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6087	1629	1275	1856	1327					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	124	12	10	93	9					
6	Число погашенных бюллетеней	2883	1086	923	250	624					
7	Число бюллетеней в переносных ящиках для голосования	705	45	32	594	34					
8	Число бюллетеней в стационарных ящиках для голосования	6082	1628	1275	1852	1327					
9	Число недействительных бюллетеней	62	15	13	20	14					
10	Число действительных бюллетеней	6725	1658	1294	2426	1347					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	293	73	70	100	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	103	21	22	43	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	3	4	0	15					
14	Число погашенных открепительных удостоверений	190	52	48	57	33					
15	Число открепительных удостоверений выданных ТИК	7	1	3	0	3					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	77	10	11	37	19					
		1.13%	0.59%	0.84%	1.51%	1.39%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	212	34	40	99	39					
		3.12%	2.03%	3.06%	4.04%	2.86%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	239	86	68	41	44					
		3.52%	5.14%	5.20%	1.67%	3.23%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	217	62	53	52	50					
		3.19%	3.70%	4.05%	2.12%	3.67%					
22	"5. ""За Русь Святую"""	43	14	9	11	9					
		0.63%	0.83%	0.68%	0.44%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	5	4	23	4					
		0.53%	0.29%	0.30%	0.94%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	100	12	16	59	13					
		1.47%	0.71%	1.22%	2.41%	0.95%					
25	"8. ""Народно-республиканская партия России"""	14	1	2	8	3					
		0.20%	0.05%	0.15%	0.32%	0.22%					
26	"9. ""Российская экологическая партия ""Зеленые"""	56	11	7	30	8					
		0.82%	0.65%	0.53%	1.22%	0.58%					
27	"10. ""Аграрная партия России"""	43	10	5	13	15					
		0.63%	0.59%	0.38%	0.53%	1.10%					
28	"11. ""Истинные патриоты России"""	43	0	0	40	3					
		0.63%	0.0%	0.0%	1.63%	0.22%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	119	34	22	33	30					
		1.75%	2.03%	1.68%	1.34%	2.20%					
30	"13. ""Демократическая партия России"""	24	3	4	13	4					
		0.35%	0.17%	0.30%	0.53%	0.29%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	0	3	9	5					
		0.25%	0.0%	0.22%	0.36%	0.36%					
32	"15. ""Партия СЛОН"""	36	0	2	34	0					
		0.53%	0.0%	0.15%	1.39%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	385	124	116	28	117					
		5.67%	7.41%	8.87%	1.14%	8.59%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	2	3	17	5					
		0.39%	0.11%	0.22%	0.69%	0.36%					
35	"18. ""ЛДПР"""	1354	286	183	664	221					
		19.94%	17.09%	14.00%	27.14%	16.23%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	72	23	11	21	17					
		1.06%	1.37%	0.84%	0.85%	1.24%					
37	"20. ""Политическая партия ""Единая Россия"""	2269	617	467	735	450					
		33.43%	36.87%	35.73%	30.04%	33.06%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	0	3	7	1					
		0.16%	0.0%	0.22%	0.28%	0.07%					
39	"22. ""Развитие предпринимательства"""	34	6	4	21	3					
		0.50%	0.35%	0.30%	0.85%	0.22%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	590	166	141	135	148					
		8.69%	9.92%	10.78%	5.51%	10.87%					
											
41	Против всех	707	152	120	296	139					
		10.41%	9.08%	9.18%	12.10%	10.21%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
