Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Инжавинская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136					
1	"Число избирателей, внесенных в список избирателей"	19209	864	2112	858	766	1170	692	608	886	376	402	184	461	588	207	97	372	116	429	147	70	137	76	1111	583	420	354	478	331	254	249	251	387	373	188	177	590	205	677	352	273	201	137					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17570	800	2000	800	700	1000	650	500	900	350	400	180	450	500	200	100	350	110	400	140	70	130	70	1000	500	400	300	450	300	200	200	200	350	300	180	150	550	200	600	300	250	200	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8912	351	742	384	295	454	325	314	371	157	214	108	179	305	102	42	179	79	313	72	55	97	43	484	232	205	149	230	131	110	144	136	174	161	102	102	200	126	454	178	161	165	87					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2666	38	120	90	66	38	74	31	53	65	56	71	115	37	65	33	64	29	84	60	14	29	19	140	130	110	72	58	78	56	51	25	77	92	51	15	126	51	123	50	57	29	24					
6	Число погашенных избирательных бюллетеней	5992	411	1138	326	339	508	251	155	476	128	130	1	156	158	33	25	107	2	3	8	1	4	8	376	138	85	79	162	91	34	5	39	99	47	27	33	224	23	23	72	32	6	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2666	38	120	90	66	38	74	31	53	65	56	71	115	37	65	33	64	29	84	60	14	29	19	140	130	110	72	58	78	56	51	25	77	92	51	15	126	51	123	50	57	29	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8910	351	741	384	295	454	325	314	371	157	213	108	179	305	102	42	179	79	313	72	55	97	43	484	232	205	149	230	131	110	144	136	174	161	102	102	200	126	454	178	161	165	87					
9	Число недействительных избирательных бюллетеней	232	4	26	1	4	9	3	3	7	2	0	8	2	5	0	0	3	0	38	0	0	3	0	27	61	3	2	2	1	0	1	2	2	1	2	0	3	1	0	3	2	1	0					
10	Число действительных избирательных бюллетеней	11344	385	835	473	357	483	396	342	417	220	269	171	292	337	167	75	240	108	359	132	69	123	62	597	301	312	219	286	208	166	194	159	249	252	151	117	323	176	577	225	216	193	111					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	181	5	10	5	10	5	5	5	10	3	3	2	2	3	2	2	5	4	5	2	2	3	2	10	6	3	5	5	4	3	5	3	4	2	3	5	7	2	5	3	3	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	96	0	9	4	8	5	3	2	6	1	1	1	1	3	0	1	3	2	0	1	1	1	0	7	4	2	5	4	0	0	2	0	0	1	2	5	5	2	1	1	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	106	3	5	5	5	0	1	3	3	5	0	1	0	10	1	1	0	0	2	0	0	0	1	54	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	85	5	1	1	2	0	2	3	4	2	2	1	1	0	2	1	2	2	5	1	1	2	2	3	2	1	0	1	4	3	3	3	4	1	1	0	2	0	4	2	2	5	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
