Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																				
																																																																																				
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414					
1	"Число избирателей, внесенных в списки"	135293	1297	1380	1721	1320	1092	2561	2198	1081	2410	1047	2260	2038	2898	3005	1239	1176	1966	1303	2113	1847	3123	1637	2970	2036	1920	1223	3091	2808	1310	2662	611	1547	2079	813	997	902	2145	2264	1657	2650	2489	1339	2393	2066	474	2155	1635	1404	2454	2164	752	1028	2474	976	465	1451	2926	864	1437	1111	2910	3061	2488	1685	2169	2222	1845	1610	2678	1784	2139	3127	63	119	96	126	717					
2	"Число бюллетеней, полученных участковыми комиссиями"	132361	1118	1376	1689	1280	1049	2272	2137	1025	2362	929	2194	1971	2850	2953	1213	1164	1905	1324	2102	1833	2837	1554	2757	3065	1889	1233	3091	2729	1285	2675	640	1532	2062	780	956	901	2057	1702	1587	2653	2243	1276	2321	2067	350	2265	1395	1399	2421	2173	695	1022	2328	965	443	1420	2881	849	1444	1130	2919	2924	2482	1671	2133	2153	1800	1545	2608	1757	2139	3011	64	145	100	162	930					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	90395	659	873	1229	721	464	1868	1516	755	1643	586	1568	1484	1753	2121	794	790	1324	896	1376	1243	1959	1154	1897	2024	1263	770	2088	1905	894	1747	446	1100	1428	564	675	677	1489	1429	1169	1778	1571	974	1603	1370	338	1502	999	907	1639	1450	442	686	1523	609	308	1021	1970	570	946	772	1852	1908	1674	1225	1411	1506	1199	1080	1819	1294	1526	2220	54	115	67	126	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2694	40	13	23	7	57	58	37	19	47	26	29	34	25	13	9	22	35	27	23	15	32	19	38	12	8	27	29	23	8	39	9	39	49	20	12	28	20	5	36	43	3	32	19	37	8	43	16	21	31	25	21	11	32	22	18	40	27	14	46	12	37	32	16	33	36	34	40	33	66	34	22	26	9	0	26	0	717					
6	Число погашенных бюллетеней	39259	419	490	437	552	528	346	584	251	672	317	592	453	1072	819	410	352	546	401	705	575	846	380	822	1029	618	436	974	801	383	889	185	393	585	196	269	196	548	268	382	832	669	270	699	660	4	720	380	471	751	698	232	325	773	334	117	359	884	265	452	346	1030	984	781	413	686	613	561	432	723	431	591	765	1	30	7	36	213					
7	Число бюллетеней в переносных ящиках для голосования	2694	40	13	23	7	57	58	37	19	47	26	29	34	25	13	9	22	35	27	23	15	32	19	38	12	8	27	29	23	8	39	9	39	49	20	12	28	20	5	36	43	3	32	19	37	8	43	16	21	31	25	21	11	32	22	18	40	27	14	46	12	37	32	16	33	36	34	40	33	66	34	22	26	9	0	26	0	717					
8	Число бюллетеней в стационарных ящиках для голосования	90276	659	873	1229	721	453	1868	1516	755	1643	717	1568	1484	1753	2121	793	768	1322	896	1374	1242	1959	1154	1897	2073	1263	770	2087	1905	894	1747	446	1098	1428	564	675	677	1489	1429	1169	1779	1571	971	1603	1369	338	1499	999	907	1635	1348	442	686	1389	610	308	1020	1967	570	946	771	1852	1905	1673	1222	1411	1514	1198	1080	1819	1290	1523	2220	54	115	67	126	0					
9	Число недействительных бюллетеней	1721	20	11	19	15	13	37	38	15	41	14	61	52	29	41	17	20	29	14	16	27	27	13	39	42	65	26	27	22	6	46	6	14	31	6	12	6	37	15	14	54	9	10	26	33	5	14	7	0	28	23	3	12	8	16	6	19	19	15	9	9	38	32	25	28	48	41	29	41	20	14	37	42	3	10	2	1	2					
10	Число действительных бюллетеней	91249	679	875	1233	713	497	1889	1515	759	1649	729	1536	1466	1749	2093	785	770	1328	909	1381	1230	1964	1160	1896	2043	1206	771	2089	1906	896	1740	449	1123	1446	578	675	699	1472	1419	1191	1768	1565	993	1596	1373	341	1528	1008	928	1638	1350	460	685	1413	616	320	1041	1975	569	983	774	1851	1905	1664	1227	1399	1507	1209	1072	1865	1310	1508	2204	60	105	91	125	715					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3575	40	40	40	40	40	40	40	40	40	40	40	45	45	60	40	40	40	40	40	40	40	40	45	150	40	40	60	40	40	60	40	40	40	40	40	40	40	78	40	40	178	40	40	40	40	65	40	40	40	40	40	40	40	40	40	40	66	40	40	40	45	179	40	40	40	40	40	40	40	40	40	179	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	3187	26	40	40	40	31	40	37	35	40	24	39	42	44	59	35	38	40	40	40	40	40	37	45	131	40	36	60	40	40	60	28	39	40	26	26	28	40	76	40	39	175	40	40	39	25	65	38	40	40	38	17	39	40	39	11	38	66	25	40	36	45	107	39	37	39	38	40	36	39	40	40	115	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3240	151	23	20	14	12	324	63	23	65	33	37	18	13	35	4	31	50	12	33	20	162	13	26	31	23	11	17	12	11	17	14	49	19	10	25	17	9	30	20	22	23	15	14	20	13	68	11	18	31	20	13	11	17	0	15	52	24	13	20	13	6	16	12	23	12	16	85	12	25	44	29	27	5	97	39	126	736					
14	Число погашенных открепительных удостоверений	388	14	0	0	0	9	0	3	5	0	16	1	3	1	1	5	2	0	0	0	0	0	3	0	19	0	4	0	0	0	0	12	1	0	14	14	12	0	2	0	1	3	0	0	1	15	0	2	0	0	2	23	1	0	1	29	2	0	15	0	4	0	72	1	3	1	2	0	4	1	0	0	64	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	26	1	1	0	0	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0					
16	Число утраченных бюллетеней	17	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
																																																																																				
