Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Красноармейская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957					
1	"Число избирателей, внесенных в список"	73676	1550	2576	2223	1146	1244	1260	946	2668	1315	2409	1111	795	848	1950	2172	1511	1436	320	627	364	326	397	553	2266	727	972	350	106	160	1851	2015	2478	810	561	943	939	999	1176	1495	1051	1101	2448	2615	2734	1720	1074	2133	844	1784	226	174	612	1936	1015	2000	1214	1400					
2	Число полученных избирательных бюллетеней	74197	1600	2500	2250	1050	1250	1350	1050	2700	1500	2400	1000	800	850	1900	2100	1500	1400	320	660	370	320	380	600	2300	800	910	400	113	182	1800	2000	2400	800	550	900	1010	1030	1150	1500	1050	1100	2500	2600	2800	1700	1050	2100	850	1750	210	182	610	2050	1250	2000	1300	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46642	901	1353	1496	671	638	669	506	1374	943	1572	578	445	592	1385	1540	947	945	275	543	288	230	327	424	1530	616	754	281	99	142	926	1120	1483	505	288	556	614	769	706	1085	791	913	1603	1853	1915	1158	614	1302	444	1054	145	108	391	1064	707	1086	612	766					
5	"Число избирательных бюллетеней, выданных вне помещения"	5121	73	157	69	49	139	145	102	138	70	97	88	100	103	112	90	45	136	7	37	16	25	31	21	231	51	90	22	0	7	177	209	139	76	113	140	116	131	138	204	164	82	17	36	14	64	81	248	85	56	15	16	59	141	61	102	115	71					
6	Число погашенных избирательных бюллетеней	22434	626	990	685	330	473	536	442	1188	487	731	334	255	155	403	470	508	319	38	80	66	65	22	155	539	133	66	97	14	33	697	671	778	219	149	204	280	130	306	211	95	105	880	711	871	478	355	550	321	640	50	58	160	845	482	812	573	563					
7	Число избирательных бюллетеней в переносных ящиках	5121	73	157	69	49	139	145	102	138	70	97	88	100	103	112	90	45	136	7	37	16	25	31	21	231	51	90	22	0	7	177	209	139	76	113	140	116	131	138	204	164	82	17	36	14	64	81	248	85	56	15	16	59	141	61	102	115	71					
8	Число бюллетеней в стационарных ящиках для голосования	46640	901	1353	1496	671	638	669	506	1374	943	1572	578	445	592	1385	1540	947	945	275	543	288	230	327	424	1530	616	754	281	99	142	926	1120	1483	505	288	556	614	769	706	1085	791	913	1603	1853	1915	1158	614	1302	444	1052	145	108	391	1064	707	1086	612	766					
9	Число недействительных избирательных бюллетеней	690	11	37	13	6	25	2	1	9	7	29	6	12	17	25	38	15	11	5	3	1	0	2	5	19	6	1	5	1	0	15	42	12	13	7	7	15	17	18	27	14	13	10	28	18	5	7	38	8	14	4	0	2	6	16	8	4	10					
10	Число действительных избирательных бюллетеней	51071	963	1473	1552	714	752	812	607	1503	1006	1640	660	533	678	1472	1592	977	1070	277	577	303	255	356	440	1742	661	843	298	98	149	1088	1287	1610	568	394	689	715	883	826	1262	941	982	1610	1861	1911	1217	688	1512	521	1094	156	124	448	1199	752	1180	723	827					
