Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Копейская городская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924					
1	"Число избирателей, внесенных в список"	104514	2217	1056	1149	1576	1931	2156	1774	2136	740	1860	687	1221	2623	1984	1675	2445	2332	2119	1615	1209	1108	816	1440	1737	634	1832	1163	2120	1976	2829	1796	2781	2562	2543	2709	2701	2352	670	1468	1041	1263	1736	1195	1875	1170	1677	2764	2700	1340	914	1406	2042	1340	2040	2126	2075	2799	1635	265	209	1160					
2	Число полученных избирательных бюллетеней	102000	2170	1020	1200	1530	1940	2110	1680	2130	740	1820	650	990	2700	1940	1640	2350	2280	2080	1580	1190	1050	800	1380	1750	580	1800	1130	2100	1960	2750	1760	2700	2540	2510	2670	2680	2380	670	1440	1020	1260	1640	1130	1790	1130	1620	2720	2580	1320	910	1310	1980	1300	1980	2060	2030	2720	1570	260	200	1080					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56306	1026	491	589	633	1000	1372	891	1070	347	990	293	540	1415	1107	804	1280	1368	1159	828	661	634	477	771	905	369	1086	693	1314	1179	1660	1085	1402	1405	1366	1484	1615	1417	259	736	350	639	918	590	860	635	821	1672	1475	708	456	616	912	726	1240	1155	1207	1598	1001	174	140	692					
5	"Число избирательных бюллетеней, выданных вне помещения"	6844	228	81	160	209	83	92	187	128	75	92	90	282	127	188	203	53	59	72	81	42	213	38	42	165	67	75	57	55	67	154	90	211	194	142	107	88	154	110	134	152	126	100	83	122	155	184	85	174	61	73	155	76	49	98	89	94	70	34	27	7	135					
6	Число погашенных избирательных бюллетеней	38850	916	448	451	688	857	646	602	932	318	738	267	168	1158	645	633	1017	853	849	671	487	203	285	567	680	144	639	380	731	714	936	585	1087	941	1002	1079	977	809	301	570	518	495	622	457	808	340	615	963	931	551	381	539	992	525	642	816	729	1052	535	59	53	253					
7	Число избирательных бюллетеней в переносных ящиках	6844	228	81	160	209	83	92	187	128	75	92	90	282	127	188	203	53	59	72	81	42	213	38	42	165	67	75	57	55	67	154	90	211	194	142	107	88	154	110	134	152	126	100	83	122	155	184	85	174	61	73	155	76	49	98	89	94	70	34	27	7	135					
8	Число бюллетеней в стационарных ящиках для голосования	56284	1026	491	589	633	1000	1372	890	1070	347	990	293	540	1414	1107	804	1280	1368	1159	828	660	634	477	771	905	368	1086	693	1314	1179	1660	1085	1402	1405	1366	1472	1615	1417	259	736	349	639	918	588	860	635	821	1672	1475	708	456	616	912	724	1240	1155	1207	1598	1000	174	140	692					
9	Число недействительных избирательных бюллетеней	639	9	3	11	3	20	12	15	21	6	16	2	13	7	26	4	15	15	8	19	5	5	3	3	15	5	8	14	7	0	5	19	13	14	13	9	16	15	2	11	11	14	6	6	11	0	10	16	21	8	5	6	17	16	12	12	11	25	10	0	3	12					
10	Число действительных избирательных бюллетеней	62489	1245	569	738	839	1063	1452	1062	1177	416	1066	381	809	1534	1269	1003	1318	1412	1223	890	697	842	512	810	1055	430	1153	736	1362	1246	1809	1156	1600	1585	1495	1570	1687	1556	367	859	490	751	1012	665	971	790	995	1741	1628	761	524	765	971	757	1326	1232	1290	1643	1024	201	144	815					
11	Число полученных открепительных  удостоверений	691	14	6	8	10	12	19	11	14	5	11	4	6	17	13	11	15	15	13	10	8	9	5	9	26	4	12	7	14	13	18	11	17	15	15	17	27	15	4	9	7	8	10	7	12	7	10	18	17	9	6	8	13	8	13	13	13	18	10	4	4	7					
12	Число выданных открепительных удостоверений	439	7	1	8	10	9	17	11	13	0	1	1	4	8	6	0	6	9	11	7	7	7	5	7	16	4	6	6	14	11	11	11	12	8	9	10	21	4	2	3	2	1	10	4	7	3	6	11	7	2	2	3	12	4	9	13	7	18	8	0	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	351	8	6	4	1	6	4	3	5	0	4	4	1	17	16	3	6	5	3	2	2	9	1	6	11	1	7	6	7	6	8	9	7	6	8	9	6	10	3	3	1	4	3	5	10	3	1	7	4	5	3	7	2	1	5	1	12	9	29	2	7	7					
14	Число неиспользованных открепительных удостоверений	252	7	5	0	0	3	2	0	1	5	10	3	2	9	7	11	9	6	2	3	1	2	0	2	10	0	6	1	0	2	7	0	5	7	6	7	6	11	2	6	5	7	0	3	5	4	4	7	10	7	4	5	1	4	4	0	6	0	2	4	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	42	0	0	0	0	3	2	1	1	0	2	1	0	0	1	1	0	1	2	0	1	1	1	0	2	1	0	1	2	1	0	2	1	1	1	2	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	2447	56	26	19	35	25	48	36	14	10	39	25	17	43	46	30	60	63	50	50	25	37	16	38	39	20	49	31	82	61	97	45	54	74	69	82	86	65	14	36	17	25	31	16	26	33	35	70	57	20	10	23	34	29	57	52	60	56	48	8	6	22					
