Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Дзержинская, Калининская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №922					
1	"Число избирателей, внесенных в список избирателей"	100370	1337	1254	772	2346	1373	1609	1799	526	639	924	688	3020	2098	1713	2528	2839	2255	2001	1272	1212	1720	1277	1117	1754	1391	1401	1826	2324	1305	1456	2473	2475	216	1072	466	2329	2304	2152	2501	1790	2019	1429	1259	2491	2530	1928	2123	2024	2126	1322	1830	1598	2109	2127	1927	2090	1881	1875	128					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	72950	1000	900	600	2100	1000	1100	1300	400	500	700	500	2100	1400	1100	1800	2000	1600	1400	900	900	1200	900	800	1300	1000	1000	1300	1700	1000	1100	1800	1800	200	800	400	1700	1700	1600	1800	1300	1500	1000	900	1800	1800	1400	1500	1500	1600	1000	1300	1200	1500	1500	1400	1500	1400	1300	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	42926	463	485	115	1625	644	651	743	253	259	235	250	1457	1023	758	1070	1170	962	907	657	559	652	515	325	776	601	635	841	983	514	557	979	970	5	476	96	608	1039	942	995	756	913	680	500	1110	1100	848	906	903	895	678	872	652	947	924	904	931	847	720	45					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1996	46	63	307	22	24	8	21	45	40	79	85	52	41	34	20	52	32	28	24	14	21	15	17	21	18	7	7	12	14	17	24	8	78	11	27	12	13	28	40	16	18	14	33	46	15	9	25	20	26	14	22	18	37	30	74	16	29	39	68					
6	Число погашенных избирательных бюллетеней	28028	491	352	178	453	332	441	536	102	201	386	165	591	336	308	710	778	606	465	219	327	527	370	458	503	381	358	452	705	472	526	797	822	117	313	277	1080	648	630	765	528	569	306	367	644	685	543	569	577	679	308	406	530	516	546	422	553	524	541	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1989	46	63	307	22	24	8	21	45	40	79	78	52	41	34	20	52	32	28	24	14	21	15	17	21	18	7	7	12	14	17	24	8	78	11	27	12	13	28	40	16	18	14	33	46	15	9	25	20	26	14	22	18	37	30	74	16	29	39	68					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42880	463	484	115	1603	644	651	743	253	259	235	250	1457	1020	758	1070	1170	962	907	657	559	652	515	325	774	601	635	841	983	514	557	979	970	5	476	96	608	1039	942	995	756	913	680	500	1110	1100	848	906	903	895	663	872	652	947	924	904	931	844	720	45					
9	Число недействительных избирательных бюллетеней	622	9	5	8	11	11	6	8	2	5	1	4	19	14	7	18	28	20	18	5	1	13	7	8	15	8	4	11	14	13	6	20	23	0	10	3	12	13	10	13	12	17	10	6	23	17	5	10	21	7	12	4	9	7	14	12	9	8	15	1					
10	Число действительных избирательных бюллетеней	44247	500	542	414	1614	657	653	756	296	294	313	324	1490	1047	785	1072	1194	974	917	676	572	660	523	334	780	611	638	837	981	515	568	983	955	83	477	120	608	1039	960	1022	760	914	684	527	1133	1098	852	921	902	914	665	890	661	977	940	966	938	865	744	112					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1347	10	10	3	10	20	13	28	10	10	10	10	30	15	13	50	35	26	25	24	20	25	18	20	20	28	14	21	32	20	18	45	40	3	10	10	23	32	25	33	35	30	30	15	32	35	25	30	32	33	20	24	30	32	35	25	25	30	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1262	10	10	2	9	15	13	28	8	9	4	6	27	14	13	47	33	24	21	24	19	24	18	19	16	27	13	20	32	18	15	45	39	2	1	4	23	31	25	32	35	30	29	15	32	34	22	30	32	33	17	23	27	32	33	24	24	30	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1286	18	13	80	7	30	41	34	24	17	25	43	131	187	157	9	14	30	8	14	9	13	14	15	14	14	9	11	13	9	8	7	8	2	6	0	7	11	4	19	8	10	12	7	8	20	4	6	3	14	10	18	8	14	17	16	10	6	14	6					
14	Число погашенных неиспользованных открепительных удостоверений	85	0	0	1	1	5	0	0	2	1	6	4	3	1	0	3	2	2	4	0	1	1	0	1	4	1	1	1	0	2	3	0	1	1	9	6	0	1	0	1	0	0	1	0	0	1	3	0	0	0	3	1	3	0	2	1	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	102	0	0	0	1	0	0	1	0	0	1	0	4	0	3	3	1	2	6	1	2	2	5	1	2	0	0	0	3	1	0	0	1	2	0	0	7	1	1	1	0	4	4	1	1	3	1	3	2	5	2	2	4	1	3	2	8	4	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6478	61	49	62	82	84	60	86	39	33	37	34	197	137	94	166	185	182	143	141	89	101	94	60	134	106	120	112	136	66	94	167	133	12	85	17	71	132	148	146	106	148	135	92	147	185	138	130	119	155	104	179	114	194	185	76	127	130	102	17					
		14.44%	11.98%	8.96%	14.69%	5.05%	12.57%	9.10%	11.26%	13.09%	11.04%	11.78%	10.37%	13.06%	12.91%	11.87%	15.23%	15.14%	18.31%	15.29%	20.70%	15.53%	15.01%	17.74%	17.54%	16.86%	17.12%	18.69%	13.21%	13.67%	12.50%	16.38%	16.65%	13.60%	14.46%	17.45%	13.82%	11.45%	12.55%	15.26%	14.11%	13.73%	15.90%	19.45%	17.26%	12.72%	16.59%	16.10%	13.96%	12.89%	16.83%	15.36%	20.02%	17.01%	19.72%	19.39%	7.77%	13.41%	14.89%	13.44%	15.04%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6156	65	74	39	234	88	117	117	37	21	30	39	201	133	94	186	165	91	111	66	77	106	70	54	105	89	96	133	180	68	88	121	159	14	77	16	92	156	109	135	107	110	96	75	189	182	116	141	134	160	80	128	96	130	103	110	116	102	117	11					
		13.72%	12.77%	13.53%	9.24%	14.40%	13.17%	17.75%	15.31%	12.42%	7.02%	9.55%	11.89%	13.32%	12.54%	11.87%	17.06%	13.50%	9.15%	11.87%	9.69%	13.44%	15.75%	13.21%	15.79%	13.21%	14.38%	14.95%	15.68%	18.09%	12.88%	15.33%	12.06%	16.26%	16.87%	15.81%	13.01%	14.84%	14.83%	11.24%	13.04%	13.86%	11.82%	13.83%	14.07%	16.35%	16.32%	13.54%	15.15%	14.52%	17.37%	11.82%	14.32%	14.33%	13.21%	10.80%	11.25%	12.25%	11.68%	15.42%	9.73%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	443	6	10	2	10	4	4	8	3	2	1	0	10	9	8	9	18	17	16	6	6	12	4	3	7	3	11	5	6	2	4	4	13	0	8	1	4	12	12	13	9	6	6	2	12	12	11	8	6	10	6	8	8	15	8	10	14	9	8	2					
