Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
"Наименование Избирательной комиссии:    Дзержинская, Калининская"																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №940					
1	"Число избирателей, внесенных в списки избирателей"	104593	1292	1318	562	1833	1392	2805	1894	519	628	858	733	1831	1150	1986	1671	1773	1821	1877	1865	1810	1726	1369	1310	1484	1295	1280	1988	1433	1460	1908	2395	1374	1490	1465	2031	1708	223	1229	487	1971	1908	1488	1814	1248	1388	1928	2143	1312	1160	1447	1880	2234	1965	2111	2098	1239	1075	1262	1270	1203	1167	1049	1539	1583	1059	1507	1016	1035	1699	1343	179					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	86950	1000	1000	500	1500	1000	2000	1500	500	500	600	500	1500	1000	1500	1500	1500	1500	1500	1500	1500	1500	1000	1000	1100	1000	1000	2000	1100	1100	1500	2000	1000	1500	1100	2000	1500	150	1000	400	1500	1500	1100	1500	1000	1000	1500	2000	1000	1000	1100	1500	2000	1500	2000	2000	1000	1000	1000	1000	1000	1000	1000	1500	1500	1000	1500	1000	1000	1500	1000	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	51609	654	534	262	1133	719	1682	841	268	272	249	213	915	581	1011	748	925	919	1000	734	915	825	769	691	641	661	397	1002	756	753	1017	1202	654	724	696	993	813	65	620	163	632	969	760	922	638	669	922	1065	740	556	726	929	1170	1031	1095	1137	574	556	697	625	713	596	498	756	818	567	743	515	450	891	569	63					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2606	43	156	35	37	35	29	21	48	45	120	131	7	9	29	25	9	30	25	51	8	128	23	10	40	28	38	35	34	16	16	29	32	18	22	34	30	58	22	43	6	27	20	48	16	55	43	34	17	18	12	15	62	27	33	61	46	26	37	46	19	25	31	34	23	24	21	35	22	51	18	105					
6	Число погашенных избирательных бюллетеней	32734	303	310	203	330	246	289	638	184	183	231	156	578	410	460	727	566	550	475	715	577	547	208	299	419	311	565	963	310	331	467	769	314	758	382	973	657	27	358	194	862	504	320	530	346	276	535	901	243	426	362	556	768	442	872	802	380	418	266	329	268	379	471	710	659	409	736	450	528	558	413	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2606	43	156	35	37	35	29	21	48	45	120	131	7	9	29	25	9	30	25	51	8	128	23	10	40	28	38	35	34	16	16	29	32	18	22	34	30	58	22	43	6	27	20	48	16	55	43	34	17	18	12	15	62	27	33	61	46	26	37	46	19	25	31	34	23	24	21	35	22	51	18	105					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	51603	654	534	262	1133	719	1682	841	268	272	249	213	915	581	1011	748	925	919	999	733	915	825	768	691	641	661	397	1002	756	753	1017	1202	654	724	696	993	813	65	620	163	632	969	760	922	638	669	922	1065	740	556	726	929	1170	1028	1095	1137	574	556	697	625	713	596	498	756	818	567	743	515	450	891	569	63					
9	Число недействительных избирательных бюллетеней	569	7	3	6	11	10	24	8	3	3	0	5	18	6	12	4	10	9	7	10	12	5	6	8	4	2	2	15	10	4	11	15	17	9	11	24	10	0	8	2	8	8	9	8	4	6	18	16	7	6	5	4	9	13	11	19	10	3	3	5	4	4	6	8	7	5	7	2	7	10	6	0					
10	Число действительных избирательных бюллетеней	53640	690	687	291	1159	744	1687	854	313	314	369	339	904	584	1028	769	924	940	1017	774	911	948	785	693	677	687	433	1022	780	765	1022	1216	669	733	707	1003	833	123	634	204	630	988	771	962	650	718	947	1083	750	568	733	940	1223	1042	1117	1179	610	579	731	666	728	617	523	782	834	586	757	548	465	932	581	168					
