Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Иволгинская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33754	298	1505	2492	2789	2014	2909	2112	2414	514	277	1012	1682	2030	1900	289	103	825	647	672	683	959	1306	423	114	1658	618	1509									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28345	290	1300	2000	2000	1500	2600	1900	2000	500	270	800	1500	1700	1500	280	95	800	600	600	600	800	1000	400	110	1500	500	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14089	128	483	911	808	858	1088	988	819	254	130	492	726	1078	979	169	48	393	289	323	421	444	714	217	69	618	246	396									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	408	10	12	17	7	26	35	8	10	8	11	9	54	17	25	8	6	8	26	11	8	23	14	27	6	13	5	4									
6	Число погашенных избирательных бюллетеней	13848	152	805	1072	1185	616	1477	904	1171	238	129	299	720	605	496	103	41	399	285	266	171	333	272	156	35	869	249	800									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	408	10	12	17	7	26	35	8	10	8	11	9	54	17	25	8	6	8	26	11	8	23	14	27	6	13	5	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14073	128	477	906	808	855	1088	988	819	254	130	492	726	1078	978	169	48	393	288	323	421	444	714	217	69	618	246	396									
9	Число недействительных избирательных бюллетеней	386	10	16	27	19	19	24	20	23	11	4	20	27	25	23	1	3	7	15	7	8	24	15	5	1	17	3	12									
10	Число действительных избирательных бюллетеней	14095	128	473	896	796	862	1099	976	806	251	137	481	753	1070	980	176	51	394	299	327	421	443	713	239	74	614	248	388									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	605	10	30	40	40	30	40	30	40	10	10	30	30	30	30	10	5	20	10	10	15	20	30	10	5	30	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	268	2	15	24	29	15	19	18	21	1	0	5	8	18	19	1	5	3	2	5	12	3	12	1	0	13	7	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	194	5	8	0	7	15	4	11	12	4	6	3	11	19	8	6	5	2	4	2	8	4	2	3	2	14	16	13									
14	Число погашенных неиспользованных открепительных удостоверений	337	8	15	16	11	15	21	12	19	9	10	25	22	12	11	9	0	17	8	5	3	17	18	9	5	17	3	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	0	1	1	3	1	2	0	1	0	0	2	2	23	1	0	0	0	0	0	1	1	1	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	102	1	5	11	7	4	4	8	6	1	0	2	5	9	5	2	0	2	0	2	3	6	8	2	0	8	0	1									
		0.70%	0.72%	1.02%	1.19%	0.86%	0.45%	0.36%	0.80%	0.72%	0.38%	0.00%	0.40%	0.64%	0.82%	0.50%	1.13%	0.00%	0.50%	0.00%	0.60%	0.70%	1.28%	1.10%	0.82%	0.00%	1.27%	0.00%	0.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	531	10	20	31	37	30	39	39	27	9	9	19	31	45	35	7	0	12	9	9	20	16	22	6	4	20	8	17									
		3.67%	7.25%	4.09%	3.36%	4.54%	3.41%	3.47%	3.92%	3.26%	3.44%	6.38%	3.79%	3.97%	4.11%	3.49%	3.95%	0.00%	2.99%	2.87%	2.69%	4.66%	3.43%	3.02%	2.46%	5.33%	3.17%	3.19%	4.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	249	3	10	15	12	16	15	26	14	3	2	12	19	11	21	1	2	3	6	5	6	9	10	2	0	15	3	8									
