Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Гиагинская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32					
1	"Число избирателей, внесенных в списки"	25567	2492	1804	2254	2052	1898	1267	981	1297	1070	415	837	178	97	466	1162	1158	713	832	114	1131	175	725	205	598	1514	132					
2	"Число бюллетеней, полученных участковыми комиссиями"	26140	2506	1799	2272	1927	1907	1298	996	1315	1070	427	844	179	99	1005	1183	1150	726	826	117	1144	171	722	200	606	1516	135					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11654	1080	786	984	799	865	557	419	692	506	190	350	119	59	440	495	549	307	322	42	532	95	273	145	220	722	106					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	656	22	31	15	98	24	16	10	28	30	38	44	0	4	26	24	17	14	22	11	56	7	57	0	30	32	0					
6	Число погашенных бюллетеней	13830	1404	982	1273	1030	1018	725	567	595	534	199	450	60	36	539	664	584	405	482	64	556	69	392	55	356	762	29					
7	Число бюллетеней в переносных ящиках для голосования	656	22	31	15	98	24	16	10	28	30	38	44	0	4	26	24	17	14	22	11	56	7	57	0	30	32	0					
8	Число бюллетеней в стационарных ящиках для голосования	11650	1078	786	984	798	865	557	419	692	506	190	350	119	59	440	495	548	307	322	42	532	95	273	145	220	722	106					
9	Число недействительных бюллетеней	199	19	17	10	10	14	2	11	16	7	3	8	3	4	7	5	5	2	5	2	9	0	9	5	5	19	2					
10	Число действительных бюллетеней	12107	1081	800	989	886	875	571	418	704	529	225	386	116	59	459	514	560	319	339	51	579	102	321	140	245	735	104					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	113	5	5	5	5	5	5	5	5	5	2	5	2	2	5	5	5	5	5	5	5	2	5	3	4	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	1	1	1	0	3	3	0	1	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	1	1	4	0	1	1	0	0	5	0	1	0	0	0	1	2	1	0	0	5	2	1	2	0	1	0					
14	Число погашенных открепительных удостоверений	97	4	4	4	5	3	2	5	4	1	1	4	2	2	5	5	5	5	5	5	4	2	5	3	4	5	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	212	12	8	5	16	38	13	8	9	5	0	5	4	2	14	5	9	5	12	1	12	0	3	6	6	12	2					
		1.72%	1.09%	0.97%	0.50%	1.78%	4.27%	2.26%	1.86%	1.25%	0.93%	0.0%	1.26%	3.36%	3.17%	3.00%	0.96%	1.59%	1.55%	3.48%	1.88%	2.04%	0.0%	0.90%	4.13%	2.4%	1.59%	1.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	82	1	8	4	8	3	6	4	5	2	0	2	0	0	4	2	7	7	0	1	2	1	2	2	3	6	2					
		0.66%	0.09%	0.97%	0.40%	0.89%	0.33%	1.04%	0.93%	0.69%	0.37%	0.0%	0.50%	0.0%	0.0%	0.85%	0.38%	1.23%	2.18%	0.0%	1.88%	0.34%	0.98%	0.60%	1.37%	1.2%	0.79%	1.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	303	32	27	15	34	27	18	1	12	12	7	10	0	2	9	10	15	18	10	3	9	0	12	1	6	13	0					
		2.46%	2.90%	3.30%	1.50%	3.79%	3.03%	3.14%	0.23%	1.66%	2.23%	3.07%	2.53%	0.0%	3.17%	1.93%	1.92%	2.65%	5.60%	2.90%	5.66%	1.53%	0.0%	3.63%	0.68%	2.4%	1.72%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	125	9	7	7	17	13	5	6	4	5	1	6	0	0	8	6	7	2	4	0	3	0	1	1	5	7	1					
		1.01%	0.81%	0.85%	0.70%	1.89%	1.46%	0.87%	1.39%	0.55%	0.93%	0.43%	1.52%	0.0%	0.0%	1.71%	1.15%	1.23%	0.62%	1.16%	0.0%	0.51%	0.0%	0.30%	0.68%	2.0%	0.92%	0.94%					
22	"5. ""За Русь Святую"""	60	2	5	4	7	5	4	0	1	3	1	2	1	2	1	9	1	1	1	0	1	0	3	3	1	1	1					
		0.48%	0.18%	0.61%	0.40%	0.78%	0.56%	0.69%	0.0%	0.13%	0.55%	0.43%	0.50%	0.84%	3.17%	0.21%	1.73%	0.17%	0.31%	0.29%	0.0%	0.17%	0.0%	0.90%	2.06%	0.4%	0.13%	0.94%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	3	1	2	3	1	2	4	1	1	0	0	1	1	0	0	1	2	0	0	0	0	0	0	1	2	0					
		0.21%	0.27%	0.12%	0.20%	0.33%	0.11%	0.34%	0.93%	0.13%	0.18%	0.0%	0.0%	0.84%	1.58%	0.0%	0.0%	0.17%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.4%	0.26%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	77	12	3	9	6	10	4	1	4	2	1	1	0	1	2	6	3	1	2	0	2	0	2	1	0	2	2					
