Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Вязниковская																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794					
1	"Число избирателей, внесенных в список"	74888	2176	2048	1925	1883	1920	1838	1809	1687	1878	1930	1624	2008	1104	2345	2142	2333	2534	684	1054	435	883	535	1419	964	1358	1187	490	393	936	212	586	597	1285	1654	1907	733	1050	594	557	527	2330	711	706	324	732	321	2585	1511	1515	499	1893	549	470	997	1847	405	1210	353	512	109	872	1213					
2	Число полученных избирательных бюллетеней	70041	2000	1900	1800	1800	1800	1700	1700	1600	1800	1800	1500	1800	1000	2200	2000	2200	2300	650	1000	400	850	500	1300	900	1300	1100	450	360	900	200	550	550	1200	1500	1800	700	1000	550	500	500	2200	700	700	300	700	300	2300	1400	1400	500	1800	550	450	1000	1700	400	1100	320	500	111	800	1150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36380	1045	985	896	887	819	867	770	815	993	1014	759	1036	534	1142	1004	1328	1363	432	570	130	483	213	706	483	627	600	279	97	491	127	452	247	621	861	997	446	499	328	309	213	1010	409	404	159	344	140	1218	689	699	257	847	268	174	419	792	134	546	201	264	34	350	554					
5	"Число избирательных бюллетеней, выданных вне помещения"	5395	91	131	107	72	130	60	104	41	73	55	111	70	33	107	76	51	37	30	60	117	23	75	27	37	114	38	67	176	113	73	38	140	73	44	70	35	56	62	66	88	158	104	100	33	84	76	138	128	129	69	199	55	142	107	189	88	96	15	63	68	214	169					
6	Число погашенных избирательных бюллетеней	28266	864	784	797	841	851	773	826	744	734	731	630	694	433	951	920	821	900	188	370	153	344	212	567	380	559	462	104	87	296	0	60	163	506	595	733	219	445	160	125	199	1032	187	196	108	272	84	944	583	572	174	754	227	134	474	719	178	458	104	173	9	236	427					
7	Число избирательных бюллетеней в переносных ящиках	5394	91	131	107	72	130	60	104	41	73	55	111	70	33	107	76	51	37	30	60	117	23	75	27	37	114	38	67	176	113	73	38	140	73	44	70	35	56	62	66	88	158	104	100	33	84	76	138	128	129	69	199	55	142	107	189	88	95	15	63	68	214	169					
8	Число бюллетеней в стационарных ящиках для голосования	36375	1045	985	894	887	819	867	770	815	992	1014	759	1035	534	1142	1004	1328	1363	432	570	130	483	213	706	483	627	600	279	97	491	127	452	247	621	861	997	446	499	328	309	213	1010	409	404	159	344	140	1218	689	699	257	847	268	174	419	792	134	545	201	264	34	350	554					
9	Число недействительных избирательных бюллетеней	364	8	5	9	13	4	8	7	5	6	9	9	11	3	10	6	7	18	4	2	2	4	3	13	5	8	9	10	1	7	2	2	0	10	14	5	1	3	2	6	3	10	5	2	1	9	0	7	6	9	3	12	3	2	3	11	6	6	3	3	0	3	6					
10	Число действительных избирательных бюллетеней	41405	1128	1111	992	946	945	919	867	851	1059	1060	861	1094	564	1239	1074	1372	1382	458	628	245	502	285	720	515	733	629	336	272	597	198	488	387	684	891	1062	480	552	388	369	298	1158	508	502	191	419	216	1349	811	819	323	1034	320	314	523	970	216	634	213	324	102	561	717					
11	Число полученных открепительных  удостоверений	945	20	20	20	20	20	20	20	20	20	20	20	20	15	20	20	20	30	15	15	10	10	10	15	15	15	15	10	10	15	10	10	10	15	20	20	10	15	10	10	10	20	10	10	10	10	10	20	15	15	20	15	10	10	25	15	10	15	10	20	10	10	15					
12	Число выданных открепительных удостоверений	463	11	13	8	10	12	15	14	11	13	14	9	9	6	12	12	17	23	12	2	2	6	2	5	10	10	8	6	5	0	0	3	3	2	1	3	0	2	0	1	2	15	3	6	2	10	0	4	4	5	16	10	7	7	24	8	1	14	2	20	0	7	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	370	11	14	18	9	16	15	7	10	7	11	14	13	3	4	13	16	22	18	3	2	7	6	6	2	7	7	2	1	2	0	2	2	2	3	3	1	10	0	1	15	3	4	2	4	0	5	18	2	2	3	0	1	2	2	3	1	4	2	0	0	5	2					
14	Число неиспользованных открепительных удостоверений	482	9	7	12	10	8	5	6	9	7	6	11	11	9	8	8	3	7	3	13	8	4	8	10	5	5	7	4	5	15	10	7	7	13	19	17	10	13	10	9	8	5	7	4	8	0	10	16	11	10	4	5	3	3	1	7	9	1	8	0	10	3	11					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	1416	42	58	52	31	32	31	42	34	44	56	25	37	27	36	57	102	77	18	23	5	13	12	25	16	22	25	8	6	13	3	4	2	23	31	23	15	9	13	17	9	16	6	9	3	21	4	38	13	22	4	27	7	6	18	27	7	23	6	19	2	4	16					
