Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Североуральская городская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465					
1	"Число избирателей, внесенных в списки"	39825	2767	2734	2727	2379	2536	2414	2375	2620	2626	2640	1075	515	1628	2452	2553	2836	2458	300	190					
2	"Число бюллетеней, полученных участковыми комиссиями"	39599	2658	2703	2680	2271	2552	2420	2420	2588	2598	2607	1058	510	1605	2457	2700	2811	2463	302	196					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19335	1119	1378	1200	1201	1250	1199	1184	1145	1220	1247	512	205	799	1249	1328	1548	1293	157	101					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	954	233	37	41	149	72	41	26	15	66	28	28	44	11	23	16	38	58	20	8					
6	Число погашенных бюллетеней	19310	1306	1288	1439	921	1230	1180	1210	1428	1312	1332	518	261	795	1185	1356	1225	1112	125	87					
7	Число бюллетеней в переносных ящиках для голосования	954	233	37	41	149	72	41	26	15	66	28	28	44	11	23	16	38	58	20	8					
8	Число бюллетеней в стационарных ящиках для голосования	19335	1119	1378	1200	1201	1250	1199	1184	1145	1220	1247	512	205	799	1249	1328	1548	1293	157	101					
9	Число недействительных бюллетеней	329	14	16	27	25	34	28	21	13	20	23	14	8	19	24	14	10	17	1	1					
10	Число действительных бюллетеней	19960	1338	1399	1214	1325	1288	1212	1189	1147	1266	1252	526	241	791	1248	1330	1576	1334	176	108					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	397	25	26	25	22	25	25	24	25	26	27	10	6	16	25	26	30	25	5	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	6	1	1	7	7	4	4	2	5	4	3	0	4	6	5	3	3	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	1	5	0	2	3	3	1	1	0	2	1	0	0	2	12	0	0	0	2					
14	Число погашенных открепительных удостоверений	330	19	25	24	15	18	21	20	23	21	23	7	6	12	19	21	27	22	5	2					
15	Число открепительных удостоверений выданных ТИК	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	179	14	19	0	17	11	3	4	13	13	8	7	3	7	8	14	16	14	5	3					
		0.88%	1.03%	1.34%	0.0%	1.25%	0.83%	0.24%	0.33%	1.12%	1.01%	0.62%	1.29%	1.20%	0.86%	0.62%	1.04%	1.00%	1.03%	2.82%	2.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	915	68	68	67	84	49	54	54	67	72	55	16	5	19	54	50	66	61	3	3					
		4.50%	5.02%	4.80%	5.39%	6.22%	3.70%	4.35%	4.46%	5.77%	5.59%	4.31%	2.96%	2.00%	2.34%	4.24%	3.72%	4.16%	4.51%	1.69%	2.75%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1604	101	93	116	115	100	141	120	82	125	81	46	21	47	85	74	145	92	13	7					
		7.90%	7.47%	6.57%	9.34%	8.51%	7.56%	11.37%	9.91%	7.06%	9.72%	6.35%	8.51%	8.43%	5.80%	6.68%	5.50%	9.14%	6.80%	7.34%	6.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	936	60	73	67	71	67	72	72	60	47	78	13	3	18	66	65	62	39	1	2					
		4.61%	4.43%	5.15%	5.39%	5.25%	5.06%	5.80%	5.95%	5.17%	3.65%	6.11%	2.40%	1.20%	2.22%	5.18%	4.83%	3.90%	2.88%	0.56%	1.83%					
22	"5. ""За Русь Святую"""	103	6	7	8	10	2	6	4	7	5	9	5	3	3	7	10	3	5	2	1					
		0.50%	0.44%	0.49%	0.64%	0.74%	0.15%	0.48%	0.33%	0.60%	0.38%	0.70%	0.92%	1.20%	0.37%	0.55%	0.74%	0.18%	0.37%	1.12%	0.91%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	4	7	4	4	5	3	2	3	4	1	1	2	3	2	1	1	2	3	1					
		0.26%	0.29%	0.49%	0.32%	0.29%	0.37%	0.24%	0.16%	0.25%	0.31%	0.07%	0.18%	0.80%	0.37%	0.15%	0.07%	0.06%	0.14%	1.69%	0.91%					
24	"7. ""Новый курс - Автомобильная Россия"""	125	8	16	11	10	7	3	6	7	6	11	3	0	3	7	11	7	9	0	0					
		0.61%	0.59%	1.13%	0.88%	0.74%	0.52%	0.24%	0.49%	0.60%	0.46%	0.86%	0.55%	0.0%	0.37%	0.55%	0.81%	0.44%	0.66%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	36	3	1	4	0	2	1	1	3	3	5	1	0	1	0	3	3	5	0	0					
		0.17%	0.22%	0.07%	0.32%	0.0%	0.15%	0.08%	0.08%	0.25%	0.23%	0.39%	0.18%	0.0%	0.12%	0.0%	0.22%	0.18%	0.37%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	59	5	5	2	7	3	4	3	5	5	2	0	2	1	4	5	5	1	0	0					
		0.29%	0.36%	0.35%	0.16%	0.51%	0.22%	0.32%	0.24%	0.43%	0.38%	0.15%	0.0%	0.80%	0.12%	0.31%	0.37%	0.31%	0.07%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	389	25	18	25	30	44	27	21	19	21	20	10	2	16	31	17	28	29	4	2					
		1.91%	1.84%	1.27%	2.01%	2.22%	3.32%	2.17%	1.73%	1.63%	1.63%	1.56%	1.85%	0.80%	1.97%	2.43%	1.26%	1.76%	2.14%	2.25%	1.83%					
28	"11. ""Истинные патриоты России"""	26	1	4	1	3	1	2	2	2	0	1	0	1	2	1	1	1	2	0	1					
		0.12%	0.07%	0.28%	0.08%	0.22%	0.07%	0.16%	0.16%	0.17%	0.0%	0.07%	0.0%	0.40%	0.24%	0.07%	0.07%	0.06%	0.14%	0.0%	0.91%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	361	57	25	16	20	27	17	22	11	19	18	8	11	11	29	22	20	19	6	3					
		1.77%	4.21%	1.76%	1.28%	1.48%	2.04%	1.37%	1.81%	0.94%	1.47%	1.41%	1.48%	4.41%	1.35%	2.27%	1.63%	1.26%	1.40%	3.38%	2.75%					
30	"13. ""Демократическая партия России"""	49	5	2	2	2	4	4	3	0	2	3	3	0	4	5	3	4	2	1	0					
		0.24%	0.36%	0.14%	0.16%	0.14%	0.30%	0.32%	0.24%	0.0%	0.15%	0.23%	0.55%	0.0%	0.49%	0.39%	0.22%	0.25%	0.14%	0.56%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	50	4	2	5	1	7	1	0	1	1	4	6	1	2	5	2	3	5	0	0					
		0.24%	0.29%	0.14%	0.40%	0.07%	0.52%	0.08%	0.0%	0.08%	0.07%	0.31%	1.11%	0.40%	0.24%	0.39%	0.14%	0.18%	0.37%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	30	1	3	9	3	1	0	2	2	0	2	0	1	0	1	2	1	2	0	0					
		0.14%	0.07%	0.21%	0.72%	0.22%	0.07%	0.0%	0.16%	0.17%	0.0%	0.15%	0.0%	0.40%	0.0%	0.07%	0.14%	0.06%	0.14%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1523	94	80	87	95	111	124	84	85	119	112	41	7	38	102	93	148	90	11	2					
		7.50%	6.95%	5.65%	7.01%	7.03%	8.39%	10.0%	6.94%	7.32%	9.25%	8.78%	7.59%	2.81%	4.69%	8.01%	6.91%	9.33%	6.66%	6.21%	1.83%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	55	9	2	2	1	3	3	3	2	3	0	3	4	3	1	2	9	5	0	0					
		0.27%	0.66%	0.14%	0.16%	0.07%	0.22%	0.24%	0.24%	0.17%	0.23%	0.0%	0.55%	1.60%	0.37%	0.07%	0.14%	0.56%	0.37%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3323	202	240	162	181	199	182	185	201	225	203	98	45	156	216	285	264	234	29	16					
