Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Доволенская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214					
1	"Число избирателей, внесенных в списки избирателей"	16077	775	48	429	110	889	1840	1660	1619	122	236	135	769	167	490	1081	70	274	144	244	219	859	145	879	219	748	197	493	494	527	195					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15577	745	52	410	110	870	1770	1520	1560	125	240	135	760	160	480	1050	70	270	145	240	220	830	140	870	220	720	200	485	485	505	190					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9426	500	43	234	70	450	923	756	794	89	158	69	594	126	307	755	59	200	101	182	158	388	112	549	149	346	122	291	341	394	166					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	905	22	2	27	7	57	92	128	36	0	14	17	30	0	37	83	1	7	0	9	11	96	0	38	5	49	17	74	40	6	0					
6	Число погашенных избирательных бюллетеней	5246	223	7	149	33	363	755	636	730	36	68	49	136	34	136	212	10	63	44	49	51	346	28	283	66	325	61	120	104	105	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	905	22	2	27	7	57	92	128	36	0	14	17	30	0	37	83	1	7	0	9	11	96	0	38	5	49	17	74	40	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9425	500	43	234	70	450	923	756	794	89	158	69	594	126	307	755	59	200	101	182	158	388	112	549	149	345	122	291	341	394	166					
9	Число недействительных избирательных бюллетеней	93	7	0	5	0	6	6	7	8	0	0	0	8	0	0	8	0	1	1	6	2	4	1	7	3	3	1	5	2	0	2					
10	Число действительных избирательных бюллетеней	10237	515	45	256	77	501	1009	877	822	89	172	86	616	126	344	830	60	206	100	185	167	480	111	580	151	391	138	360	379	400	164					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	199	9	3	5	3	10	15	15	15	4	4	4	9	5	6	10	3	4	4	4	4	10	4	10	4	9	4	6	6	6	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	119	2	0	0	0	4	15	11	9	0	3	0	8	0	6	10	0	4	0	0	3	7	0	10	1	9	4	6	6	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	43	0	1	0	0	0	7	6	4	0	1	1	2	1	1	3	1	1	1	1	1	3	0	4	1	1	0	2	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	80	7	3	5	3	6	0	4	6	4	1	4	1	5	0	0	3	0	4	4	1	3	4	0	3	0	0	0	0	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	1.Политическая партия «Аграрная партия России»	366	30	2	21	1	20	23	13	15	6	10	2	37	0	22	28	2	10	0	9	3	22	5	16	5	14	2	8	7	23	10					
		3.54%	5.75%	4.44%	8.05%	1.30%	3.94%	2.27%	1.47%	1.81%	6.74%	5.81%	2.33%	5.93%	0.00%	6.40%	3.34%	3.33%	4.83%	0.00%	4.71%	1.78%	4.55%	4.46%	2.73%	3.25%	3.55%	1.44%	2.19%	1.84%	5.75%	6.02%					
19	2.Всероссийская политическая партия «Гражданская Сила»	30	0	0	0	0	1	8	0	2	1	0	0	3	0	2	1	0	0	0	1	2	6	0	0	0	0	0	1	2	0	0					
		0.29%	0.00%	0.00%	0.00%	0.00%	0.20%	0.79%	0.00%	0.24%	1.12%	0.00%	0.00%	0.48%	0.00%	0.58%	0.12%	0.00%	0.00%	0.00%	0.52%	1.18%	1.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.52%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	11	1	0	1	1	0	2	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
