Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
"Наименование Избирательной комиссии:    Кемерово, Кедровская"															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358					
1	"Число избирателей, внесенных в списки избирателей"	16777	2381	2792	2592	2678	1963	2712	1175	484					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16200	2350	2650	2550	2500	1900	2650	1150	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14619	2019	2467	2297	2399	1784	2372	892	389					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	685	81	165	63	49	70	94	110	53					
6	Число погашенных избирательных бюллетеней	896	250	18	190	52	46	184	148	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	685	81	165	63	49	70	94	110	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14619	2019	2467	2297	2399	1784	2372	892	389					
9	Число недействительных избирательных бюллетеней	28	0	10	0	2	9	0	3	4					
10	Число действительных избирательных бюллетеней	15276	2100	2622	2360	2446	1845	2466	999	438					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	422	47	65	50	60	50	70	50	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	422	47	65	50	60	50	70	50	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	718	36	187	56	199	180	25	25	10					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	13	12	10	17	13	5	5	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	129	32	21	31	2	18	17	5	3					
		0.84%	1.52%	0.80%	1.31%	0.08%	0.97%	0.69%	0.50%	0.68%					
19	2.Всероссийская политическая партия «Гражданская Сила»	57	14	10	14	2	5	6	4	2					
		0.37%	0.67%	0.38%	0.59%	0.08%	0.27%	0.24%	0.40%	0.45%					
20	3.Политическая партия «Демократическая партия России»	8	1	5	0	0	1	0	1	0					
		0.05%	0.05%	0.19%	0.00%	0.00%	0.05%	0.00%	0.10%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	537	103	104	114	42	48	66	40	20					
		3.51%	4.90%	3.95%	4.83%	1.72%	2.59%	2.68%	3.99%	4.52%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	44	10	4	11	4	5	10	0	0					
		0.29%	0.48%	0.15%	0.47%	0.16%	0.27%	0.41%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	20	6	6	0	3	3	2	0	0					
		0.13%	0.29%	0.23%	0.00%	0.12%	0.16%	0.08%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	634	115	32	224	25	107	71	42	18					
		4.14%	5.48%	1.22%	9.49%	1.02%	5.77%	2.88%	4.19%	4.07%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	346	69	59	55	16	61	58	18	10					
		2.26%	3.29%	2.24%	2.33%	0.65%	3.29%	2.35%	1.80%	2.26%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	38	10	10	0	1	5	5	6	1					
		0.25%	0.48%	0.38%	0.00%	0.04%	0.27%	0.20%	0.60%	0.23%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	13376	1714	2368	1895	2342	1583	2209	882	383					
		87.40%	81.62%	89.97%	80.30%	95.67%	85.38%	89.58%	88.02%	86.65%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	87	26	3	16	9	9	22	1	1					
		0.57%	1.24%	0.11%	0.68%	0.37%	0.49%	0.89%	0.10%	0.23%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
