Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																														
Дата голосования: 18.09.2016																																																																														
																																																																														
Наименование Избирательной комиссии:    Большереченская																																																																														
																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																														
																																																																														
		Сумма	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23346	646	727	663	685	608	534	716	648	549	689	450	646	676	1000	572	584	500	81	66	505	617	69	243	241	455	88	212	133	449	178	171	192	413	65	113	151	50	459	81	65	126	390	56	138	147	469	56	98	173	45	515	495	132	692	290	150	89	112	600	497	219	168	699	577	122	193	108									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23675	640	760	655	690	625	555	720	650	560	685	450	660	680	975	575	600	510	99	69	510	600	70	240	245	480	93	210	134	450	179	172	195	410	70	120	160	55	465	87	67	190	400	60	140	150	480	59	100	170	47	520	495	133	700	290	155	94	117	603	504	220	174	700	580	125	194	105									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9758	268	291	241	252	196	231	267	250	235	235	161	275	254	346	234	186	199	55	30	280	201	38	100	118	214	39	110	54	172	108	109	90	225	39	65	110	41	242	43	51	113	169	42	61	70	218	34	54	95	25	203	194	66	288	57	92	38	47	184	181	100	62	279	211	31	84	105									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1159	14	25	5	24	10	10	27	5	7	11	20	10	11	10	13	59	44	6	10	25	44	5	27	10	48	0	0	8	27	13	0	18	36	3	10	4	2	33	17	0	13	30	0	6	0	21	0	9	20	0	55	53	13	21	52	4	10	9	22	21	22	22	30	38	23	14	0									
6	Число погашенных избирательных бюллетеней	12758	358	444	409	414	419	314	426	395	318	439	269	375	415	619	328	355	267	38	29	205	355	27	113	117	218	54	100	72	251	58	63	87	149	28	45	46	12	190	27	16	64	201	18	73	80	241	25	37	55	22	262	248	54	391	181	59	46	61	397	302	98	90	391	331	71	96	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1159	14	25	5	24	10	10	27	5	7	11	20	10	11	10	13	59	44	6	10	25	44	5	27	10	48	0	0	8	27	13	0	18	36	3	10	4	2	33	17	0	13	30	0	6	0	21	0	9	20	0	55	53	13	21	52	4	10	9	22	21	22	22	30	38	23	14	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9758	268	291	241	252	196	231	267	250	235	235	161	275	254	346	234	186	199	55	30	280	201	38	100	118	214	39	110	54	172	108	109	90	225	39	65	110	41	242	43	51	113	169	42	61	70	218	34	54	95	25	203	194	66	288	57	92	38	47	184	181	100	62	279	211	31	84	105									
9	Число недействительных избирательных бюллетеней	238	10	8	3	6	10	10	7	12	4	6	8	7	10	8	4	3	8	0	0	6	4	0	4	5	5	0	2	0	4	0	0	1	8	0	0	3	0	0	0	0	0	3	0	3	0	4	0	0	2	0	1	3	0	13	0	2	0	3	6	8	7	2	5	6	0	1	3									
10	Число действительных избирательных бюллетеней	10679	272	308	243	270	196	231	287	243	238	240	173	278	255	348	243	242	235	61	40	299	241	43	123	123	257	39	108	62	195	121	109	107	253	42	75	111	43	275	60	51	126	196	42	64	70	235	34	63	113	25	257	244	79	296	109	94	48	53	200	194	115	82	304	243	54	97	102									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	501	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	16	3	10	10	3	3	10	20	3	3	3	10	10	3	3	10	10	3	3	3	10	10	3	3	10	10	3	3	10	10	3	3	3	10	10	3	10	10	3	3	3	10	10	3	3	10	10	10	3	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	149	8	2	4	5	0	4	3	4	3	4	3	3	6	4	2	8	4	16	0	3	0	0	0	5	18	3	1	0	2	2	0	0	5	0	0	3	2	0	0	0	0	3	0	0	0	5	0	0	0	0	0	1	0	2	0	0	0	3	1	3	0	0	2	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	6	0	4	2	2	0	1	0	0	1	2	0	1	0	0	4	0	3	1	2	4	2	2	3	0	2	1	0	0	0	1	2	1	0	1	1	2	0	0	0	1	3	0	1	1	1	0	2	1	0	2	0	1	0	1	1	1	2	0	1	1	0	0	1	0	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	352	2	8	6	5	10	6	7	6	7	6	7	7	4	6	8	2	6	0	3	7	10	3	3	5	2	0	2	3	8	8	3	3	5	10	3	0	1	10	10	3	3	7	10	3	3	5	10	3	3	3	10	9	3	8	10	3	3	0	9	7	3	3	8	8	10	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	4	0	1	0	0	0	0	1	0	1	1	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	93	3	1	3	0	3	6	6	2	2	3	0	5	2	5	2	1	2	1	1	2	3	0	1	0	3	0	1	0	0	1	0	0	1	0	1	1	0	2	0	1	0	3	0	1	0	0	0	0	0	0	2	2	1	7	1	0	0	0	4	1	1	0	2	0	3	0	0									
		0.85%	1.06%	0.32%	1.22%	0.00%	1.46%	2.49%	2.04%	0.78%	0.83%	1.22%	0.00%	1.75%	0.75%	1.40%	0.81%	0.41%	0.82%	1.64%	2.50%	0.66%	1.22%	0.00%	0.79%	0.00%	1.15%	0.00%	0.91%	0.00%	0.00%	0.83%	0.00%	0.00%	0.38%	0.00%	1.33%	0.88%	0.00%	0.73%	0.00%	1.96%	0.00%	1.51%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.81%	1.27%	2.27%	0.92%	0.00%	0.00%	0.00%	1.94%	0.50%	0.82%	0.00%	0.65%	0.00%	5.56%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	752	14	91	13	19	15	16	13	18	15	19	10	18	24	24	12	11	19	3	2	19	14	0	5	7	16	5	12	3	9	3	0	17	33	4	7	15	2	15	3	10	5	8	1	4	3	11	2	4	5	1	7	12	2	17	6	5	1	0	17	7	4	5	34	19	5	5	7									
