Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Нерчинская 																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644					
1	"Число избирателей, внесенных в списки"	18958	166	1148	123	739	552	544	579	93	237	203	187	190	624	156	389	165	370	307	957	170	303	118	364	264	528	186	495	978	831	1022	630	661	688	727	1234	522	861	647					
2	"Число бюллетеней, полученных участковыми комиссиями"	18622	249	1159	126	750	555	544	583	93	239	205	196	193	621	153	386	166	368	315	921	159	302	115	357	237	529	182	475	934	794	966	592	640	667	707	1179	502	832	631					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9430	154	544	75	319	282	297	292	56	98	102	92	133	385	74	224	115	177	161	505	110	169	87	143	189	229	75	246	407	383	401	278	402	361	303	585	281	383	313					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	903	12	25	11	53	21	20	18	7	3	0	11	4	11	9	7	13	25	27	53	11	6	7	62	15	54	34	31	22	44	1	41	28	29	38	78	13	35	24					
6	Число погашенных бюллетеней	8289	83	590	40	378	252	227	273	30	138	103	93	56	225	70	155	38	166	127	363	38	127	21	152	33	246	73	198	505	367	564	273	210	277	366	516	208	414	294					
7	Число бюллетеней в переносных ящиках для голосования	903	12	25	11	53	21	20	18	7	3	0	11	4	11	9	7	13	25	27	53	11	6	7	62	15	54	34	31	22	44	1	41	28	29	38	78	13	35	24					
8	Число бюллетеней в стационарных ящиках для голосования	9430	154	544	75	319	282	297	292	56	98	102	92	133	385	74	224	115	177	161	505	110	169	87	143	189	229	75	246	407	383	401	278	402	361	303	585	281	383	313					
9	Число недействительных бюллетеней	178	3	12	1	14	5	7	10	7	1	5	5	0	7	1	4	5	2	4	12	1	4	4	1	3	4	2	2	7	5	3	4	8	2	3	4	5	10	1					
10	Число действительных бюллетеней	10155	163	557	85	358	298	310	300	56	100	97	98	137	389	82	227	123	200	184	546	120	171	90	204	201	279	107	275	422	422	399	315	422	388	338	659	289	408	336					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	348	9	8	5	8	8	8	8	5	5	5	5	5	5	5	5	5	5	5	8	5	5	5	7	5	7	5	11	16	16	20	16	16	16	16	16	16	16	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	44	0	0	0	0	0	2	1	0	1	0	0	0	1	2	1	0	2	1	2	0	2	0	0	3	0	0	3	0	0	5	1	3	1	1	6	0	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	1	1	3	2	0	0	0	2	1	0	2	1	1	1	2	0	2	1	6	3	1	1					
