Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Кирсановская 																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729					
1	"Число избирателей, внесенных в списки"	17138	1644	568	418	485	634	429	369	899	693	579	319	125	95	159	368	185	947	178	475	414	339	175	243	194	511	362	361	159	1542	817	927	1525					
2	"Число бюллетеней, полученных участковыми комиссиями"	17190	1645	563	399	481	631	420	369	922	707	572	329	114	101	161	361	184	955	179	477	417	343	177	241	199	510	370	367	159	1559	823	926	1529					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7792	577	264	165	241	238	174	161	408	218	261	135	42	38	92	118	94	443	66	228	170	158	99	152	104	281	312	238	21	757	385	385	767					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2308	237	94	126	75	95	59	27	44	109	84	73	59	55	31	123	38	101	41	109	124	59	44	61	36	88	0	28	51	34	74	92	37					
6	Число погашенных бюллетеней	7090	831	205	108	165	298	187	181	470	380	227	121	13	8	38	120	52	411	72	140	123	126	34	28	59	141	58	101	87	768	364	449	725					
7	Число бюллетеней в переносных ящиках для голосования	2308	237	94	126	75	95	59	27	44	109	84	73	59	55	31	123	38	101	41	109	124	59	44	61	36	88	0	28	51	34	74	92	37					
8	Число бюллетеней в стационарных ящиках для голосования	7792	577	264	165	241	238	174	161	408	218	261	135	42	38	92	118	94	443	66	228	170	158	99	152	104	281	312	238	21	757	385	385	767					
9	Число недействительных бюллетеней	377	28	32	7	9	17	8	10	39	10	16	7	1	0	5	7	8	5	3	6	8	16	4	2	0	9	0	4	0	35	13	46	22					
10	Число действительных бюллетеней	9723	786	326	284	307	316	225	178	413	317	329	201	100	93	118	234	124	539	104	331	286	201	139	211	140	360	312	262	72	756	446	431	782					
