Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Качугская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14260	1042	1132	1048	1042	891	767	565	199	120	198	73	172	886	349	120	139	74	469	210	117	124	256	137	393	188	152	143	232	147	46	378	191	293	140	161	81	418	229	220	169	117	160	272									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14628	1054	1111	1074	1047	891	779	580	211	133	205	81	184	900	376	139	152	81	474	211	118	145	267	161	395	193	159	146	228	149	46	386	196	293	139	163	95	450	249	215	176	136	160	280									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4798	288	353	270	292	256	173	184	82	59	72	38	83	285	160	57	81	27	131	61	40	52	109	103	94	39	31	24	65	25	18	130	72	151	30	91	40	178	87	93	91	67	85	131									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	609	22	31	14	24	10	54	21	10	10	25	2	20	12	0	10	6	5	25	15	6	17	7	11	30	28	21	40	13	0	0	13	2	7	4	2	3	17	9	22	5	19	1	16									
6	Число погашенных избирательных бюллетеней	9214	744	727	790	731	625	552	375	119	64	108	41	81	603	216	72	65	49	318	135	72	76	151	47	271	126	107	82	150	124	21	243	122	135	105	70	52	255	153	100	80	50	74	133									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	616	22	31	14	24	10	54	21	10	10	25	2	20	12	0	10	6	5	25	15	6	17	7	11	30	28	21	40	13	0	7	13	2	7	4	2	3	17	9	22	5	19	1	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4798	288	353	270	292	256	173	184	82	59	72	38	83	285	160	57	81	27	131	61	40	52	109	103	94	39	31	24	65	25	18	130	72	151	30	91	40	178	87	93	91	67	85	131									
9	Число недействительных избирательных бюллетеней	116	4	4	8	13	2	3	7	1	0	0	1	2	10	5	3	3	0	1	1	2	2	2	1	4	3	1	0	1	1	2	0	2	0	2	3	3	1	3	1	3	3	2	6									
10	Число действительных избирательных бюллетеней	5298	306	380	276	303	264	224	198	91	69	97	39	101	287	155	64	84	32	155	75	44	67	114	113	120	64	51	64	77	24	23	143	72	158	32	90	40	194	93	114	93	83	84	141									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1400	80	80	80	80	80	70	50	20	20	20	20	20	70	35	20	20	20	30	30	20	20	30	20	50	40	20	20	20	0	0	40	20	30	20	20	20	40	30	20	20	20	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	379	12	9	10	7	6	5	16	10	13	6	7	17	4	35	20	16	9	5	0	0	20	12	20	0	0	8	2	0	0	0	8	4	0	2	3	15	32	17	0	4	20	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	105	7	9	3	3	7	3	6	1	2	2	1	5	4	7	3	2	0	1	0	1	3	3	0	2	1	1	0	5	0	0	3	1	1	4	1	2	3	0	6	0	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	1021	68	71	70	73	74	65	34	10	7	14	13	3	66	0	0	4	11	25	30	20	0	18	0	50	40	12	18	20	0	0	32	16	30	18	17	5	8	13	20	16	0	13	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	3	8	6	1	1	6	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	61	3	2	10	6	5	2	2	0	0	3	0	1	3	1	0	3	2	2	0	0	0	0	1	1	0	2	0	0	0	0	1	0	1	0	0	0	2	1	0	0	3	3	1									
		1.13%	0.97%	0.52%	3.52%	1.90%	1.88%	0.88%	0.98%	0.00%	0.00%	3.09%	0.00%	0.97%	1.01%	0.63%	0.00%	3.45%	6.25%	1.28%	0.00%	0.00%	0.00%	0.00%	0.88%	0.81%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.63%	0.00%	0.00%	0.00%	1.03%	1.04%	0.00%	0.00%	3.49%	3.49%	0.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	154	4	14	12	5	9	5	5	1	1	5	0	9	13	8	1	0	1	6	2	4	0	3	3	3	2	4	3	0	2	2	6	0	1	1	2	0	2	3	2	6	2	0	2									
		2.84%	1.29%	3.65%	4.23%	1.58%	3.38%	2.20%	2.44%	1.09%	1.45%	5.15%	0.00%	8.74%	4.38%	5.00%	1.49%	0.00%	3.13%	3.85%	2.63%	8.70%	0.00%	2.59%	2.63%	2.42%	2.99%	7.69%	4.69%	0.00%	8.00%	8.00%	4.20%	0.00%	0.63%	2.94%	2.15%	0.00%	1.03%	3.13%	1.74%	6.25%	2.33%	0.00%	1.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	89	8	6	3	7	3	4	7	1	2	1	0	1	4	5	2	3	1	0	2	1	0	2	3	3	0	1	4	3	0	0	0	1	2	0	0	0	0	1	3	2	1	1	1									
		1.64%	2.58%	1.56%	1.06%	2.22%	1.13%	1.76%	3.41%	1.09%	2.90%	1.03%	0.00%	0.97%	1.35%	3.13%	2.99%	3.45%	3.13%	0.00%	2.63%	2.17%	0.00%	1.72%	2.63%	2.42%	0.00%	1.92%	6.25%	3.85%	0.00%	0.00%	0.00%	1.35%	1.27%	0.00%	0.00%	0.00%	0.00%	1.04%	2.61%	2.08%	1.16%	1.16%	0.68%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2477	115	137	84	95	109	98	83	45	31	47	21	63	120	74	37	54	11	65	24	25	53	61	62	49	29	17	29	24	17	12	86	52	81	26	56	16	89	58	66	56	52	60	88									
		45.75%	37.10%	35.68%	29.58%	30.06%	40.98%	43.17%	40.49%	48.91%	44.93%	48.45%	52.50%	61.17%	40.40%	46.25%	55.22%	62.07%	34.38%	41.67%	31.58%	54.35%	76.81%	52.59%	54.39%	39.52%	43.28%	32.69%	45.31%	30.77%	68.00%	48.00%	60.14%	70.27%	51.27%	76.47%	60.22%	37.21%	45.64%	60.42%	57.39%	58.33%	60.47%	69.77%	59.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	3	1	0	3	4	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1									
		0.50%	0.97%	0.26%	0.00%	0.95%	1.50%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.64%	1.32%	0.00%	4.35%	0.00%	0.00%	0.81%	0.00%	1.92%	1.56%	2.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	2.08%	0.00%	0.00%	0.68%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	1	2	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0									
		0.39%	0.32%	0.52%	0.00%	0.63%	1.13%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	1.16%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	924	56	76	71	71	38	42	32	9	22	14	6	15	36	32	13	13	7	25	11	5	7	21	28	25	15	14	5	11	2	6	15	4	42	2	19	5	33	13	24	0	9	12	18									
