Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Приокская поселковая    										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК №2197	УИК №2198	УИК №2199					
1	"Число избирателей, внесенных в списки"	5218	1601	2004	1613					
2	"Число бюллетеней, полученных участковыми комиссиями"	5150	1590	1960	1600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2894	911	1146	837					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	37	11	8	18					
6	Число погашенных бюллетеней	2219	668	806	745					
7	Число бюллетеней в переносных ящиках для голосования	37	11	8	18					
8	Число бюллетеней в стационарных ящиках для голосования	2888	911	1142	835					
9	Число недействительных бюллетеней	22	4	7	11					
10	Число действительных бюллетеней	2903	918	1143	842					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	120	40	40	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	8	8	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	7	7	9					
14	Число погашенных открепительных удостоверений	91	32	32	27					
15	Число открепительных удостоверений выданных ТИК	1	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	19	7	7	5					
		0.64%	0.75%	0.60%	0.58%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	187	61	74	52					
		6.39%	6.61%	6.43%	6.09%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	85	31	32	22					
		2.90%	3.36%	2.78%	2.57%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	255	103	94	58					
		8.71%	11.17%	8.17%	6.79%					
22	"5. ""За Русь Святую"""	20	8	9	3					
		0.68%	0.86%	0.78%	0.35%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	1	2	7					
		0.34%	0.10%	0.17%	0.82%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	18	18	8					
		1.50%	1.95%	1.56%	0.93%					
25	"8. ""Народно-республиканская партия России"""	4	1	2	1					
		0.13%	0.10%	0.17%	0.11%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	5	6	3					
		0.47%	0.54%	0.52%	0.35%					
27	"10. ""Аграрная партия России"""	66	14	31	21					
		2.25%	1.51%	2.69%	2.46%					
28	"11. ""Истинные патриоты России"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	58	17	27	14					
		1.98%	1.84%	2.34%	1.64%					
30	"13. ""Демократическая партия России"""	3	2	1	0					
		0.10%	0.21%	0.08%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	3	0	1	2					
		0.10%	0.0%	0.08%	0.23%					
32	"15. ""Партия СЛОН"""	5	1	0	4					
		0.17%	0.10%	0.0%	0.46%					
33	"16. ""Родина"" (народно-патриотический союз)"""	452	139	184	129					
		15.45%	15.07%	16.0%	15.12%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	4	0	3	1					
		0.13%	0.0%	0.26%	0.11%					
35	"18. ""ЛДПР"""	238	62	103	73					
		8.13%	6.72%	8.95%	8.55%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	25	11	10	4					
		0.85%	1.19%	0.86%	0.46%					
37	"20. ""Политическая партия ""Единая Россия"""	928	302	357	269					
		31.72%	32.75%	31.04%	31.53%					
38	"21. ""Российская Конституционно-демократическая партия"""	2	1	1	0					
		0.06%	0.10%	0.08%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	2	1	2					
		0.17%	0.21%	0.08%	0.23%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	238	62	79	97					
		8.13%	6.72%	6.86%	11.37%					
										
41	Против всех	238	70	101	67					
		8.13%	7.59%	8.78%	7.85%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
