Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Увинская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30727	915	494	373	339	220	589	708	1778	786	316	306	390	771	957	191	750	408	494	263	959	175	438	794	360	237	310	602	129	998	369	619	1957	1854	356	137	1226	995	2070	1083	1972	1309	730									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29275	895	470	355	330	215	565	675	1705	790	320	290	360	755	910	190	690	390	475	255	925	170	440	790	350	220	295	570	120	930	350	590	1850	1750	340	110	1150	950	1970	1030	1880	1240	620									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14467	538	279	211	182	131	299	316	854	373	178	186	184	386	423	115	405	223	233	115	480	96	263	464	225	113	98	378	67	405	161	226	788	717	142	105	495	528	862	476	968	511	268									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1141	65	12	4	26	15	54	33	95	40	30	17	26	27	51	6	28	14	45	20	43	10	27	31	12	23	28	16	18	27	7	8	34	22	5	0	16	4	30	12	38	49	73									
6	Число погашенных избирательных бюллетеней	13667	292	179	140	122	69	212	326	756	377	112	87	150	342	436	69	257	153	197	120	402	64	150	295	113	84	169	176	35	498	182	356	1028	1011	193	5	639	418	1078	542	874	680	279									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1140	65	12	4	26	15	54	33	95	40	30	17	26	27	50	6	28	14	45	20	43	10	27	31	12	23	28	16	18	27	7	8	34	22	5	0	16	4	30	12	38	49	73									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14455	538	279	209	182	131	289	316	854	373	178	186	184	386	423	115	405	223	233	115	480	96	263	464	225	113	98	378	67	405	161	226	788	717	142	105	495	528	862	476	968	511	268									
9	Число недействительных избирательных бюллетеней	306	3	5	2	2	2	0	17	19	18	3	3	4	1	4	0	6	5	3	2	13	1	4	15	1	0	1	7	1	3	3	5	27	17	7	1	12	10	18	11	32	10	8									
10	Число действительных избирательных бюллетеней	15289	600	286	211	206	144	343	332	930	395	205	200	206	412	469	121	427	232	275	133	510	105	286	480	236	136	125	387	84	429	165	229	795	722	140	104	499	522	874	477	974	550	333									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	865	50	30	20	10	15	40	40	60	40	40	35	10	20	20	10	20	30	30	20	20	10	30	25	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	406	23	7	9	10	15	22	4	20	40	40	27	6	15	0	7	3	2	10	4	10	2	19	25	15	2	0	3	3	5	2	1	3	6	3	2	4	6	10	2	13	1	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	117	5	1	3	1	2	10	0	13	4	4	1	2	0	3	1	3	0	3	0	1	1	0	3	2	6	4	3	0	4	1	1	2	1	0	18	2	2	2	1	1	1	5									
14	Число погашенных неиспользованных открепительных удостоверений	459	27	23	11	0	0	18	36	40	0	0	8	4	5	20	3	17	28	20	16	10	8	11	0	5	18	20	17	7	5	8	9	7	4	7	8	6	4	0	8	7	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	3	0	1									
