Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    район Ново-Переделкино																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК  2997					
1	"Число избирателей, внесенных в список"	62840	2461	2635	2410	2712	2672	2367	2736	2390	2262	2760	2489	1879	2460	1637	2734	2833	2559	2704	2252	2529	2537	1456	2618	2538	2441	1635	134					
2	Число полученных избирательных бюллетеней	58804	2300	2400	2300	2600	2500	2200	2600	2200	2100	2600	2300	1800	2300	1500	2600	2600	2400	2500	2100	2400	2300	1400	2400	2400	2300	1500	204					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36574	1508	1705	1446	1697	1460	1321	1535	1365	1221	1552	1386	1066	1387	931	1702	1734	1444	1596	1426	1523	1506	931	1410	1452	1344	834	92					
5	"Число избирательных бюллетеней, выданных вне помещения"	542	22	15	22	17	24	18	36	20	7	17	11	12	16	10	22	46	11	17	14	23	11	7	11	25	26	75	7					
6	Число погашенных избирательных бюллетеней	21688	770	680	832	886	1016	861	1029	815	872	1031	903	722	897	559	876	820	945	887	660	854	783	462	979	923	930	591	105					
7	Число избирательных бюллетеней в переносных ящиках	542	22	15	22	17	24	18	36	20	7	17	11	12	16	10	22	46	11	17	14	23	11	7	11	25	26	75	7					
8	Число бюллетеней в стационарных ящиках для голосования	36302	1508	1705	1446	1680	1458	1321	1535	1365	1218	1552	1383	1063	1384	931	1492	1734	1443	1596	1426	1523	1506	931	1409	1424	1344	834	91					
9	Число недействительных избирательных бюллетеней	301	9	43	6	10	13	23	12	8	8	6	10	7	8	8	0	6	15	9	4	21	18	8	10	14	17	8	0					
10	Число действительных избирательных бюллетеней	36543	1521	1677	1462	1687	1469	1316	1559	1377	1217	1563	1384	1068	1392	933	1514	1774	1439	1604	1436	1525	1499	930	1410	1435	1353	901	98					
11	Число полученных открепительных  удостоверений	1650	90	60	60	60	60	60	60	60	60	60	60	60	90	60	60	60	60	60	60	60	60	60	60	60	60	60	30					
12	Число выданных открепительных удостоверений	1024	59	33	43	41	45	45	41	41	31	37	42	20	58	20	43	39	44	27	25	43	31	28	41	49	52	42	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	371	17	24	4	24	6	7	6	24	7	8	9	1	6	27	13	9	16	5	25	6	22	4	28	10	24	21	18					
14	Число неиспользованных открепительных удостоверений	626	31	27	17	19	15	15	19	19	29	23	18	40	32	40	17	21	16	33	35	17	29	32	19	11	8	18	26					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	1	0	1	0	3	0	1	0	0	0	1	0	0	0	1	0	0	1	0	2	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	2252	108	83	82	99	101	90	53	61	68	86	85	67	93	59	81	90	106	93	93	154	84	57	97	106	100	51	5					
		6.11%	7.06%	4.83%	5.59%	5.83%	6.82%	6.72%	3.37%	4.40%	5.55%	5.48%	6.10%	6.23%	6.64%	6.27%	5.35%	5.06%	7.29%	5.77%	6.46%	9.96%	5.54%	6.08%	6.83%	7.32%	7.30%	5.61%	5.10%					
19	. Малышкин Олег Александрович	517	22	23	23	24	25	23	17	12	22	24	18	15	20	6	29	16	28	23	16	25	20	14	18	22	18	13	1					
		1.40%	1.44%	1.34%	1.57%	1.41%	1.69%	1.72%	1.08%	0.87%	1.80%	1.53%	1.29%	1.40%	1.43%	0.64%	1.92%	0.90%	1.93%	1.43%	1.11%	1.62%	1.32%	1.49%	1.27%	1.52%	1.31%	1.43%	1.02%					
20	. Миронов Сергей Михайлович	232	5	4	4	9	8	12	5	10	8	7	5	8	9	7	10	6	4	63	4	5	9	5	12	5	3	5	0					
		0.63%	0.33%	0.23%	0.27%	0.53%	0.54%	0.90%	0.32%	0.72%	0.65%	0.45%	0.36%	0.74%	0.64%	0.74%	0.66%	0.34%	0.28%	3.91%	0.28%	0.32%	0.59%	0.53%	0.85%	0.35%	0.22%	0.55%	0.00%					
21	. Путин Владимир Владимирович	27116	1086	1343	1104	1258	1029	960	1236	1034	890	1201	1047	772	983	669	1158	1424	1034	1228	1065	986	1187	699	1017	1069	947	618	72					
		73.60%	70.98%	78.08%	75.20%	74.13%	69.43%	71.70%	78.68%	74.66%	72.65%	76.55%	75.11%	71.81%	70.21%	71.09%	76.49%	80.00%	71.11%	76.13%	73.96%	63.78%	78.25%	74.52%	71.62%	73.78%	69.12%	67.99%	73.47%					
22	. Хакамада Ирина Муцуовна	2426	81	81	102	92	103	65	83	89	70	109	88	77	119	74	122	95	93	81	138	123	91	79	87	111	116	53	4					
		6.58%	5.29%	4.71%	6.95%	5.42%	6.95%	4.85%	5.28%	6.43%	5.71%	6.95%	6.31%	7.16%	8.50%	7.86%	8.06%	5.34%	6.40%	5.02%	9.58%	7.96%	6.00%	8.42%	6.13%	7.66%	8.47%	5.83%	4.08%					
23	. Харитонов Николай Михайлович	2193	121	95	73	100	102	93	95	90	84	81	52	60	81	59	83	89	80	26	73	126	85	47	101	86	93	110	8					
		5.95%	7.91%	5.52%	4.97%	5.89%	6.88%	6.95%	6.05%	6.50%	6.86%	5.16%	3.73%	5.58%	5.79%	6.27%	5.48%	5.00%	5.50%	1.61%	5.07%	8.15%	5.60%	5.01%	7.11%	5.94%	6.79%	12.10%	8.16%					
																																		
24	Против всех	1807	98	48	74	105	101	73	70	81	75	55	89	69	87	59	31	54	94	90	47	106	23	29	78	36	76	51	8					
		4.90%	6.41%	2.79%	5.04%	6.19%	6.82%	5.45%	4.46%	5.85%	6.12%	3.51%	6.38%	6.42%	6.21%	6.27%	2.05%	3.03%	6.46%	5.58%	3.26%	6.86%	1.52%	3.09%	5.49%	2.48%	5.55%	5.61%	8.16%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
