Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Нижнеколымская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397					
1	"Число избирателей, внесенных в списки"	3471	1469	801	453	485	181	82					
2	"Число бюллетеней, полученных участковыми комиссиями"	3425	1350	820	515	470	175	95					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	177	0	0	74	56	47	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2262	1042	412	296	316	117	79					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	104	25	23	26	30	0	0					
6	Число погашенных бюллетеней	882	283	385	119	68	11	16					
7	Число бюллетеней в переносных ящиках для голосования	281	25	23	100	86	47	0					
8	Число бюллетеней в стационарных ящиках для голосования	2258	1039	411	296	316	117	79					
9	Число недействительных бюллетеней	40	14	13	8	4	1	0					
10	Число действительных бюллетеней	2499	1050	421	388	398	163	79					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	175	60	40	10	25	30	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	12	4	10	6	0	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	8	1	4	2	3	1					
14	Число погашенных открепительных удостоверений	134	48	36	0	19	30	1					
15	Число открепительных удостоверений выданных ТИК	3	1	2	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	58	20	10	12	9	6	1					
		2.28%	1.87%	2.30%	3.03%	2.23%	3.65%	1.26%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	283	123	42	39	65	11	3					
		11.14%	11.56%	9.67%	9.84%	16.16%	6.70%	3.79%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	76	38	15	7	15	0	1					
		2.99%	3.57%	3.45%	1.76%	3.73%	0.0%	1.26%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	31	18	5	1	5	2	0					
		1.22%	1.69%	1.15%	0.25%	1.24%	1.21%	0.0%					
22	"5. ""За Русь Святую"""	7	0	3	0	2	0	2					
		0.27%	0.0%	0.69%	0.0%	0.49%	0.0%	2.53%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	1	2	0	0	1	1					
		0.19%	0.09%	0.46%	0.0%	0.0%	0.60%	1.26%					
24	"7. ""Новый курс - Автомобильная Россия"""	8	3	2	0	2	0	1					
		0.31%	0.28%	0.46%	0.0%	0.49%	0.0%	1.26%					
25	"8. ""Народно-республиканская партия России"""	7	4	1	1	0	1	0					
		0.27%	0.37%	0.23%	0.25%	0.0%	0.60%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	5	1	2	0	0	0					
		0.31%	0.46%	0.23%	0.50%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	23	9	4	4	3	3	0					
		0.90%	0.84%	0.92%	1.01%	0.74%	1.82%	0.0%					
28	"11. ""Истинные патриоты России"""	7	1	0	1	4	1	0					
		0.27%	0.09%	0.0%	0.25%	0.99%	0.60%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	16	9	3	2	0	2	0					
		0.63%	0.84%	0.69%	0.50%	0.0%	1.21%	0.0%					
30	"13. ""Демократическая партия России"""	8	2	3	1	1	1	0					
		0.31%	0.18%	0.69%	0.25%	0.24%	0.60%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	2	1	1	1	0	2					
		0.27%	0.18%	0.23%	0.25%	0.24%	0.0%	2.53%					
32	"15. ""Партия СЛОН"""	4	1	2	0	1	0	0					
		0.15%	0.09%	0.46%	0.0%	0.24%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	146	60	32	37	11	5	1					
		5.75%	5.63%	7.37%	9.34%	2.73%	3.04%	1.26%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	0	3	5	2	1	2					
		0.51%	0.0%	0.69%	1.26%	0.49%	0.60%	2.53%					
35	"18. ""ЛДПР"""	185	90	53	6	12	17	7					
		7.28%	8.45%	12.21%	1.51%	2.98%	10.36%	8.86%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	27	15	3	2	5	1	1					
		1.06%	1.40%	0.69%	0.50%	1.24%	0.60%	1.26%					
37	"20. ""Политическая партия ""Единая Россия"""	1337	552	193	229	229	96	38					
		52.65%	51.87%	44.47%	57.82%	56.96%	58.53%	48.10%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	8	5	1	0	2	0	0					
		0.31%	0.46%	0.23%	0.0%	0.49%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	163	64	21	33	20	9	16					
		6.41%	6.01%	4.83%	8.33%	4.97%	5.48%	20.25%					
													
41	Против всех	72	28	21	5	9	6	3					
		2.83%	2.63%	4.83%	1.26%	2.23%	3.65%	3.79%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
