Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Илекская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510					
1	"Число избирателей, внесенных в список избирателей"	21873	1700	1986	2366	180	714	498	2198	1371	1056	69	41	21	997	1047	91	52	41	593	530	1036	121	176	192	824	717	749	586	1921					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22115	1680	2030	2410	187	642	515	2200	1390	1087	67	46	23	1017	1087	97	56	43	604	530	1023	123	177	201	837	734	766	583	1960					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12474	895	1145	1342	131	373	289	1132	749	693	56	41	13	540	721	61	48	29	288	363	652	63	60	85	428	419	376	336	1146					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1377	134	96	105	12	100	21	144	76	52	2	0	0	50	77	6	0	0	45	44	64	10	32	30	80	39	81	41	36					
6	Число погашенных избирательных бюллетеней	8264	651	789	963	44	169	205	924	565	342	9	5	10	427	289	30	8	14	271	123	307	50	85	86	329	276	309	206	778					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1377	134	96	105	12	100	21	144	76	52	2	0	0	50	77	6	0	0	45	44	64	10	32	30	80	39	81	41	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12472	895	1145	1342	131	373	289	1132	749	693	56	41	13	540	721	61	48	29	288	363	652	63	60	85	428	419	376	336	1144					
9	Число недействительных избирательных бюллетеней	171	8	26	21	0	7	4	11	5	13	0	0	0	11	16	0	0	0	1	7	8	2	0	1	8	6	4	4	8					
10	Число действительных избирательных бюллетеней	13678	1021	1215	1426	143	466	306	1265	820	732	58	41	13	579	782	67	48	29	332	400	708	71	92	114	500	452	453	373	1172					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	344	30	35	35	5	15	14	17	23	24	5	5	1	14	15	2	1	1	5	3	19	5	1	5	12	9	10	12	21					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	343	30	35	35	5	15	14	17	23	24	5	5	1	14	15	2	1	0	5	3	19	5	1	5	12	9	10	12	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	115	13	4	14	2	4	2	10	8	5	3	3	2	2	6	1	1	2	0	8	4	4	1	1	2	1	3	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
