Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Новосокольническая																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №412	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11870	1405	1299	1820	1419	740	493	498	353	250	489	530	330	621	227	258	422	239	254	223									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11830	1300	1300	1800	1400	700	500	500	370	260	500	520	340	600	330	260	420	240	260	230									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4308	549	549	805	562	253	189	117	121	76	147	176	77	176	102	76	114	77	53	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1420	37	16	48	28	40	107	189	120	64	126	83	94	89	88	45	61	49	88	48									
6	Число погашенных избирательных бюллетеней	6102	714	735	947	810	407	204	194	129	120	227	261	169	335	140	139	245	114	119	93									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1420	37	16	48	28	40	107	189	120	64	126	83	94	89	88	45	61	49	88	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4308	549	549	805	562	253	189	117	121	76	147	176	77	176	102	76	114	77	53	89									
9	Число недействительных избирательных бюллетеней	93	12	14	12	16	4	1	2	4	0	5	3	2	8	3	0	4	1	1	1									
10	Число действительных избирательных бюллетеней	5635	574	551	841	574	289	295	304	237	140	268	256	169	257	187	121	171	125	140	136									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	175	15	15	20	15	10	6	6	7	8	10	10	5	10	7	6	8	4	6	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	52	8	13	8	5	2	2	0	5	1	2	0	0	2	0	0	2	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	4	4	7	2	5	2	1	5	1	2	3	2	3	3	2	1	4	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	123	7	2	12	10	8	4	6	2	7	8	10	5	8	7	6	6	4	6	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	1	1	0	3	0	0	1	0	0	0	0	0	2	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	2	3	9	7	4	2	1	0	2	5	1	0	1	0	0	2	4	0	0									
		0.75%	0.34%	0.53%	1.06%	1.19%	1.37%	0.68%	0.33%	0.00%	1.43%	1.83%	0.39%	0.00%	0.38%	0.00%	0.00%	1.14%	3.17%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	142	14	12	19	12	8	4	12	5	3	7	3	8	8	4	0	7	6	3	7									
		2.48%	2.39%	2.12%	2.23%	2.03%	2.73%	1.35%	3.92%	2.07%	2.14%	2.56%	1.16%	4.68%	3.02%	2.11%	0.00%	4.00%	4.76%	2.13%	5.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	112	3	14	25	12	6	3	2	6	1	5	9	4	5	2	0	4	5	1	5									
		1.96%	0.51%	2.48%	2.93%	2.03%	2.05%	1.01%	0.65%	2.49%	0.71%	1.83%	3.47%	2.34%	1.89%	1.05%	0.00%	2.29%	3.97%	0.71%	3.65%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2796	259	247	421	272	134	185	184	106	61	132	111	99	120	88	64	90	62	87	74									
		48.81%	44.20%	43.72%	49.36%	46.10%	45.73%	62.50%	60.13%	43.98%	43.57%	48.35%	42.86%	57.89%	45.28%	46.32%	52.89%	51.43%	49.21%	61.70%	54.01%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	32	7	3	4	3	1	0	0	0	4	4	2	0	0	1	0	0	0	0	3									
		0.56%	1.19%	0.53%	0.47%	0.51%	0.34%	0.00%	0.00%	0.00%	2.86%	1.47%	0.77%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	2.19%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	1	1	1	2	2	0	0	1	1	0	0	0	1	0	1	1	0	1	0									
		0.23%	0.17%	0.18%	0.12%	0.34%	0.68%	0.00%	0.00%	0.41%	0.71%	0.00%	0.00%	0.00%	0.38%	0.00%	0.83%	0.57%	0.00%	0.71%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	981	101	98	105	88	60	42	53	47	24	47	77	21	49	53	28	33	23	17	15									
		17.13%	17.24%	17.35%	12.31%	14.92%	20.48%	14.19%	17.32%	19.50%	17.14%	17.22%	29.73%	12.28%	18.49%	27.89%	23.14%	18.86%	18.25%	12.06%	10.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	3	3	1	4	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0									
		0.30%	0.51%	0.53%	0.12%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	1.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	35	4	7	7	4	1	0	0	0	0	4	1	0	4	1	0	0	1	1	0									
		0.61%	0.68%	1.24%	0.82%	0.68%	0.34%	0.00%	0.00%	0.00%	0.00%	1.47%	0.39%	0.00%	1.51%	0.53%	0.00%	0.00%	0.79%	0.71%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
