Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																								
Дата голосования: 04.12.2011																																								
																																								
Наименование Избирательной комиссии:    Котласская городская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419					
1	"Число избирателей, внесенных в список избирателей"	59565	2056	2402	791	3065	2887	3047	1567	1694	1349	135	2307	2826	1555	2647	2828	1324	1606	1833	773	2361	1629	394	1162	1477	1856	2140	881	2462	2611	2597	2840	182	281					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55800	1900	2200	700	2900	2700	2900	1450	1600	1300	200	2200	2750	1500	2500	2500	1200	1500	1700	700	2100	1500	350	1100	1400	1700	2000	800	2300	2500	2500	2600	150	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29323	1201	1161	226	1520	1448	1692	741	886	747	135	1240	1643	772	1291	1344	632	773	886	345	1070	633	116	438	733	875	1055	428	1106	1308	1250	1243	104	281					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	791	15	65	10	38	40	17	3	9	8	0	24	29	12	28	37	8	8	17	3	30	22	25	18	10	73	17	25	85	44	50	21	0	0					
6	Число погашенных избирательных бюллетеней	25686	684	974	464	1342	1212	1191	706	705	545	65	936	1078	716	1181	1119	560	719	797	352	1000	845	209	644	657	752	928	347	1109	1148	1200	1336	46	119					
7	Число избирательных бюллетеней в переносных ящиках для голосования	791	15	65	10	38	40	17	3	9	8	0	24	29	12	28	37	8	8	17	3	30	22	25	18	10	73	17	25	85	44	50	21	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29274	1200	1160	226	1520	1445	1692	741	886	747	135	1239	1643	772	1289	1304	632	773	886	345	1070	633	116	438	733	875	1055	428	1106	1308	1249	1243	104	281					
9	Число недействительных избирательных бюллетеней	355	11	21	6	8	14	14	12	11	8	3	18	24	14	11	20	7	8	14	5	11	3	1	8	8	14	12	4	9	16	22	18	0	0					
10	Число действительных избирательных бюллетеней	29710	1204	1204	230	1550	1471	1695	732	884	747	132	1245	1648	770	1306	1321	633	773	889	343	1089	652	140	448	735	934	1060	449	1182	1336	1277	1246	104	281					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	650	10	20	5	30	70	35	20	20	25	5	30	35	20	20	30	20	20	20	5	20	20	5	10	20	40	20	15	10	10	20	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	493	10	14	2	22	64	32	14	17	18	0	26	32	15	19	24	11	16	12	4	13	11	3	7	13	35	18	7	8	5	10	8	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	344	12	12	12	12	18	11	10	10	3	42	10	20	8	12	14	12	18	7	6	11	10	5	6	8	4	4	1	5	8	6	4	5	18					
14	Число погашенных неиспользованных открепительных удостоверений	157	0	6	3	8	6	3	6	3	7	5	4	3	5	1	6	9	4	8	1	7	9	2	3	7	5	2	8	2	5	10	2	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	0	0	0	0	0	1	1	1	0	1	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6644	297	248	38	349	354	388	185	209	202	12	316	409	202	308	297	150	183	194	65	209	121	31	102	180	231	230	89	234	277	238	227	15	54					
		22.10%	24.44%	20.24%	16.10%	22.40%	23.84%	22.70%	24.87%	23.35%	26.75%	8.89%	25.02%	24.46%	25.77%	23.39%	22.15%	23.44%	23.43%	21.48%	18.68%	19.00%	18.47%	21.99%	22.37%	24.23%	24.37%	21.46%	19.65%	19.65%	20.49%	18.32%	17.96%	14.42%	19.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6340	210	272	52	327	287	342	177	189	157	42	217	315	156	289	279	150	151	186	86	273	152	42	104	159	214	269	119	261	231	260	289	34	49					
		21.09%	17.28%	22.20%	22.03%	20.99%	19.33%	20.01%	23.79%	21.12%	20.79%	31.11%	17.18%	18.84%	19.90%	21.94%	20.81%	23.44%	19.33%	20.60%	24.71%	24.82%	23.21%	29.79%	22.81%	21.40%	22.57%	25.09%	26.27%	21.91%	17.09%	20.02%	22.86%	32.69%	17.44%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	408	13	13	3	19	30	26	2	9	5	2	13	22	12	17	20	10	18	12	5	12	11	2	8	14	12	18	7	19	13	18	20	1	2					
		1.36%	1.07%	1.06%	1.27%	1.22%	2.02%	1.52%	0.27%	1.01%	0.66%	1.48%	1.03%	1.32%	1.53%	1.29%	1.49%	1.56%	2.30%	1.33%	1.44%	1.09%	1.68%	1.42%	1.75%	1.88%	1.27%	1.68%	1.55%	1.60%	0.96%	1.39%	1.58%	0.96%	0.71%					
