Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    район Северное Тушино																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3776									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	91092	2375	2292	2350	2284	1981	2362	2303	2738	2824	989	2729	1575	2551	2140	2494	2471	2407	2471	2125	2534	2440	2402	2117	2449	2420	2284	2070	2316	2195	2540	2347	2152	2459	2346	2335	2283	2444	2520	2545	413	20									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70931	1800	1800	1800	1800	1500	1800	1800	2100	2200	800	2100	1200	2000	1700	1900	1900	1900	1900	1700	2000	1900	1900	1700	1900	1900	1800	1600	1800	1700	2000	1800	1700	1900	1800	1800	1800	1900	1900	2000	411	20									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29492	800	715	784	705	699	701	677	915	942	392	803	540	812	627	789	812	778	801	637	804	750	793	666	780	728	684	730	755	700	960	766	706	830	790	741	734	704	973	798	151	20									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	960	23	32	40	16	7	19	26	17	17	0	13	8	24	17	20	17	26	20	9	15	25	13	13	15	19	22	26	16	11	27	21	16	18	26	20	18	21	14	14	239	0									
6	Число погашенных избирательных бюллетеней	40479	977	1053	976	1079	794	1080	1097	1168	1241	408	1284	652	1164	1056	1091	1071	1096	1079	1054	1181	1125	1094	1021	1105	1153	1094	844	1029	989	1013	1013	978	1052	984	1039	1048	1175	913	1188	21	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	960	23	32	40	16	7	19	26	17	17	0	13	8	24	17	20	17	26	20	9	15	25	13	13	15	19	22	26	16	11	27	21	16	18	26	20	18	21	14	14	239	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29456	800	714	784	705	699	700	675	915	937	392	802	534	812	626	788	812	777	800	637	803	750	791	666	779	727	684	730	754	700	960	766	705	829	788	740	734	702	973	795	151	20									
9	Число недействительных избирательных бюллетеней	575	14	14	14	17	5	12	14	18	15	4	16	12	11	14	19	23	6	8	12	22	17	21	6	15	12	15	18	19	15	12	17	18	11	13	12	12	8	17	9	38	0									
10	Число действительных избирательных бюллетеней	29841	809	732	810	704	701	707	687	914	939	388	799	530	825	629	789	806	797	812	634	796	758	783	673	779	734	691	738	751	696	975	770	703	836	801	748	740	715	970	800	352	20									
