Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Гагаринская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	102685	2115	2203	2853	2432	2251	2320	2006	2085	2501	1768	2358	2388	1835	2176	2368	2384	2386	2335	2024	2269	2259	1701	2556	2213	2313	2675	2452	3040	2578	1055	2467	2286	2914	2398	1136	2242	2182	1091	2469	1872	1726	2265	2294	755	2969	1903	1457	224	31	42	63									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	91586	1800	1998	2399	2000	2000	2000	1788	2000	2460	1600	2000	1997	1600	2000	1980	2000	2000	2000	1599	2000	1994	1500	2000	2000	2000	2400	1982	2492	2000	1956	1998	2000	2488	1986	2000	2000	1996	1992	2000	1499	1496	1992	1994	700	2600	1600	1200	250	100	50	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48180	774	1214	1136	1065	905	852	899	1024	1301	867	1093	1091	856	999	971	1084	1118	1134	1004	1107	1117	737	1186	905	1136	1132	1039	1298	1101	1049	1138	1154	1243	965	1131	891	836	1069	1055	899	995	994	1198	100	1466	1001	679	84	16	32	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	962	72	15	5	20	16	32	2	18	14	14	16	32	16	25	7	11	22	21	17	28	18	13	28	9	21	26	6	14	15	6	14	11	7	6	5	12	25	21	23	35	26	17	36	0	25	21	12	99	8	0	0									
6	Число погашенных избирательных бюллетеней	42437	954	769	1258	915	1079	1116	887	958	1145	716	891	874	728	976	1002	905	860	845	578	865	859	750	786	1082	843	1242	937	1180	884	901	846	835	1238	1015	864	1097	1135	902	922	565	475	981	760	600	1109	578	509	67	76	18	60									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	962	72	15	5	20	16	32	2	18	14	14	16	32	16	25	7	11	22	21	17	28	18	13	28	9	21	26	6	14	15	6	14	11	7	6	5	12	25	21	23	35	26	17	36	0	25	21	12	99	8	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48145	774	1214	1136	1063	902	852	892	1024	1301	867	1093	1091	856	999	971	1084	1118	1134	1001	1107	1117	737	1186	902	1134	1132	1039	1297	1101	1049	1137	1154	1243	965	1131	891	836	1061	1055	899	995	994	1195	100	1465	1000	679	84	16	32	40									
9	Число недействительных избирательных бюллетеней	1194	17	38	28	17	28	30	15	28	34	24	25	38	25	17	29	23	36	35	26	27	23	19	20	24	14	28	21	38	27	26	32	17	26	18	32	33	18	25	41	24	16	21	34	2	42	15	8	10	0	0	0									
10	Число действительных избирательных бюллетеней	47913	829	1191	1113	1066	890	854	879	1014	1281	857	1084	1085	847	1007	949	1072	1104	1120	992	1108	1112	731	1194	887	1141	1130	1024	1273	1089	1029	1119	1148	1224	953	1104	870	843	1057	1037	910	1005	990	1197	98	1448	1006	683	173	24	32	40									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	530	10	10	20	10	10	10	10	10	10	10	20	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	30	10	10	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	239	5	1	15	3	4	5	3	6	2	6	15	4	1	3	8	14	5	4	3	4	5	2	7	2	8	3	3	7	5	9	6	4	8	3	4	4	4	5	2	1	6	3	5	0	9	13	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	516	25	6	10	3	6	3	3	8	8	3	8	10	3	6	9	10	21	6	16	7	6	5	12	5	12	0	1	13	3	10	10	6	4	5	8	4	4	6	10	12	10	18	117	6	21	26	5	0	5	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	291	5	9	5	7	6	5	7	4	8	4	5	6	9	7	2	6	5	6	7	6	5	8	3	8	2	7	7	3	5	1	4	6	2	7	6	6	6	5	8	9	4	7	5	10	1	17	10	10	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	1	0	2	0	0	0	1	0	0	0	3	1	0	2	0	0	0	1	1	0	0	1	1	0	2	2	0	1	2	2	0	0	3	2	1	0	1	0	0	1	2	1	0	0	2	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1178	27	22	19	19	26	22	23	18	26	17	32	20	18	13	17	40	25	31	30	19	28	25	25	18	29	31	22	26	18	33	32	29	29	31	28	11	26	17	20	33	28	33	33	6	42	34	22	3	0	0	2									
		2.40%	3.19%	1.79%	1.67%	1.75%	2.83%	2.49%	2.57%	1.73%	1.98%	1.93%	2.89%	1.78%	2.06%	1.27%	1.74%	3.65%	2.19%	2.68%	2.95%	1.67%	2.47%	3.33%	2.06%	1.98%	2.51%	2.68%	2.11%	1.98%	1.61%	3.13%	2.78%	2.49%	2.32%	3.19%	2.46%	1.22%	3.02%	1.57%	1.86%	3.53%	2.74%	3.26%	2.68%	6.00%	2.82%	3.33%	3.18%	1.64%	0.00%	0.00%	5.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	897	10	20	22	14	19	19	17	13	30	17	18	24	11	18	11	15	26	20	24	26	23	14	16	17	26	21	17	24	12	13	17	26	21	24	17	13	11	22	22	14	19	20	27	5	29	24	19	9	1	0	0									
		1.83%	1.18%	1.63%	1.93%	1.29%	2.07%	2.15%	1.90%	1.25%	2.28%	1.93%	1.62%	2.14%	1.26%	1.76%	1.12%	1.37%	2.28%	1.73%	2.36%	2.29%	2.03%	1.87%	1.32%	1.87%	2.25%	1.81%	1.63%	1.83%	1.08%	1.23%	1.48%	2.23%	1.68%	2.47%	1.50%	1.44%	1.28%	2.03%	2.04%	1.50%	1.86%	1.98%	2.19%	5.00%	1.95%	2.35%	2.75%	4.92%	4.17%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	471	8	13	15	16	10	7	4	10	12	15	3	6	10	13	5	10	20	7	10	9	9	9	13	7	13	16	12	15	9	9	10	12	14	7	8	7	8	8	12	9	8	14	12	0	7	6	6	7	0	1	0									
		0.96%	0.95%	1.06%	1.31%	1.48%	1.09%	0.79%	0.45%	0.96%	0.91%	1.70%	0.27%	0.53%	1.15%	1.27%	0.51%	0.91%	1.75%	0.61%	0.98%	0.79%	0.79%	1.20%	1.07%	0.77%	1.13%	1.38%	1.15%	1.14%	0.81%	0.85%	0.87%	1.03%	1.12%	0.72%	0.70%	0.78%	0.93%	0.74%	1.11%	0.96%	0.78%	1.38%	0.97%	0.00%	0.47%	0.59%	0.87%	3.83%	0.00%	3.13%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25678	455	795	634	548	446	431	555	545	699	437	605	590	416	506	510	533	560	636	513	622	569	390	681	443	586	610	561	673	634	576	628	601	625	490	613	473	403	552	553	449	543	489	557	37	871	561	327	100	11	14	22									
		52.29%	53.78%	64.69%	55.57%	50.60%	48.58%	48.76%	62.08%	52.30%	53.16%	49.60%	54.55%	52.54%	47.71%	49.41%	52.15%	48.68%	49.12%	55.06%	50.39%	54.80%	50.13%	52.00%	56.10%	48.63%	50.74%	52.68%	53.68%	51.33%	56.81%	54.60%	54.56%	51.59%	50.00%	50.46%	53.96%	52.38%	46.81%	51.02%	51.30%	48.07%	53.18%	48.37%	45.25%	37.00%	58.46%	54.95%	47.32%	54.64%	45.83%	43.75%	55.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	415	9	10	9	8	12	4	10	8	15	4	5	12	8	5	11	12	8	11	8	9	7	3	11	3	9	10	7	17	4	7	8	12	15	6	9	4	7	6	10	5	13	10	9	2	14	14	12	3	0	0	0									
		0.85%	1.06%	0.81%	0.79%	0.74%	1.31%	0.45%	1.12%	0.77%	1.14%	0.45%	0.45%	1.07%	0.92%	0.49%	1.12%	1.10%	0.70%	0.95%	0.79%	0.79%	0.62%	0.40%	0.91%	0.33%	0.78%	0.86%	0.67%	1.30%	0.36%	0.66%	0.70%	1.03%	1.20%	0.62%	0.79%	0.44%	0.81%	0.55%	0.93%	0.54%	1.27%	0.99%	0.73%	2.00%	0.94%	1.37%	1.74%	1.64%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	53	1	1	1	0	0	2	2	1	2	1	0	0	0	0	1	1	2	1	0	2	3	0	1	2	1	1	0	1	2	2	0	3	3	2	0	0	0	1	1	2	3	1	1	0	4	1	0	0	0	0	0									
		0.11%	0.12%	0.08%	0.09%	0.00%	0.00%	0.23%	0.22%	0.10%	0.15%	0.11%	0.00%	0.00%	0.00%	0.00%	0.10%	0.09%	0.18%	0.09%	0.00%	0.18%	0.26%	0.00%	0.08%	0.22%	0.09%	0.09%	0.00%	0.08%	0.18%	0.19%	0.00%	0.26%	0.24%	0.21%	0.00%	0.00%	0.00%	0.09%	0.09%	0.21%	0.29%	0.10%	0.08%	0.00%	0.27%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7623	124	190	203	165	128	146	151	165	293	142	146	165	130	179	151	175	161	170	153	173	149	102	179	158	193	194	178	182	167	158	161	180	197	155	182	175	133	156	167	144	162	156	167	18	217	129	100	31	5	12	6									
