Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    район Котловка																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38938	2329	2370	2439	2032	2515	512	2361	2337	2391	2501	2597	2407	2336	2522	2296	2260	2223	510									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28000	1700	1700	1700	1400	1800	400	1700	1700	1700	1800	1900	1700	1700	1800	1700	1600	1600	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12329	654	799	734	583	778	165	745	723	782	890	816	770	684	705	734	775	797	195									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	568	53	42	43	26	20	5	35	37	40	43	22	26	40	22	44	40	26	4									
6	Число погашенных избирательных бюллетеней	15103	993	859	923	791	1002	230	920	940	878	867	1062	904	976	1073	922	785	777	201									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	568	53	42	43	26	20	5	35	37	40	43	22	26	40	22	44	40	26	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12263	651	799	733	581	768	165	741	723	781	847	816	770	684	705	734	773	797	195									
9	Число недействительных избирательных бюллетеней	252	6	13	9	9	14	7	15	13	19	14	18	17	10	27	14	17	24	6									
10	Число действительных избирательных бюллетеней	12579	698	828	767	598	774	163	761	747	802	876	820	779	714	700	764	796	799	193									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	398	23	24	24	20	25	15	24	33	23	24	24	23	22	23	22	22	22	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	292	17	18	13	13	15	6	17	26	16	18	15	20	21	19	22	16	18	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	317	29	22	8	56	16	6	4	19	13	31	23	14	9	9	13	14	26	5									
14	Число погашенных неиспользованных открепительных удостоверений	106	6	6	11	7	10	9	7	7	7	6	9	3	1	4	0	6	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	3	6	0	2	2	0	2	5	1	4	3	1	2	6	7	2	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	485	19	37	24	28	29	6	29	24	30	34	30	24	32	27	39	36	29	8									
		3.78%	2.70%	4.40%	3.09%	4.61%	3.68%	3.53%	3.74%	3.16%	3.65%	3.82%	3.58%	3.02%	4.42%	3.71%	5.01%	4.43%	3.52%	4.02%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	218	11	17	12	8	11	2	11	12	23	19	18	9	9	12	11	12	17	4									
		1.70%	1.56%	2.02%	1.55%	1.32%	1.40%	1.18%	1.42%	1.58%	2.80%	2.13%	2.15%	1.13%	1.24%	1.65%	1.41%	1.48%	2.07%	2.01%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	451	28	30	22	16	33	6	26	21	24	34	28	32	28	22	35	31	31	4									
		3.51%	3.98%	3.57%	2.84%	2.64%	4.19%	3.53%	3.35%	2.76%	2.92%	3.82%	3.34%	4.02%	3.87%	3.03%	4.50%	3.81%	3.77%	2.01%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4489	246	260	261	229	269	66	318	246	308	331	314	297	242	248	258	291	244	61									
		34.99%	34.94%	30.92%	33.63%	37.73%	34.14%	38.82%	40.98%	32.37%	37.52%	37.19%	37.47%	37.31%	33.43%	34.11%	33.16%	35.79%	29.65%	30.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	280	12	7	22	6	15	3	15	20	12	19	25	25	14	16	22	18	19	10									
		2.18%	1.70%	0.83%	2.84%	0.99%	1.90%	1.76%	1.93%	2.63%	1.46%	2.13%	2.98%	3.14%	1.93%	2.20%	2.83%	2.21%	2.31%	5.03%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	1	1	1	1	2	1	1	2	2	3	2	2	5	2	2	4	1	1									
		0.26%	0.14%	0.12%	0.13%	0.16%	0.25%	0.59%	0.13%	0.26%	0.24%	0.34%	0.24%	0.25%	0.69%	0.28%	0.26%	0.49%	0.12%	0.50%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1715	83	88	100	83	134	34	105	114	115	104	106	123	111	105	99	99	96	16									
		13.37%	11.79%	10.46%	12.89%	13.67%	17.01%	20.00%	13.53%	15.00%	14.01%	11.69%	12.65%	15.45%	15.33%	14.44%	12.72%	12.18%	11.66%	8.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	361	18	26	21	14	21	3	17	30	18	26	26	20	20	25	21	21	29	5									
		2.81%	2.56%	3.09%	2.71%	2.31%	2.66%	1.76%	2.19%	3.95%	2.19%	2.92%	3.10%	2.51%	2.76%	3.44%	2.70%	2.58%	3.52%	2.51%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	456	16	33	25	18	28	7	24	29	18	39	26	30	39	28	30	26	30	10									
		3.55%	2.27%	3.92%	3.22%	2.97%	3.55%	4.12%	3.09%	3.82%	2.19%	4.38%	3.10%	3.77%	5.39%	3.85%	3.86%	3.20%	3.65%	5.03%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	1	1	3	1	2	0	3	0	4	1	2	0	2	3	1	0	0	0									
