Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Пущинская городская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375					
1	"Число избирателей, внесенных в список избирателей"	16850	2590	2788	2734	2724	1941	1964	2109					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12900	2000	2100	2100	2100	1500	1500	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8422	1386	1384	1293	1327	987	975	1070					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	270	49	51	61	47	33	13	16					
6	Число погашенных избирательных бюллетеней	4208	565	665	746	726	480	512	514					
7	Число избирательных бюллетеней в переносных ящиках для голосования	270	49	51	61	47	33	13	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8397	1381	1382	1292	1327	986	961	1068					
9	Число недействительных избирательных бюллетеней	214	46	26	42	23	30	21	26					
10	Число действительных избирательных бюллетеней	8453	1384	1407	1311	1351	989	953	1058					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	50	55	55	65	40	50	55					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	244	26	48	40	34	29	34	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	150	39	27	19	23	17	8	17					
14	Число погашенных неиспользованных открепительных удостоверений	126	24	7	15	31	11	16	22					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	1	4	0	4	3	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1687	257	291	254	259	210	207	209					
		19.46%	17.97%	20.31%	18.77%	18.85%	20.61%	21.25%	19.28%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1092	129	169	200	196	107	154	137					
		12.60%	9.02%	11.79%	14.78%	14.26%	10.50%	15.81%	12.64%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	20	17	26	23	11	11	14					
		1.41%	1.40%	1.19%	1.92%	1.67%	1.08%	1.13%	1.29%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2780	514	444	407	436	332	292	355					
		32.08%	35.94%	30.98%	30.08%	31.73%	32.58%	29.98%	32.75%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	850	180	187	115	81	106	85	96					
		9.81%	12.59%	13.05%	8.50%	5.90%	10.40%	8.73%	8.86%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1847	274	284	305	336	211	199	238					
		21.31%	19.16%	19.82%	22.54%	24.45%	20.71%	20.43%	21.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	75	10	15	4	20	12	5	9					
		0.87%	0.70%	1.05%	0.30%	1.46%	1.18%	0.51%	0.83%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
