Выборы Президента Российской Федерации																																																																																																																																							
Дата голосования: 04.03.2012																																																																																																																																							
																																																																																																																																							
Наименование Избирательной комиссии:    Омск, Центральная																																																																																																																																							
																																																																																																																																							
Сводная таблица итогов голосования																																																																																																																																							
																																																																																																																																							
	Число участковых избирательных комиссий	124																																																																																																																																					
	Число участковых избирательных комиссий, приступивших к передаче сведений	124																																																																																																																																					
																																																																																																																																							
		Сумма	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465									
1	Число избирателей, включенных в список избирателей	231330	1663	1680	2195	1930	1824	2191	2393	2335	2683	2263	2546	2183	1856	2270	2541	2596	1732	1947	1891	2156	2345	748	910	195	2664	1537	2229	2029	2099	2493	2399	1772	1538	1953	1912	2270	2099	1813	2009	1817	1492	1529	1767	2105	2237	2200	2384	2461	2354	1683	1516	2004	1561	2365	2276	2550	1662	2380	2292	565	163	1765	1742	2663	1962	1165	2165	798	1438	2351	2459	2413	2455	1897	1294	1735	2097	1860	2259	2360	1736	2194	2475	1897	2357	1971	2522	1864	2208	2655	2744	1202	1674	2443	2289	227	310	192	119	154	251	62	1585	2025	1875	1223	2605	2551	2305	2585	1683	1400	1860	2159	1881	1455	1528	80	2062	1148	2151	2747	2436	2310									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	219600	1600	1600	2100	1600	1700	2000	2300	2200	2500	2000	2400	2100	1700	2100	2400	2500	1600	1800	1800	2100	2200	800	1000	200	2500	1400	2100	1900	2000	2400	2300	1600	1500	1900	1800	2100	2100	1700	1900	1700	1400	1400	1600	2000	2100	2000	2300	2300	2200	1600	1400	1900	1500	2200	2200	2400	1600	2300	2100	700	200	1700	1700	2600	1900	1600	1900	800	1200	2200	2300	2300	2300	1800	1200	1600	2000	1800	2100	2200	1700	2100	2400	1700	2200	1900	2400	1800	2100	2500	2600	1100	1600	2300	2200	200	400	250	150	200	300	100	1500	1900	1800	1100	2500	2400	2200	2500	1600	1300	1800	2100	1800	1400	1400	100	2000	1100	2000	2600	2300	2200									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	128806	755	814	1013	890	1009	1250	1151	1299	1578	1082	1149	1120	902	888	1120	1431	981	1333	977	1419	1542	746	632	134	1672	709	1094	1144	1232	1146	1450	1015	936	1135	1004	1224	1045	974	1172	964	849	894	961	1318	1339	1150	1201	1333	1308	946	849	1039	873	1393	1214	1564	1044	1238	972	180	141	1115	1088	1463	1241	1126	1375	655	805	994	1161	1013	1416	1179	602	879	1149	986	1113	1466	876	1168	1577	989	1473	1283	1503	1226	1361	1622	1404	486	755	1361	1231	190	224	163	72	145	194	62	939	1272	1170	706	1339	1509	1483	1508	1087	888	1146	1228	1238	934	892	79	1129	448	1024	1345	1132	1182									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	6007	16	26	51	248	39	49	26	89	54	142	27	17	53	48	22	33	25	28	44	71	59	2	265	37	49	78	84	56	58	37	50	35	33	56	63	65	31	28	54	82	53	33	37	54	80	37	61	25	14	27	70	16	14	21	31	39	34	20	28	362	6	53	31	50	70	39	58	29	141	30	30	51	19	48	68	64	25	30	59	55	14	31	45	109	27	26	53	26	23	29	38	30	21	15	19	0	62	29	47	0	57	0	64	58	44	25	38	47	28	30	19	38	29	22	25	42	54	0	45	9	27	27	56	237									
6	Число погашенных избирательных бюллетеней	84787	829	760	1036	462	652	701	1123	812	868	776	1224	963	745	1164	1258	1036	594	439	779	610	599	52	103	29	779	613	922	700	710	1217	800	550	531	709	733	811	1024	698	674	654	498	473	602	628	681	813	1038	942	878	627	481	845	613	786	955	797	522	1042	1100	158	53	532	581	1087	589	435	467	116	254	1176	1109	1236	865	573	530	657	826	784	928	679	810	901	778	602	700	591	844	548	716	849	1158	584	824	924	950	10	114	58	31	55	49	38	497	570	586	369	1123	844	689	962	494	374	625	850	537	424	454	21	826	643	949	1228	1112	781									
