Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Поспелихинская 																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284					
1	"Число избирателей, внесенных в списки"	21885	2223	2264	1759	2799	2011	1227	359	1189	912	170	737	113	845	133	693	1414	603	438	1205	468	323					
2	"Число бюллетеней, полученных участковыми комиссиями"	19416	1809	1978	1532	2533	1685	1111	327	1099	810	175	670	143	771	137	632	1280	547	375	1099	416	287					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12134	1019	1045	1027	1286	1014	765	266	778	571	102	505	96	497	103	410	732	426	336	684	265	207					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	795	158	54	41	65	66	34	8	81	37	17	21	17	28	3	27	48	20	5	21	25	19					
6	Число погашенных бюллетеней	6487	632	879	464	1182	605	312	53	240	202	56	144	30	246	31	195	500	101	34	394	126	61					
7	Число бюллетеней в переносных ящиках для голосования	795	158	54	41	65	66	34	8	81	37	17	21	17	28	3	27	48	20	5	21	25	19					
8	Число бюллетеней в стационарных ящиках для голосования	12118	1014	1045	1027	1277	1014	765	266	778	571	102	505	96	496	103	410	732	425	336	684	265	207					
9	Число недействительных бюллетеней	169	8	20	18	11	4	11	9	21	7	1	8	6	5	1	0	12	5	5	8	4	5					
10	Число действительных бюллетеней	12744	1164	1079	1050	1331	1076	788	265	838	601	118	518	107	519	105	437	768	440	336	697	286	221					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	152	5	10	15	12	15	10	5	10	5	5	5	5	6	5	5	10	4	0	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	33	2	0	0	4	0	3	0	3	5	1	3	0	0	1	1	2	4	0	3	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	4	2	2	1	15	2	0	0	1	0	0	2	1	0	5	2	4	1	0	0	0					
14	Число погашенных открепительных удостоверений	119	3	10	15	8	15	7	5	7	0	4	2	5	6	4	4	8	0	0	7	5	4					
15	Число открепительных удостоверений выданных ТИК	30	4	3	7	8	3	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	141	4	8	13	1	17	7	8	17	3	3	10	0	7	2	2	12	9	4	10	2	2					
		1.09%	0.34%	0.72%	1.21%	0.07%	1.57%	0.87%	2.91%	1.97%	0.49%	2.52%	1.90%	0.0%	1.33%	1.88%	0.45%	1.53%	2.02%	1.17%	1.41%	0.68%	0.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	322	11	16	36	36	27	16	13	12	11	2	47	8	25	10	7	9	6	7	15	4	4					
		2.49%	0.93%	1.45%	3.37%	2.68%	2.5%	2.00%	4.74%	1.39%	1.80%	1.68%	8.93%	7.07%	4.77%	9.43%	1.60%	1.15%	1.34%	2.05%	2.12%	1.37%	1.76%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	219	18	26	18	23	18	14	7	12	7	3	5	3	8	1	7	13	3	8	11	12	2					
		1.69%	1.53%	2.36%	1.68%	1.71%	1.66%	1.75%	2.55%	1.39%	1.15%	2.52%	0.95%	2.65%	1.52%	0.94%	1.60%	1.66%	0.67%	2.34%	1.56%	4.13%	0.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	132	17	11	14	9	13	6	2	7	5	2	4	3	3	0	8	8	4	2	12	1	1					
		1.02%	1.45%	1.00%	1.31%	0.67%	1.20%	0.75%	0.72%	0.81%	0.82%	1.68%	0.76%	2.65%	0.57%	0.0%	1.83%	1.02%	0.89%	0.58%	1.70%	0.34%	0.44%					
22	"5. ""За Русь Святую"""	51	4	6	4	5	5	6	2	0	2	0	3	0	2	0	2	6	0	2	1	0	1					
		0.39%	0.34%	0.54%	0.37%	0.37%	0.46%	0.75%	0.72%	0.0%	0.32%	0.0%	0.57%	0.0%	0.38%	0.0%	0.45%	0.76%	0.0%	0.58%	0.14%	0.0%	0.44%					
23	"6. ""Объединенная Российская партия ""Русь"""	28	4	1	1	0	3	0	2	4	0	1	0	1	2	1	2	1	2	1	1	0	1					
		0.21%	0.34%	0.09%	0.09%	0.0%	0.27%	0.0%	0.72%	0.46%	0.0%	0.84%	0.0%	0.88%	0.38%	0.94%	0.45%	0.12%	0.44%	0.29%	0.14%	0.0%	0.44%					
24	"7. ""Новый курс - Автомобильная Россия"""	50	7	3	2	12	4	3	5	3	0	1	1	0	0	0	1	1	0	3	3	0	1					
		0.38%	0.59%	0.27%	0.18%	0.89%	0.37%	0.37%	1.82%	0.34%	0.0%	0.84%	0.19%	0.0%	0.0%	0.0%	0.22%	0.12%	0.0%	0.87%	0.42%	0.0%	0.44%					
25	"8. ""Народно-республиканская партия России"""	8	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
		0.06%	0.0%	0.0%	0.09%	0.22%	0.09%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	2	0	1	2	3	0	0	1	1	0	0	0	1	0	0	1	4	0	0	0	0					
		0.12%	0.17%	0.0%	0.09%	0.14%	0.27%	0.0%	0.0%	0.11%	0.16%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.12%	0.89%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1080	46	48	58	44	42	88	50	99	66	4	56	11	54	9	15	80	48	52	151	21	38					
		8.36%	3.92%	4.36%	5.43%	3.27%	3.88%	11.01%	18.24%	11.52%	10.85%	3.36%	10.64%	9.73%	10.30%	8.49%	3.43%	10.25%	10.78%	15.24%	21.41%	7.24%	16.81%					
28	"11. ""Истинные патриоты России"""	13	1	1	0	2	1	0	2	3	0	0	0	0	0	0	1	1	1	0	0	0	0					
		0.10%	0.08%	0.09%	0.0%	0.14%	0.09%	0.0%	0.72%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.12%	0.22%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	103	3	12	2	5	8	10	3	6	3	0	5	2	7	0	4	3	2	13	7	3	5					
		0.79%	0.25%	1.09%	0.18%	0.37%	0.74%	1.25%	1.09%	0.69%	0.49%	0.0%	0.95%	1.76%	1.33%	0.0%	0.91%	0.38%	0.44%	3.81%	0.99%	1.03%	2.21%					
30	"13. ""Демократическая партия России"""	43	4	10	7	5	2	2	1	4	1	0	1	1	4	0	0	1	0	0	0	0	0					
		0.33%	0.34%	0.90%	0.65%	0.37%	0.18%	0.25%	0.36%	0.46%	0.16%	0.0%	0.19%	0.88%	0.76%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	2	2	1	0	0	1	1	0	1	0	1	1	3	0	0	2	0	0	0	0	2					
		0.13%	0.17%	0.18%	0.09%	0.0%	0.0%	0.12%	0.36%	0.0%	0.16%	0.0%	0.19%	0.88%	0.57%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.88%					
32	"15. ""Партия СЛОН"""	12	1	0	0	2	1	0	0	0	0	0	0	0	2	0	1	1	2	0	1	1	0					
