Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Ирбитская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397					
1	"Число избирателей, внесенных в списки"	23928	531	503	558	330	219	516	756	195	1109	376	626	936	244	210	503	135	127	598	242	528	1219	356	717	332	133	669	229	846	886	563	680	254	343	266	366	471	268	325	906	319	309	627	165	184	140	131	555	366	124	588	1349					
2	"Число бюллетеней, полученных участковыми комиссиями"	23040	525	480	575	320	220	550	698	180	1000	350	600	920	230	200	520	140	140	570	230	500	1200	320	681	330	140	620	200	820	850	540	660	280	320	250	340	451	280	330	850	300	300	600	160	180	130	130	550	360	120	550	1250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10595	161	183	238	159	83	225	310	136	373	174	170	327	125	103	222	81	80	225	129	280	584	204	320	132	66	309	109	367	426	255	322	153	129	123	136	190	172	195	426	158	148	294	85	99	93	100	188	147	65	178	638					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2054	115	17	47	32	22	49	92	0	123	21	202	28	10	20	33	14	11	101	14	27	25	20	61	58	20	40	73	51	61	30	29	12	32	34	60	60	14	21	54	10	6	44	12	6	2	0	91	57	17	61	15					
6	Число погашенных бюллетеней	10391	249	280	290	129	115	276	296	44	504	155	228	565	95	77	265	45	49	244	87	193	591	96	300	140	54	271	18	402	363	255	309	115	159	93	144	201	94	114	370	132	146	262	63	75	35	30	271	156	38	311	597					
7	Число бюллетеней в переносных ящиках для голосования	2054	115	17	47	32	22	49	92	0	123	21	202	28	10	20	33	14	11	101	14	27	25	20	61	58	20	40	73	51	61	30	29	12	32	34	60	60	14	21	54	10	6	44	12	6	2	0	91	57	17	61	15					
8	Число бюллетеней в стационарных ящиках для голосования	10594	161	183	238	159	83	225	310	136	373	174	170	327	125	102	222	81	80	225	129	280	584	204	320	132	66	309	109	367	426	255	322	153	129	123	136	190	172	195	426	158	148	294	85	99	93	100	188	147	65	178	638					
9	Число недействительных бюллетеней	179	0	4	7	2	3	5	10	0	4	4	2	4	2	6	2	3	4	1	1	0	7	1	5	3	2	5	1	5	13	3	6	2	7	7	0	6	7	1	5	1	2	7	1	2	2	0	3	4	1	6	0					
10	Число действительных бюллетеней	12469	276	196	278	189	102	269	392	136	492	191	370	351	133	116	253	92	87	325	142	307	602	223	376	187	84	344	181	413	474	282	345	163	154	150	196	244	179	215	475	167	152	331	96	103	93	100	276	200	81	233	653					
