Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Приютненская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8090	401	314	752	279	351	528	516	1264	1065	712	1317	591									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8272	410	325	765	285	352	540	495	1300	1105	720	1365	610									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3824	224	150	352	179	289	275	289	480	443	302	524	317									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	361	13	12	26	11	1	71	25	77	22	34	50	19									
6	Число погашенных избирательных бюллетеней	4087	173	163	387	95	62	194	181	743	640	384	791	274									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	361	13	12	26	11	1	71	25	77	22	34	50	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3824	224	150	352	179	289	275	289	480	443	302	524	317									
9	Число недействительных избирательных бюллетеней	49	0	0	2	0	0	1	10	4	8	3	16	5									
10	Число действительных избирательных бюллетеней	4136	237	162	376	190	290	345	304	553	457	333	558	331									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	209	10	19	10	10	10	20	20	25	20	10	30	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	178	9	19	10	10	3	8	20	21	20	8	27	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	145	6	12	6	13	6	9	57	5	8	3	5	15									
14	Число погашенных неиспользованных открепительных удостоверений	31	1	0	0	0	7	12	0	4	0	2	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	90	4	0	0	8	2	10	11	15	16	2	21	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	19	0	0	0	0	0	1	1	3	2	7	4	1									
		0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.32%	0.54%	0.43%	2.08%	0.70%	0.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	96	0	2	4	0	0	10	5	20	12	11	21	11									
		2.29%	0.00%	1.23%	1.06%	0.00%	0.00%	2.89%	1.59%	3.59%	2.58%	3.27%	3.66%	3.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	41	0	5	0	3	0	7	3	8	4	1	5	5									
		0.98%	0.00%	3.09%	0.00%	1.58%	0.00%	2.02%	0.96%	1.44%	0.86%	0.30%	0.87%	1.49%									
