Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																															
Дата голосования: 02.12.2007																																																																															
																																																																															
Наименование Избирательной комиссии:    Илишевская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163					
1	"Число избирателей, внесенных в списки избирателей"	23682	389	107	215	527	210	144	542	191	254	164	78	110	117	274	173	244	367	543	76	83	221	219	490	155	91	131	412	252	78	348	206	139	474	290	140	55	534	281	433	207	355	361	226	79	224	343	150	114	209	590	295	130	444	99	79	350	327	450	385	288	554	550	83	244	265	189	1045	981	874	1308	1215	912					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24300	394	108	216	549	236	146	551	199	260	170	79	118	120	302	173	252	371	570	80	85	227	221	508	158	92	131	426	256	78	358	209	139	479	292	142	55	545	286	452	214	371	364	237	77	233	351	152	115	212	610	299	132	444	101	80	357	349	459	404	293	560	559	83	260	287	192	1066	977	953	1236	1284	956					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22481	350	107	165	504	197	127	525	191	254	164	70	110	115	252	152	221	351	479	74	80	203	198	482	142	89	131	389	242	78	331	200	139	437	288	140	43	518	273	407	179	305	355	217	74	224	343	150	114	209	587	269	125	416	99	79	340	297	426	354	282	530	477	72	230	258	171	969	938	852	1227	1203	892					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1047	39	0	50	23	13	17	12	0	0	0	8	0	0	22	21	23	16	64	2	3	18	21	7	13	2	0	23	10	0	17	6	0	37	2	0	12	16	8	26	28	50	6	6	2	0	0	0	0	0	3	23	5	28	0	0	10	30	24	29	6	24	66	11	14	7	18	50	30	16	9	5	16					
6	Число погашенных избирательных бюллетеней	772	5	1	1	22	26	2	14	8	6	6	1	8	5	28	0	8	4	27	4	2	6	2	19	3	1	0	14	4	0	10	3	0	5	2	2	0	11	5	19	7	16	3	14	1	9	8	2	1	3	20	7	2	0	2	1	7	22	9	21	5	6	16	0	16	22	3	47	9	85	0	76	48					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1047	39	0	50	23	13	17	12	0	0	0	8	0	0	22	21	23	16	64	2	3	18	21	7	13	2	0	23	10	0	17	6	0	37	2	0	12	16	8	26	28	50	6	6	2	0	0	0	0	0	3	23	5	28	0	0	10	30	24	29	6	24	66	11	14	7	18	50	30	16	9	5	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22481	350	107	165	504	197	127	525	191	254	164	70	110	115	252	152	221	351	479	74	80	203	198	482	142	89	131	389	242	78	331	200	139	437	288	140	43	518	273	407	179	305	355	217	74	224	343	150	114	209	587	269	125	416	99	79	340	297	426	354	282	530	477	72	230	258	171	969	938	852	1227	1203	892					
9	Число недействительных избирательных бюллетеней	28	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	5	0	0	0					
10	Число действительных избирательных бюллетеней	23500	389	107	215	527	210	144	537	191	254	164	78	110	115	263	173	243	367	543	76	83	221	219	489	155	91	131	412	252	78	348	206	139	474	290	140	55	534	281	432	207	354	361	223	76	224	343	150	114	209	590	287	130	444	99	79	350	327	449	383	288	554	543	83	244	265	189	1016	968	863	1236	1208	908					
