Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Илишевская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138					
1	"Число избирателей, внесенных в список избирателей"	24852	366	102	200	560	237	149	523	191	238	154	72	134	122	308	175	251	536	73	80	243	224	393	506	158	83	128	441	256	71	371	203	145	533	323	151	528	276	409	202	354	255	390	94	212	310	160	131	209	599	294	159	472	101	81	445	321	454	296	627	752	77	241	287	162	346	1012	958	1002	1448	1425	1063					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26106	391	105	204	573	251	146	557	200	240	168	73	135	134	330	186	270	624	79	80	262	243	425	590	159	84	135	459	259	73	377	215	150	541	325	154	614	278	444	215	357	277	419	95	220	354	165	139	217	685	312	157	479	105	83	447	329	469	306	642	781	83	254	294	165	346	1067	989	1053	1455	1509	1105					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22735	325	99	152	535	228	139	486	172	227	152	63	126	118	250	155	205	464	69	70	225	205	336	471	148	76	128	417	242	67	339	189	140	449	307	142	512	264	372	169	311	240	384	87	210	310	160	131	209	577	249	150	425	101	81	423	287	405	283	486	625	68	233	275	143	332	898	906	913	1321	1313	966					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1287	41	3	48	19	5	7	37	19	11	0	8	0	0	33	20	40	67	4	10	15	16	45	33	10	7	0	24	14	4	29	12	5	69	7	4	16	12	35	31	43	5	6	6	0	0	0	0	0	22	35	6	33	0	0	17	25	29	9	54	27	9	8	7	19	14	43	33	45	11	8	13					
6	Число погашенных избирательных бюллетеней	2084	25	3	4	19	18	0	34	9	2	16	2	9	16	47	11	25	93	6	0	22	22	44	86	1	1	7	18	3	2	9	14	5	23	11	8	86	2	37	15	3	32	29	2	10	44	5	8	8	86	28	1	21	4	2	7	17	35	14	102	129	6	13	12	3	0	126	50	95	123	188	126					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1287	41	3	48	19	5	7	37	19	11	0	8	0	0	33	20	40	67	4	10	15	16	45	33	10	7	0	24	14	4	29	12	5	69	7	4	16	12	35	31	43	5	6	6	0	0	0	0	0	22	35	6	33	0	0	17	25	29	9	54	27	9	8	7	19	14	43	33	45	11	8	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22735	325	99	152	535	228	139	486	172	227	152	63	126	118	250	155	205	464	69	70	225	205	336	471	148	76	128	417	242	67	339	189	140	449	307	142	512	264	372	169	311	240	384	87	210	310	160	131	209	577	249	150	425	101	81	423	287	405	283	486	625	68	233	275	143	332	898	906	913	1321	1313	966					
9	Число недействительных избирательных бюллетеней	70	0	0	0	0	0	0	0	0	1	0	0	0	3	4	0	0	9	0	0	2	0	5	2	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	4	0	0	0	5	6	5	0	2	0	0	0	0	0	6	4	0	0	0	0	0	0	0	5	0	0	0					
10	Число действительных избирательных бюллетеней	23952	366	102	200	554	233	146	523	191	237	152	71	126	115	279	175	245	522	73	80	238	221	376	502	158	83	128	441	256	71	368	201	145	518	310	146	525	276	407	200	354	245	390	93	210	306	160	131	209	594	278	151	458	99	81	440	312	434	292	534	648	77	241	282	162	346	941	939	953	1332	1321	979					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	333	3	0	0	3	0	0	2	0	2	0	0	0	0	10	1	4	5	2	0	4	3	3	10	1	0	2	2	3	0	2	4	3	6	0	1	5	0	14	0	0	2	1	0	0	0	0	0	1	11	0	0	8	0	0	2	3	10	5	4	16	0	3	1	0	0	27	25	15	35	35	34					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	333	3	0	0	3	0	0	2	0	2	0	0	0	0	10	1	4	5	2	0	4	3	3	10	1	0	2	2	3	0	2	4	3	6	0	1	5	0	14	0	0	2	1	0	0	0	0	0	1	11	0	0	8	0	0	2	3	10	5	4	16	0	3	1	0	0	27	25	15	35	35	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	155	1	1	0	5	0	0	5	1	3	0	0	1	3	2	1	2	6	1	0	4	1	2	3	2	1	0	5	2	1	0	1	1	3	2	1	3	4	5	1	4	1	4	2	0	0	1	3	1	5	0	3	1	0	0	2	0	3	2	0	2	2	2	2	0	1	11	15	5	3	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	417	6	0	0	3	3	1	24	2	2	11	2	4	10	13	3	11	27	4	1	5	6	14	13	2	0	2	4	6	1	2	1	1	2	2	0	17	3	14	8	7	14	17	1	3	7	2	5	3	8	10	0	12	2	1	11	2	3	1	0	4	0	8	1	4	2	12	4	6	14	16	7					
