Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Хоринская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834					
1	"Число избирателей, внесенных в список избирателей"	13054	39	195	69	1156	450	207	515	245	156	689	87	285	291	115	108	324	201	215	233	245	259	294	161	157	388	2229	2592	1149					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12776	38	192	66	1143	446	205	517	243	152	684	103	274	289	115	105	320	201	209	213	245	260	291	160	157	388	2100	2560	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7757	29	145	48	708	296	139	326	183	101	438	80	192	170	76	76	285	171	125	154	173	188	192	127	141	292	1157	1222	523					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1019	2	11	10	57	40	30	55	24	16	44	7	19	38	6	17	29	28	37	10	40	46	41	19	8	20	155	83	127					
6	Число погашенных избирательных бюллетеней	3992	7	36	8	378	110	36	136	36	35	202	16	63	81	33	12	6	2	47	49	32	26	58	14	8	76	788	1255	442					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1027	2	11	10	57	40	30	55	24	16	44	7	19	38	6	17	29	28	37	10	40	46	41	19	8	20	155	83	135					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7757	29	145	48	708	296	139	326	183	101	438	80	192	170	76	76	285	171	125	154	173	188	192	127	141	292	1157	1222	523					
9	Число недействительных избирательных бюллетеней	107	0	1	0	16	5	0	1	0	1	11	0	3	2	1	3	6	0	3	0	5	1	3	1	0	3	22	16	3					
10	Число действительных избирательных бюллетеней	8677	31	155	58	749	331	169	380	207	116	471	87	208	206	81	90	308	199	159	164	208	233	230	145	149	309	1290	1289	655					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	366	2	3	2	30	15	5	20	5	5	20	3	10	5	3	5	40	20	5	5	5	5	5	5	5	10	55	48	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	366	2	3	2	30	15	5	20	5	5	20	3	10	5	3	5	40	20	5	5	5	5	5	5	5	10	55	48	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	1	1	3	4	2	0	1	0	1	1	1	3	2	3	2	4	4	5	2	2	1	1	2	2	2	30	12	6					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	4	14	7	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	902	4	8	3	112	26	4	53	9	7	52	6	22	25	8	6	12	6	10	13	12	10	17	4	9	38	159	182	85					
		10.27%	12.90%	5.13%	5.17%	14.64%	7.74%	2.37%	13.91%	4.35%	5.98%	10.79%	6.90%	10.43%	12.02%	9.76%	6.45%	3.82%	3.02%	6.17%	7.93%	5.63%	4.27%	7.30%	2.74%	6.04%	12.18%	12.12%	13.95%	12.92%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	498	4	3	3	53	14	4	21	1	4	47	9	18	4	10	4	3	0	6	6	7	2	29	0	1	23	70	98	54					
		5.67%	12.90%	1.92%	5.17%	6.93%	4.17%	2.37%	5.51%	0.48%	3.42%	9.75%	10.34%	8.53%	1.92%	12.20%	4.30%	0.96%	0.00%	3.70%	3.66%	3.29%	0.85%	12.45%	0.00%	0.67%	7.37%	5.34%	7.51%	8.21%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	46	0	3	0	7	1	1	1	2	0	1	1	0	2	1	1	0	0	0	1	2	0	0	0	0	0	9	8	5					
		0.52%	0.00%	1.92%	0.00%	0.92%	0.30%	0.59%	0.26%	0.97%	0.00%	0.21%	1.15%	0.00%	0.96%	1.22%	1.08%	0.00%	0.00%	0.00%	0.61%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.61%	0.76%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1364	4	17	6	93	53	32	40	17	21	72	2	29	86	25	8	48	7	21	21	28	17	30	19	5	26	228	307	102					
		15.53%	12.90%	10.90%	10.34%	12.16%	15.77%	18.93%	10.50%	8.21%	17.95%	14.94%	2.30%	13.74%	41.35%	30.49%	8.60%	15.29%	3.52%	12.96%	12.80%	13.15%	7.26%	12.88%	13.01%	3.36%	8.33%	17.38%	23.52%	15.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	72	0	0	0	5	1	1	0	0	2	1	0	4	5	0	0	0	0	3	0	0	3	3	0	2	0	12	24	6					
		0.82%	0.00%	0.00%	0.00%	0.65%	0.30%	0.59%	0.00%	0.00%	1.71%	0.21%	0.00%	1.90%	2.40%	0.00%	0.00%	0.00%	0.00%	1.85%	0.00%	0.00%	1.28%	1.29%	0.00%	1.34%	0.00%	0.91%	1.84%	0.91%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5765	19	124	46	473	235	127	265	178	82	297	69	135	84	37	70	242	186	118	123	159	201	150	122	132	222	805	667	397					
		65.63%	61.29%	79.49%	79.31%	61.83%	69.94%	75.15%	69.55%	85.99%	70.09%	61.62%	79.31%	63.98%	40.38%	45.12%	75.27%	77.07%	93.47%	72.84%	75.00%	74.65%	85.90%	64.38%	83.56%	88.59%	71.15%	61.36%	51.11%	60.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	30	0	0	0	6	1	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	7	3	6					
		0.34%	0.00%	0.00%	0.00%	0.78%	0.30%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	1.08%	0.96%	0.00%	0.62%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.53%	0.23%	0.91%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
