Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Упоровская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15223	448	216	145	81	443	108	69	730	207	102	145	102	657	565	128	211	63	164	477	140	132	460	214	125	260	342	513	928	180	461	822	193	177	1534	1502	1373	555	139	112									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15401	460	225	147	83	480	123	94	740	213	109	147	109	660	580	130	219	65	171	470	142	134	470	212	127	265	340	520	930	181	450	800	204	180	1550	1500	1358	550	145	118									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12632	396	183	138	78	406	100	45	638	194	91	133	95	554	524	112	191	63	128	418	126	117	358	158	113	189	297	416	849	155	368	666	158	164	1183	1163	1064	387	119	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1039	42	18	5	3	37	8	24	39	10	8	4	7	67	18	0	8	0	28	11	3	5	64	52	8	59	20	58	35	9	52	47	31	10	80	61	56	26	16	10									
6	Число погашенных избирательных бюллетеней	1730	22	24	4	2	37	15	25	63	9	10	10	7	39	38	18	20	2	15	41	13	12	48	2	6	17	23	46	46	17	30	87	15	6	287	276	238	137	10	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1039	42	18	5	3	37	8	24	39	10	8	4	7	67	18	0	8	0	28	11	3	5	64	52	8	59	20	58	35	9	52	47	31	10	80	61	56	26	16	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12631	396	183	137	78	406	100	45	638	194	91	133	95	554	524	112	191	63	128	418	126	117	358	158	113	189	297	416	849	155	368	666	158	164	1183	1163	1064	387	119	95									
9	Число недействительных избирательных бюллетеней	20	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	4	0	0	0	0	7	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	13650	438	201	142	81	443	108	67	676	204	99	137	102	621	542	112	199	63	156	427	128	121	422	210	121	246	313	474	884	164	420	706	189	174	1263	1224	1120	413	135	105									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	418	10	5	5	3	15	5	5	20	10	5	5	5	20	25	10	10	5	5	10	5	5	10	5	5	15	10	20	15	5	10	25	10	10	30	20	20	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	263	6	5	0	0	8	0	3	20	5	5	0	5	8	25	10	10	0	5	4	4	0	2	0	0	7	4	13	8	2	6	10	10	4	25	20	12	10	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	0	0	0	1	0	1	1	5	1	0	1	1	1	3	1	1	3	0	3	2	0	1	3	1	1	1	3	0	1	1	3	1	1	5	0	0	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	155	4	0	5	3	7	5	2	0	5	0	5	0	12	0	0	0	5	0	6	1	5	8	5	5	8	6	7	7	3	4	15	0	6	5	0	8	0	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	1	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	1	0	4	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	0	0	0	0	2	0	1	2	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	1.45%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.64%	0.23%	0.78%	0.00%	0.24%	0.48%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	43	0	1	0	0	3	2	2	2	0	0	0	2	5	0	0	0	0	0	2	0	0	3	2	0	1	0	1	2	0	0	9	2	0	0	0	0	3	1	0									
		0.31%	0.00%	0.50%	0.00%	0.00%	0.68%	1.85%	2.90%	0.30%	0.00%	0.00%	0.00%	1.96%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.71%	0.95%	0.00%	0.40%	0.00%	0.21%	0.23%	0.00%	0.00%	1.26%	1.06%	0.00%	0.00%	0.00%	0.00%	0.73%	0.74%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	54	0	1	3	0	3	1	0	1	0	1	0	0	1	3	0	4	0	0	1	1	3	4	0	1	1	0	2	0	3	3	12	0	0	0	0	0	5	0	0									
		0.40%	0.00%	0.50%	2.11%	0.00%	0.68%	0.93%	0.00%	0.15%	0.00%	1.01%	0.00%	0.00%	0.16%	0.55%	0.00%	2.01%	0.00%	0.00%	0.23%	0.78%	2.46%	0.95%	0.00%	0.83%	0.40%	0.00%	0.42%	0.00%	1.83%	0.71%	1.68%	0.00%	0.00%	0.00%	0.00%	0.00%	1.21%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11278	394	172	121	77	350	89	48	554	184	81	115	86	539	470	97	173	55	135	344	112	98	357	178	102	208	259	384	766	120	340	437	186	167	1060	1032	936	253	109	90									
		82.50%	89.95%	85.57%	85.21%	95.06%	79.01%	82.41%	69.57%	81.83%	90.20%	81.82%	83.94%	84.31%	86.80%	86.72%	86.61%	86.93%	87.30%	86.54%	80.19%	86.82%	80.33%	84.60%	84.76%	84.30%	83.87%	81.70%	81.01%	86.65%	73.17%	80.95%	61.29%	98.41%	95.98%	83.93%	84.31%	83.57%	61.26%	80.74%	85.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	7	4	0	0									
