Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Городецкая																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74249	2762	1440	1335	1564	1220	1262	1129	2327	1241	1413	1230	2538	2259	1133	1171	1323	1852	1714	1747	1774	1487	1647	1555	1863	1791	1564	1598	1479	1658	1509	1539	1641	1167	562	808	477	621	890	1188	494	703	265	1445	770	1396	1158	1015	1045	917	536	642	1485	1523	1610	1767									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74000	2750	1450	1350	1500	1200	1250	1150	2350	1200	1350	1250	2500	2300	1150	1200	1350	1850	1700	1750	1800	1450	1650	1550	1750	1750	1550	1600	1500	1650	1500	1550	1650	1150	600	800	500	600	850	1200	500	700	250	1450	750	1400	1200	1000	1050	900	550	650	1500	1500	1600	1750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30071	1170	456	586	599	407	454	264	704	551	500	378	857	986	474	411	395	660	770	724	724	749	710	598	832	699	695	785	670	793	750	787	823	548	216	293	283	170	298	461	170	272	81	486	235	787	410	347	361	337	195	318	530	656	800	856									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3474	79	117	8	16	10	12	51	119	20	66	34	16	12	3	15	75	17	36	17	25	13	9	45	151	99	12	7	16	10	4	6	3	22	125	141	51	150	187	87	75	103	58	204	80	329	137	93	253	102	33	54	13	24	16	14									
6	Число погашенных избирательных бюллетеней	40454	1501	877	756	885	783	784	835	1527	628	784	838	1627	1302	673	774	880	1173	894	1009	1051	688	931	907	767	952	843	808	814	847	746	757	824	580	259	366	166	280	365	652	255	325	111	760	435	284	653	560	436	461	322	278	957	820	784	880									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3474	79	117	8	16	10	12	51	119	20	66	34	16	12	3	15	75	17	36	17	25	13	9	45	151	99	12	7	16	10	4	6	3	22	125	141	51	150	187	87	75	103	58	204	80	329	137	93	253	102	33	54	13	24	16	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30033	1170	456	585	599	407	454	264	704	551	499	378	841	982	473	411	395	657	768	724	724	749	708	597	832	697	695	785	670	793	750	787	819	548	216	293	283	170	298	461	170	272	81	485	235	787	410	347	361	337	195	318	530	656	800	856									
9	Число недействительных избирательных бюллетеней	716	19	22	17	4	11	14	4	18	10	16	12	22	22	9	14	8	19	15	15	23	13	32	22	4	9	14	26	18	18	15	14	26	9	15	7	8	7	9	12	2	7	1	7	6	6	16	6	9	5	7	3	12	19	25	13									
10	Число действительных избирательных бюллетеней	32791	1230	551	576	611	406	452	311	805	561	549	400	835	972	467	412	462	655	789	726	726	749	685	620	979	787	693	766	668	785	739	779	796	561	326	427	326	313	476	536	243	368	138	682	309	1110	531	434	605	434	221	369	531	661	791	857									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	930	25	20	20	15	15	5	10	25	15	15	15	25	25	15	10	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	15	15	15	15	15	15	15	10	15	7	15	10	15	25	12	7	10	10	15	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	630	16	18	20	15	12	4	5	20	9	12	12	18	24	12	10	18	14	6	19	17	13	10	9	20	13	20	20	15	18	14	10	17	7	4	5	4	2	6	4	2	5	0	14	8	11	25	9	6	6	2	0	9	10	15	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	536	34	5	4	12	11	5	10	8	26	12	8	11	5	16	10	7	0	10	5	4	17	8	10	14	17	5	2	12	10	4	7	9	5	4	6	6	6	10	13	14	6	4	10	9	7	12	16	3	11	5	5	14	10	11	31									
14	Число погашенных неиспользованных открепительных удостоверений	300	9	2	0	0	3	1	5	5	6	3	3	7	1	3	0	1	6	14	1	3	7	10	11	0	7	0	0	5	2	6	10	3	8	11	10	11	13	9	11	8	10	7	1	2	4	0	3	1	4	8	15	11	10	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	3	1	1	1	1	2	0	3	1	1	4	9	4	1	0	3	3	1	2	1	2	0	1	1	0	1	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	417	20	7	12	8	1	5	7	11	10	11	3	15	18	4	6	11	5	13	9	10	9	11	5	11	11	7	8	7	9	8	13	8	3	2	8	5	8	14	10	1	2	3	7	4	3	3	6	5	5	0	0	15	8	4	8									
		1.24%	1.60%	1.22%	2.02%	1.30%	0.24%	1.07%	2.22%	1.34%	1.75%	1.95%	0.73%	1.75%	1.81%	0.84%	1.41%	2.34%	0.74%	1.62%	1.21%	1.34%	1.18%	1.53%	0.78%	1.12%	1.38%	0.99%	1.01%	1.02%	1.12%	1.06%	1.64%	0.97%	0.53%	0.59%	1.84%	1.50%	2.50%	2.89%	1.82%	0.41%	0.53%	2.16%	1.02%	1.27%	0.27%	0.55%	1.36%	0.81%	1.14%	0.00%	0.00%	2.76%	1.18%	0.49%	0.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	739	26	12	22	0	11	14	8	25	13	12	18	21	28	11	9	13	15	13	13	15	18	21	12	17	19	17	12	4	13	18	22	21	18	14	7	1	12	5	14	6	11	7	13	1	1	24	8	15	5	6	5	21	15	15	22									
		2.21%	2.08%	2.09%	3.71%	0.00%	2.64%	3.00%	2.54%	3.04%	2.28%	2.12%	4.37%	2.45%	2.82%	2.31%	2.11%	2.77%	2.23%	1.62%	1.75%	2.00%	2.36%	2.93%	1.87%	1.73%	2.39%	2.40%	1.52%	0.58%	1.62%	2.39%	2.77%	2.55%	3.16%	4.11%	1.61%	0.30%	3.75%	1.03%	2.55%	2.45%	2.93%	5.04%	1.89%	0.32%	0.09%	4.39%	1.82%	2.44%	1.14%	2.63%	1.34%	3.87%	2.21%	1.84%	2.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	682	17	15	12	10	12	11	5	19	12	16	4	37	21	11	7	14	7	25	27	7	11	14	13	14	17	17	13	21	13	16	10	28	7	11	10	11	2	5	15	3	10	2	25	1	2	23	15	9	4	1	3	9	11	11	16									
		2.04%	1.36%	2.62%	2.02%	1.63%	2.88%	2.36%	1.59%	2.31%	2.10%	2.83%	0.97%	4.32%	2.11%	2.31%	1.64%	2.98%	1.04%	3.11%	3.64%	0.93%	1.44%	1.95%	2.02%	1.42%	2.14%	2.40%	1.64%	3.06%	1.62%	2.12%	1.26%	3.41%	1.23%	3.23%	2.30%	3.29%	0.63%	1.03%	2.74%	1.22%	2.67%	1.44%	3.63%	0.32%	0.18%	4.20%	3.41%	1.47%	0.91%	0.44%	0.81%	1.66%	1.62%	1.35%	1.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17852	698	321	265	416	193	212	145	450	329	275	216	394	485	230	205	265	269	363	352	370	395	305	322	573	436	324	388	348	386	369	380	385	196	224	288	218	217	272	288	172	209	87	413	188	878	245	195	413	339	156	296	240	346	476	432									
		53.28%	55.88%	56.02%	44.69%	67.64%	46.28%	45.49%	46.03%	54.68%	57.62%	48.67%	52.43%	45.97%	48.79%	48.32%	48.12%	56.38%	39.91%	45.15%	47.50%	49.40%	51.84%	42.54%	50.16%	58.29%	54.77%	45.83%	48.99%	50.73%	48.07%	48.94%	47.92%	46.84%	34.39%	65.69%	66.36%	65.27%	67.81%	56.08%	52.55%	70.20%	55.73%	62.59%	59.94%	59.68%	78.67%	44.79%	44.32%	67.26%	77.22%	68.42%	79.57%	44.20%	50.88%	58.33%	49.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	168	8	1	2	1	1	5	2	4	1	1	0	5	7	8	2	2	3	5	2	8	5	3	3	5	7	4	1	6	3	5	4	3	1	5	3	2	2	2	1	1	1	1	6	1	2	3	0	2	1	2	1	4	4	3	3									
		0.50%	0.64%	0.17%	0.34%	0.16%	0.24%	1.07%	0.63%	0.49%	0.18%	0.18%	0.00%	0.58%	0.70%	1.68%	0.47%	0.43%	0.45%	0.62%	0.27%	1.07%	0.66%	0.42%	0.47%	0.51%	0.88%	0.57%	0.13%	0.87%	0.37%	0.66%	0.50%	0.36%	0.18%	1.47%	0.69%	0.60%	0.63%	0.41%	0.18%	0.41%	0.27%	0.72%	0.87%	0.32%	0.18%	0.55%	0.00%	0.33%	0.23%	0.88%	0.27%	0.74%	0.59%	0.37%	0.34%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	1	1	0	0	3	1	1	0	1	0	0	0	1	0	2	1	3	1	0	0	0	0	0	1	2	0	1	0	1	1	0	0	1	0	0	0	1	0	2	0	1	0	0	1	3	1	0	0	0	0	0	1	1	0	1									
		0.10%	0.08%	0.17%	0.00%	0.00%	0.72%	0.21%	0.32%	0.00%	0.18%	0.00%	0.00%	0.00%	0.10%	0.00%	0.47%	0.21%	0.45%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.25%	0.00%	0.13%	0.00%	0.12%	0.13%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.31%	0.00%	0.36%	0.00%	0.27%	0.00%	0.00%	0.32%	0.27%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.15%	0.00%	0.11%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6730	208	86	109	95	97	87	76	144	85	107	86	182	171	77	75	70	241	183	160	149	172	199	130	172	159	172	174	148	190	167	174	190	245	28	53	53	35	71	127	27	94	16	128	65	142	100	128	105	44	27	32	135	137	165	238									
