Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Пригородная																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №680	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №688	УИК №689	УИК №692	УИК №693									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27475	1722	1289	160	604	126	988	1744	53	229	408	121	80	319	512	123	66	407	357	713	1657	202	296	261	1902	2265	216	140	243	788	2772	292	1267	849	379	1089	685	2151									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27080	1700	1300	160	600	130	950	1690	120	210	430	120	80	330	500	120	60	400	330	730	1600	200	280	250	1900	2250	190	130	240	800	2750	290	1200	800	370	1050	670	2150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	88	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	13	0	0	0	7	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9873	622	505	63	261	42	345	638	43	89	149	58	35	140	183	65	37	180	112	261	529	58	111	124	570	757	103	51	80	278	824	92	456	361	202	394	278	777									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	915	19	14	9	32	10	68	95	3	10	19	5	1	11	15	5	9	30	30	26	20	5	9	21	32	20	8	17	8	52	61	5	38	5	19	98	24	62									
6	Число погашенных избирательных бюллетеней	16204	1059	781	88	277	78	537	957	74	111	262	57	44	179	302	50	14	190	188	443	1051	99	160	105	1298	1473	79	62	152	470	1865	180	706	434	149	551	368	1311									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1003	19	14	9	62	10	68	95	3	10	19	5	1	11	15	5	9	30	30	26	20	43	9	21	32	20	8	17	8	52	61	18	38	5	19	105	24	62									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9873	622	505	63	261	42	345	638	43	89	149	58	35	140	183	65	37	180	112	261	529	58	111	124	570	757	103	51	80	278	824	92	456	361	202	394	278	777									
9	Число недействительных избирательных бюллетеней	296	13	8	2	6	0	12	17	3	1	1	0	0	4	13	2	0	2	3	17	11	1	3	4	11	26	1	2	1	6	30	1	20	17	6	15	11	26									
10	Число действительных избирательных бюллетеней	10580	628	511	70	317	52	401	716	43	98	167	63	36	147	185	68	46	208	139	270	538	100	117	141	591	751	110	66	87	324	855	109	474	349	215	484	291	813									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	893	38	40	15	25	10	30	40	0	15	20	10	10	15	30	10	10	25	20	25	40	15	15	15	40	45	15	10	15	35	45	15	40	30	15	40	30	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	247	8	9	2	25	6	2	10	0	4	14	3	4	5	8	5	0	2	0	7	13	2	2	2	11	25	1	2	0	10	23	1	3	2	7	8	5	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	315	15	3	3	10	3	16	27	5	17	2	6	6	0	7	5	0	5	13	3	8	6	10	5	6	4	16	10	6	9	9	5	13	2	3	44	2	11									
14	Число погашенных неиспользованных открепительных удостоверений	646	30	31	13	0	4	28	30	0	11	6	7	6	10	22	5	10	23	20	18	27	13	13	13	29	20	14	8	15	25	22	14	37	28	8	32	25	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	108	4	4	0	2	0	9	4	2	1	2	1	0	1	0	1	0	4	1	0	5	1	2	3	4	6	0	2	0	4	8	5	7	4	3	6	5	7									
		0.99%	0.62%	0.77%	0.00%	0.62%	0.00%	2.18%	0.55%	4.35%	1.01%	1.19%	1.59%	0.00%	0.66%	0.00%	1.43%	0.00%	1.90%	0.70%	0.00%	0.91%	0.99%	1.67%	2.07%	0.66%	0.77%	0.00%	2.94%	0.00%	1.21%	0.90%	4.55%	1.42%	1.09%	1.36%	1.20%	1.66%	0.83%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	309	14	12	2	7	1	9	23	1	1	8	2	1	10	9	0	3	2	10	8	17	2	4	4	15	20	0	1	3	13	28	4	15	9	6	12	5	28									
		2.84%	2.18%	2.31%	2.78%	2.17%	1.92%	2.18%	3.14%	2.17%	1.01%	4.76%	3.17%	2.78%	6.62%	4.55%	0.00%	6.52%	0.95%	7.04%	2.79%	3.10%	1.98%	3.33%	2.76%	2.49%	2.57%	0.00%	1.47%	3.41%	3.94%	3.16%	3.64%	3.04%	2.46%	2.71%	2.40%	1.66%	3.34%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	270	20	14	1	8	3	9	15	3	2	10	0	0	2	7	0	0	8	2	10	9	2	3	4	19	18	6	2	0	5	20	0	12	7	2	13	8	26									
		2.48%	3.12%	2.70%	1.39%	2.48%	5.77%	2.18%	2.05%	6.52%	2.02%	5.95%	0.00%	0.00%	1.32%	3.54%	0.00%	0.00%	3.81%	1.41%	3.48%	1.64%	1.98%	2.50%	2.76%	3.16%	2.32%	5.41%	2.94%	0.00%	1.52%	2.26%	0.00%	2.43%	1.91%	0.90%	2.61%	2.65%	3.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4885	280	224	39	199	38	192	348	26	59	85	38	29	82	90	31	29	122	64	123	230	63	55	87	238	274	52	31	39	177	321	52	232	140	111	219	141	325									
