Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Дубовская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22141	1291	687	693	1212	1188	873	938	942	922	420	1254	864	835	974	734	463	523	928	479	548	517	854	700	260	1037	713	67	36	89	176	63	256	100	46	280	179									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22297	1297	690	686	1211	1177	871	944	951	940	397	1270	859	850	974	743	466	529	935	491	559	521	856	705	320	1055	714	66	34	89	177	65	256	103	48	268	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8402	488	304	244	411	393	357	389	389	325	140	517	381	244	293	288	220	189	346	227	191	213	341	402	163	284	160	34	20	25	89	39	93	44	23	77	59									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1189	32	16	25	46	62	50	28	35	35	19	36	17	18	124	32	30	28	79	29	44	20	63	31	49	66	89	3	4	29	12	0	22	4	2	3	7									
6	Число погашенных избирательных бюллетеней	12706	777	370	417	754	722	464	527	527	580	238	717	461	588	557	423	216	312	510	235	324	288	452	272	108	705	465	29	10	35	76	26	141	55	23	188	114									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1189	32	16	25	46	62	50	28	35	35	19	36	17	18	124	32	30	28	79	29	44	20	63	31	49	66	89	3	4	29	12	0	22	4	2	3	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8401	488	304	244	411	393	357	389	389	325	140	516	381	244	293	288	220	189	346	227	191	213	341	402	163	284	160	34	20	25	89	39	93	44	23	77	59									
9	Число недействительных избирательных бюллетеней	207	9	10	8	9	9	5	9	4	4	5	18	7	7	9	8	2	4	9	5	6	7	14	5	1	12	4	3	4	0	2	2	0	2	1	3	0									
10	Число действительных избирательных бюллетеней	9383	511	310	261	448	446	402	408	420	356	154	534	391	255	408	312	248	213	416	251	229	226	390	428	211	338	245	34	20	54	99	37	115	46	24	77	66									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	286	10	10	10	10	10	10	10	10	10	10	10	10	10	6	7	6	6	11	6	7	6	6	6	26	7	6	4	4	4	4	4	6	6	6	6	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	130	8	2	5	5	3	5	3	3	5	4	6	5	6	3	3	0	3	7	4	7	1	3	1	26	3	3	0	0	2	0	1	1	0	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	109	4	11	4	7	7	7	3	5	2	4	3	7	2	4	1	1	2	4	1	3	4	1	0	0	4	5	2	1	1	0	1	3	2	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	156	2	8	5	5	7	5	7	7	5	6	4	5	4	3	4	6	3	4	2	0	5	3	5	0	4	3	4	4	2	4	3	5	6	6	6	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	3	4	1	6	5	5	5	1	5	2	5	6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	91	5	4	1	2	5	3	4	7	4	2	8	10	2	7	1	3	2	5	2	0	6	0	1	2	1	0	1	0	1	0	0	2	0	0	0	0									
		0.95%	0.96%	1.25%	0.37%	0.44%	1.10%	0.74%	0.96%	1.65%	1.11%	1.26%	1.45%	2.51%	0.76%	1.68%	0.31%	1.20%	0.92%	1.18%	0.78%	0.00%	2.58%	0.00%	0.23%	0.94%	0.29%	0.00%	2.70%	0.00%	1.85%	0.00%	0.00%	1.74%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	311	17	11	9	7	21	19	9	23	15	1	22	18	12	12	10	9	6	10	3	2	8	10	11	2	10	6	1	1	0	7	2	6	2	0	6	3									
