Выборы Президента Российской Федерации																																																																																																																																																										
Дата голосования: 02.03.2008																																																																																																																																																										
																																																																																																																																																										
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																																										
																																																																																																																																																										
Сводная таблица результатов выборов																																																																																																																																																										
																																																																																																																																																										
	Число участковых избирательных комиссий	147																																																																																																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	147																																																																																																																																																								
																																																																																																																																																										
		Сумма	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №227	УИК №228	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №238	УИК №239	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №267	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №294	УИК №295	УИК №296	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364					
1	"Число избирателей, включенных в списки избирателей"	6131	16	17	86	20	20	78	27	90	92	93	93	26	116	44	29	29	21	22	22	21	14	16	10	10	10	51	44	47	29	30	32	34	15	15	90	95	90	91	91	95	93	90	91	93	92	28	20	21	95	57	18	18	25	91	93	28	91	26	27	11	10	95	63	26	27	102	52	12	47	29	30	27	28	27	27	27	27	27	27	27	28	30	31	28	29	29	68	66	70	65	67	83	71	14	29	44	44	19	27	28	35	34	26	27	69	14	13	13	14	71	19	22	16	21	26	97	15	72	22	21	21	50	20	18	10	84	23	58	14	9	8	21	28	13	29	29	49	28	16	18	16	62	15	23	25	76	135					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6381	18	19	88	22	22	80	29	90	92	93	95	28	118	46	31	29	24	22	24	23	16	16	12	12	12	53	46	50	31	32	34	40	17	17	90	95	92	93	93	97	95	90	93	95	94	30	22	23	97	59	18	18	27	93	93	28	93	28	31	13	12	97	65	28	29	104	54	12	47	29	32	29	28	29	29	29	29	29	29	27	30	32	33	30	29	32	68	68	72	67	69	85	71	14	31	44	46	19	27	28	39	36	27	29	75	16	15	15	16	72	19	24	18	23	28	99	17	74	24	21	21	54	22	21	18	86	27	60	14	12	12	23	28	16	31	31	49	30	18	20	18	62	17	23	27	76	135					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	6077	16	16	79	16	20	78	27	90	90	93	93	25	114	44	29	29	21	22	22	21	14	16	10	10	10	49	44	47	27	30	32	34	15	15	90	95	90	91	91	95	93	90	91	92	92	28	20	21	95	57	18	18	25	91	93	28	85	26	27	11	10	95	63	26	27	101	52	12	47	29	30	27	28	27	27	27	27	27	27	27	28	30	31	28	29	29	68	66	70	65	67	83	70	10	29	44	44	19	27	28	35	34	26	26	69	14	13	13	14	71	19	22	16	21	26	97	15	72	22	21	21	50	20	18	10	84	23	58	14	9	8	21	26	13	29	29	49	21	16	18	16	62	14	23	25	67	135					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	304	2	3	9	6	2	2	2	0	2	0	2	3	4	2	2	0	3	0	2	2	2	0	2	2	2	4	2	3	4	2	2	6	2	2	0	0	2	2	2	2	2	0	2	3	2	2	2	2	2	2	0	0	2	2	0	0	8	2	4	2	2	2	2	2	2	3	2	0	0	0	2	2	0	2	2	2	2	2	2	0	2	2	2	2	0	3	0	2	2	2	2	2	1	4	2	0	2	0	0	0	4	2	1	3	6	2	2	2	2	1	0	2	2	2	2	2	2	2	2	0	0	4	2	3	8	2	4	2	0	3	4	2	2	3	2	2	0	9	2	2	2	0	3	0	2	9	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	6070	16	16	79	16	20	78	27	90	89	93	93	25	114	44	29	29	21	22	22	21	14	16	10	10	9	49	44	47	27	30	32	34	15	15	90	95	90	91	91	95	93	90	91	92	92	28	20	21	95	57	18	18	25	91	93	28	85	26	27	11	10	95	63	26	27	101	52	12	47	29	30	27	28	27	27	27	27	27	27	27	28	30	31	28	29	29	68	66	70	65	67	83	70	10	29	44	44	19	27	28	35	34	26	26	66	14	13	13	14	71	19	22	16	21	26	97	15	72	22	21	21	50	20	18	10	84	23	58	14	9	8	21	26	13	29	29	49	19	16	18	16	62	14	23	25	67	135					
9	Число недействительных избирательных бюллетеней	72	0	0	6	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	2	0	0	0	4	2	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	3	0	0	2	1	1	0	0	0	0	3	0	0	0	1	4					
10	Число действительных избирательных бюллетеней	5998	16	16	73	16	19	78	27	90	82	93	93	25	114	44	29	29	21	22	22	21	14	16	10	10	9	49	44	47	27	30	32	34	14	14	90	95	90	91	90	94	93	90	91	92	92	28	19	21	94	55	18	18	25	91	93	28	77	26	27	11	10	95	63	26	27	98	52	12	47	29	30	27	28	27	27	27	27	27	27	27	27	30	31	28	29	29	68	66	69	65	67	83	70	9	26	44	42	19	27	28	31	32	26	25	66	14	13	13	12	71	19	22	15	21	26	97	15	72	22	21	21	49	16	18	10	84	22	58	14	9	8	18	26	13	27	28	48	19	16	18	16	59	14	23	25	66	131					
11	Число полученных открепительных  удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
