Выборы Президента Российской Федерации																																																																																																																																										
Дата голосования: 04.03.2012																																																																																																																																										
																																																																																																																																										
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																										
																																																																																																																																										
Сводная таблица итогов голосования																																																																																																																																										
																																																																																																																																										
	Число участковых избирательных комиссий	127																																																																																																																																								
	Число участковых избирательных комиссий, приступивших к передаче сведений	127																																																																																																																																								
																																																																																																																																										
		Сумма	УИК №133	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №227	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338									
1	Число избирателей, включенных в список избирателей	5537	27	87	66	66	66	67	69	64	28	30	29	28	26	27	28	28	27	27	28	18	80	84	51	43	29	29	22	18	15	20	20	97	53	49	28	21	13	30	39	118	64	92	96	94	17	30	20	21	21	16	23	19	45	45	63	18	16	19	17	94	97	96	98	95	94	90	96	99	94	98	93	91	97	28	29	20	19	60	30	33	25	29	21	19	58	18	18	18	72	75	47	53	31	23	25	121	70	20	24	62	58	14	14	14	14	10	14	59	15	52	14	28	46	63	16	27	28	48	26	13	27	21	19	18	16	33	19									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	5766	30	89	68	68	68	69	69	66	30	30	31	30	28	29	30	30	29	27	28	20	82	86	53	45	31	31	22	20	17	20	20	99	55	51	30	23	15	32	40	120	66	94	98	96	19	32	22	23	23	18	23	21	47	47	65	20	16	21	19	96	99	98	100	97	96	92	98	101	96	100	95	93	99	30	31	22	21	62	32	35	27	31	23	19	60	20	20	20	74	77	49	55	33	25	27	123	72	20	26	64	60	16	16	16	16	12	16	60	17	54	14	30	48	65	20	29	30	50	28	15	29	21	21	20	18	35	21									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	5443	27	83	65	66	66	67	69	64	27	30	29	28	26	27	28	27	27	27	28	18	80	84	51	43	29	29	22	17	15	20	20	85	53	49	28	21	13	30	39	118	59	92	96	94	17	30	20	21	21	16	23	19	45	45	63	17	16	19	16	94	95	96	98	95	94	90	96	99	94	98	93	91	97	28	29	20	19	60	29	33	25	29	21	14	58	18	18	18	72	75	47	53	31	23	25	95	47	20	24	62	58	14	14	14	14	10	14	59	14	44	14	27	46	63	16	27	28	48	26	13	27	21	19	18	16	33	19									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	323	3	6	3	2	2	2	0	2	3	0	2	2	2	2	2	3	2	0	0	2	2	2	2	2	2	2	0	3	2	0	0	14	2	2	2	2	2	2	1	2	7	2	2	2	2	2	2	2	2	2	0	2	2	2	2	3	0	2	3	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	5	2	2	2	2	2	2	2	2	2	2	2	28	25	0	2	2	2	2	2	2	2	2	2	1	3	10	0	3	2	2	4	2	2	2	2	2	2	0	2	2	2	2	2									
