Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Пировская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817					
1	"Число избирателей, внесенных в списки избирателей"	6554	105	222	196	150	766	291	426	145	124	289	2546	183	127	82	472	136	78	216					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6443	100	215	195	145	760	285	425	145	120	275	2498	195	120	75	475	120	75	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3563	81	89	139	82	391	144	193	51	89	145	1292	135	107	45	309	84	60	127					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	680	4	73	10	38	27	16	76	77	5	77	181	7	4	10	29	19	11	16					
6	Число погашенных избирательных бюллетеней	2200	15	53	46	25	342	125	156	17	26	53	1025	53	9	20	137	17	4	77					
7	Число избирательных бюллетеней в переносных ящиках для голосования	680	4	73	10	38	27	16	76	77	5	77	181	7	4	10	29	19	11	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3563	81	89	139	82	391	144	193	51	89	145	1292	135	107	45	309	84	60	127					
9	Число недействительных избирательных бюллетеней	59	0	4	1	0	6	1	1	2	0	9	16	1	3	0	11	0	1	3					
10	Число действительных избирательных бюллетеней	4184	85	158	148	120	412	159	268	126	94	213	1457	141	108	55	327	103	70	140					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	144	7	6	6	3	15	6	8	4	3	6	48	5	3	2	9	4	3	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	67	7	1	6	0	5	0	0	0	0	0	37	5	1	0	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	68	6	5	0	2	1	1	1	3	3	3	18	4	4	3	3	8	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	77	0	5	0	3	10	6	8	4	3	6	11	0	2	2	4	4	3	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	1.Политическая партия «Аграрная партия России»	121	0	2	11	3	10	3	14	3	3	6	43	12	4	0	6	1	0	0					
		2.85%	0.00%	1.23%	7.38%	2.50%	2.39%	1.88%	5.20%	2.34%	3.19%	2.70%	2.92%	8.45%	3.60%	0.00%	1.78%	0.97%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	22	2	1	1	0	3	1	1	1	0	1	7	0	1	0	2	1	0	0					
		0.52%	2.35%	0.62%	0.67%	0.00%	0.72%	0.63%	0.37%	0.78%	0.00%	0.45%	0.48%	0.00%	0.90%	0.00%	0.59%	0.97%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	1	0	0	2	0	1	0	0	0	4	1	0	0	0	0	0	0	0					
		0.21%	1.18%	0.00%	0.00%	1.67%	0.00%	0.63%	0.00%	0.00%	0.00%	1.80%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	760	18	35	37	36	59	15	30	18	21	51	293	25	42	5	36	22	9	8					
		17.91%	21.18%	21.60%	24.83%	30.00%	14.11%	9.38%	11.15%	14.06%	22.34%	22.97%	19.89%	17.61%	37.84%	9.09%	10.65%	21.36%	12.68%	5.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	100	1	5	4	4	7	10	4	11	0	18	27	1	0	0	1	7	0	0					
		2.36%	1.18%	3.09%	2.68%	3.33%	1.67%	6.25%	1.49%	8.59%	0.00%	8.11%	1.83%	0.70%	0.00%	0.00%	0.30%	6.80%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1					
		0.12%	0.00%	0.62%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.45%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%					
24	7.Политическая партия «Либерально-демократическая партия России»	379	7	22	4	3	29	15	18	12	3	28	159	5	3	6	34	8	5	18					
		8.93%	8.24%	13.58%	2.68%	2.50%	6.94%	9.38%	6.69%	9.38%	3.19%	12.61%	10.79%	3.52%	2.70%	10.91%	10.06%	7.77%	7.04%	12.59%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	220	6	10	4	3	15	7	20	5	1	9	109	4	1	0	20	4	1	1					
		5.19%	7.06%	6.17%	2.68%	2.50%	3.59%	4.38%	7.43%	3.91%	1.06%	4.05%	7.40%	2.82%	0.90%	0.00%	5.92%	3.88%	1.41%	0.70%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	26	0	0	2	1	4	0	3	0	2	3	9	0	0	1	0	1	0	0					
		0.61%	0.00%	0.00%	1.34%	0.83%	0.96%	0.00%	1.12%	0.00%	2.13%	1.35%	0.61%	0.00%	0.00%	1.82%	0.00%	0.97%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2518	50	82	82	66	282	106	178	75	64	91	798	92	57	43	226	59	55	112					
		59.34%	58.82%	50.62%	55.03%	55.00%	67.46%	66.25%	66.17%	58.59%	68.09%	40.99%	54.18%	64.79%	51.35%	78.18%	66.86%	57.28%	77.46%	78.32%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	24	0	0	3	2	2	1	0	1	0	1	10	2	0	0	2	0	0	0					
		0.57%	0.00%	0.00%	2.01%	1.67%	0.48%	0.63%	0.00%	0.78%	0.00%	0.45%	0.68%	1.41%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
