Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Тунгиро-Олекминская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240					
1	"Число избирателей, внесенных в списки"	1163	769	210	86	68	30					
2	"Число бюллетеней, полученных участковыми комиссиями"	1144	761	190	85	78	30					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	123	0	0	59	48	16					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	512	393	119	0	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	37	33	4	0	0	0					
6	Число погашенных бюллетеней	472	335	67	26	30	14					
7	Число бюллетеней в переносных ящиках для голосования	37	33	4	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	635	393	119	59	48	16					
9	Число недействительных бюллетеней	16	9	4	3	0	0					
10	Число действительных бюллетеней	656	417	119	56	48	16					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	20	20	5	5	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	10	10	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	2	0	0	0	0					
14	Число погашенных открепительных удостоверений	40	10	20	5	5	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	14	6	1	4	3	0					
		2.08%	1.40%	0.81%	6.77%	6.25%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	25	20	1	2	2	0					
		3.72%	4.69%	0.81%	3.38%	4.16%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	16	8	4	4	0	0					
		2.38%	1.87%	3.25%	6.77%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	10	9	1	0	0	0					
		1.48%	2.11%	0.81%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	2	0	2	0	0	0					
		0.29%	0.0%	1.62%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	1	0	1	0	0	0					
		0.14%	0.0%	0.81%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	1	1	0	0	0	0					
		0.14%	0.23%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	1	0	0	0					
		0.14%	0.0%	0.81%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	12	6	3	2	1	0					
		1.78%	1.40%	2.43%	3.38%	2.08%	0.0%					
28	"11. ""Истинные патриоты России"""	1	0	0	1	0	0					
		0.14%	0.0%	0.0%	1.69%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	8	7	1	0	0	0					
		1.19%	1.64%	0.81%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	2	0	2	0	0	0					
		0.29%	0.0%	1.62%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	1	0	0	1	0	0					
		0.14%	0.0%	0.0%	1.69%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	1	1	0	0	0	0					
		0.14%	0.23%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	35	29	2	0	2	2					
		5.20%	6.80%	1.62%	0.0%	4.16%	12.5%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	1	0	1	0	0					
		0.29%	0.23%	0.0%	1.69%	0.0%	0.0%					
35	"18. ""ЛДПР"""	67	48	10	2	1	6					
		9.97%	11.26%	8.13%	3.38%	2.08%	37.5%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	11	5	4	2	0	0					
		1.63%	1.17%	3.25%	3.38%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	383	239	69	29	38	8					
		56.99%	56.10%	56.09%	49.15%	79.16%	50.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	2	1	1	0	0	0					
		0.29%	0.23%	0.81%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	2	2	0	0	0	0					
		0.29%	0.46%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	46	26	14	5	1	0					
		6.84%	6.10%	11.38%	8.47%	2.08%	0.0%					
												
41	Против всех	13	8	2	3	0	0					
		1.93%	1.87%	1.62%	5.08%	0.0%	0.0%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
