Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Итум-Калинская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155					
1	"Число избирателей, внесенных в списки избирателей"	3657	848	462	167	233	231	227	130	249	342	252	236	280					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3657	848	462	167	233	231	227	130	249	342	252	236	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	576	0	0	0	0	0	0	0	0	140	110	96	230					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3049	840	459	165	231	227	223	130	240	202	142	140	50					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	10	2	0	0	0	2	0	0	6	0	0	0	0					
6	Число погашенных избирательных бюллетеней	22	6	3	2	2	2	4	0	3	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	586	2	0	0	0	2	0	0	6	140	110	96	230					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3049	840	459	165	231	227	223	130	240	202	142	140	50					
9	Число недействительных избирательных бюллетеней	4	0	4	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	3631	842	455	165	231	229	223	130	246	342	252	236	280					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	500	40	40	40	40	40	40	40	40	40	40	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	500	40	40	40	40	40	40	40	40	40	40	50	50					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	4	2	0	0	1	0	0	0	1	0	0	0	0					
		0.11%	0.24%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2	0	0	0	0	1	0	0	0	0	0	0	1					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	0	0	0	0	0	1	0	0	0	1					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.36%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8	1	0	1	0	0	2	0	2	0	0	2	0					
		0.22%	0.12%	0.00%	0.61%	0.00%	0.00%	0.90%	0.00%	0.81%	0.00%	0.00%	0.85%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2	0	0	0	0	0	0	0	2	0	0	0	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	1	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	8	2	0	0	0	0	1	0	0	3	2	0	0					
		0.22%	0.24%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.88%	0.79%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3	0	0	0	1	1	0	0	0	0	0	1	0					
		0.08%	0.00%	0.00%	0.00%	0.43%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	2	1	0	0	0	0	0	0	0	0	0	1	0					
		0.06%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3598	835	455	164	229	227	219	130	240	339	250	232	278					
		98.98%	99.17%	99.13%	99.39%	99.13%	99.13%	98.21%	100.00%	97.56%	99.12%	99.21%	98.31%	99.29%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1	0	0	0	0	0	1	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
