Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Краснознаменская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080					
1	"Число избирателей, внесенных в списки"	24225	2999	2962	2878	2970	2967	2963	3471	3015					
2	"Число бюллетеней, полученных участковыми комиссиями"	21100	2680	2650	2590	2670	2640	2650	2540	2680					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15292	1876	2012	1784	1870	1789	1884	2126	1951					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	168	16	21	13	13	25	21	41	18					
6	Число погашенных бюллетеней	5640	788	617	793	787	826	745	373	711					
7	Число бюллетеней в переносных ящиках для голосования	168	16	21	13	13	25	21	41	18					
8	Число бюллетеней в стационарных ящиках для голосования	15197	1880	2011	1772	1868	1788	1881	2046	1951					
9	Число недействительных бюллетеней	75	9	6	10	5	7	14	16	8					
10	Число действительных бюллетеней	15290	1887	2026	1775	1876	1806	1888	2071	1961					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	431	50	50	80	50	50	50	50	51					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	332	44	29	75	41	25	50	35	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	14	16	5	15	14	14	0	0					
14	Число погашенных открепительных удостоверений	99	6	21	5	9	25	0	15	18					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	490	70	118	66	40	52	38	52	54					
		3.18%	3.69%	5.80%	3.69%	2.12%	2.86%	1.99%	2.49%	2.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	843	132	110	109	102	96	93	90	111					
		5.48%	6.96%	5.41%	6.10%	5.42%	5.29%	4.88%	4.31%	5.63%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	247	30	32	29	26	37	27	37	29					
		1.60%	1.58%	1.57%	1.62%	1.38%	2.04%	1.41%	1.77%	1.47%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1049	130	156	162	162	127	143	26	143					
		6.82%	6.85%	7.67%	9.07%	8.61%	7.00%	7.51%	1.24%	7.26%					
22	"5. ""За Русь Святую"""	123	10	28	11	20	12	14	5	23					
		0.80%	0.52%	1.37%	0.61%	1.06%	0.66%	0.73%	0.23%	1.16%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	4	5	5	1	3	4	8	2					
		0.20%	0.21%	0.24%	0.28%	0.05%	0.16%	0.21%	0.38%	0.10%					
24	"7. ""Новый курс - Автомобильная Россия"""	283	27	49	35	36	28	37	40	31					
		1.84%	1.42%	2.41%	1.96%	1.91%	1.54%	1.94%	1.91%	1.57%					
25	"8. ""Народно-республиканская партия России"""	9	0	1	2	1	0	1	3	1					
		0.05%	0.0%	0.04%	0.11%	0.05%	0.0%	0.05%	0.14%	0.05%					
26	"9. ""Российская экологическая партия ""Зеленые"""	114	20	24	17	5	9	17	16	6					
		0.74%	1.05%	1.18%	0.95%	0.26%	0.49%	0.89%	0.76%	0.30%					
27	"10. ""Аграрная партия России"""	229	32	19	25	33	31	33	32	24					
		1.49%	1.68%	0.93%	1.40%	1.75%	1.70%	1.73%	1.53%	1.21%					
28	"11. ""Истинные патриоты России"""	21	3	4	0	0	5	0	8	1					
		0.13%	0.15%	0.19%	0.0%	0.0%	0.27%	0.0%	0.38%	0.05%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	137	12	25	12	17	9	24	16	22					
		0.89%	0.63%	1.23%	0.67%	0.90%	0.49%	1.26%	0.76%	1.11%					
30	"13. ""Демократическая партия России"""	15	1	1	0	1	5	1	1	5					
		0.09%	0.05%	0.04%	0.0%	0.05%	0.27%	0.05%	0.04%	0.25%					
31	"14. ""Великая Россия - Евразийский Союз"""	49	4	10	9	4	1	7	6	8					
		0.31%	0.21%	0.49%	0.50%	0.21%	0.05%	0.36%	0.28%	0.40%					
32	"15. ""Партия СЛОН"""	33	7	5	2	4	5	5	3	2					
		0.21%	0.36%	0.24%	0.11%	0.21%	0.27%	0.26%	0.14%	0.10%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3086	357	352	352	468	375	420	274	488					
		20.08%	18.82%	17.32%	19.71%	24.88%	20.68%	22.08%	13.12%	24.78%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	11	1	0	2	0	2	1	4	1					
		0.07%	0.05%	0.0%	0.11%	0.0%	0.11%	0.05%	0.19%	0.05%					
35	"18. ""ЛДПР"""	1428	187	171	142	123	123	169	345	168					
		9.29%	9.86%	8.41%	7.95%	6.53%	6.78%	8.88%	16.53%	8.53%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	163	21	21	21	28	26	14	20	12					
		1.06%	1.10%	1.03%	1.17%	1.48%	1.43%	0.73%	0.95%	0.60%					
37	"20. ""Политическая партия ""Единая Россия"""	4781	588	619	534	526	555	569	796	594					
		31.11%	31.01%	30.46%	29.91%	27.96%	30.61%	29.91%	38.14%	30.16%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	3	0	4	1	5	2	7	3					
		0.16%	0.15%	0.0%	0.22%	0.05%	0.27%	0.10%	0.33%	0.15%					
39	"22. ""Развитие предпринимательства"""	122	13	25	13	15	16	9	11	20					
		0.79%	0.68%	1.23%	0.72%	0.79%	0.88%	0.47%	0.52%	1.01%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1107	113	141	130	181	170	135	148	89					
		7.20%	5.95%	6.93%	7.28%	9.62%	9.37%	7.09%	7.09%	4.52%					
															
41	Против всех	893	122	110	93	82	114	125	123	124					
		5.81%	6.43%	5.41%	5.21%	4.35%	6.28%	6.57%	5.89%	6.29%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
