Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Полевская городская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  2410	УИК  2411	УИК  2412	УИК  2413	УИК  2414	УИК  2415	УИК  2416	УИК  2417	УИК  2418	УИК  2419	УИК  2420	УИК  2421	УИК  2422	УИК  2423	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428	УИК  2429	УИК  2430	УИК  2431	УИК  2432	УИК  2433	УИК  2434	УИК  2435	УИК  2436	УИК  2437	УИК  2438	УИК  2439	УИК  2440	УИК  2441	УИК  2442	УИК  2443	УИК  2444					
1	"Число избирателей, внесенных в списки"	56902	822	1548	2218	2733	1879	1858	1181	1773	1738	1674	1688	1684	1712	1338	2444	2436	1738	2493	2284	2249	2116	2344	1942	1789	2253	1228	1353	1233	275	1119	409	471	728	737	1415					
2	"Число бюллетеней, полученных участковыми комиссиями"	54500	800	1500	2000	2500	1800	1800	1100	1800	1700	1600	1600	1700	1600	1300	2300	2400	1700	2500	2200	2000	2000	2300	1900	1900	2000	1200	1300	1200	250	1000	380	470	700	700	1300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24394	395	828	1079	1165	882	813	495	673	863	715	851	766	823	616	1140	1057	669	1145	943	906	986	914	811	729	889	415	493	240	177	384	161	232	361	355	423					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1132	24	26	18	21	24	23	7	30	15	22	12	10	58	17	13	8	3	11	4	55	15	28	16	7	32	40	56	194	5	80	48	12	37	40	121					
6	Число погашенных бюллетеней	28974	381	646	903	1314	894	964	598	1097	822	863	737	924	719	667	1147	1335	1028	1344	1253	1039	999	1358	1073	1164	1079	745	751	766	68	536	171	226	302	305	756					
7	Число бюллетеней в переносных ящиках для голосования	1131	24	26	18	21	24	23	7	30	15	22	12	10	58	17	13	8	3	11	4	55	15	28	16	7	32	40	56	194	5	80	47	12	37	40	121					
8	Число бюллетеней в стационарных ящиках для голосования	24392	395	827	1079	1165	882	813	495	673	863	715	851	766	823	616	1139	1057	669	1145	943	906	986	914	811	729	889	415	493	240	177	384	161	232	361	355	423					
9	Число недействительных бюллетеней	236	0	11	10	7	5	8	3	3	19	12	11	13	17	0	14	1	4	12	3	7	6	7	5	4	6	2	3	4	0	11	0	2	9	9	8					
10	Число действительных бюллетеней	25287	419	842	1087	1179	901	828	499	700	859	725	852	763	864	633	1138	1064	668	1144	944	954	995	935	822	732	915	453	546	430	182	453	208	242	389	386	536					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	600	8	16	25	27	20	20	12	20	20	17	17	17	17	14	25	25	20	25	24	23	23	25	20	20	23	13	14	13	5	11	5	6	7	8	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	101	1	1	8	5	3	8	3	6	2	6	1	7	0	0	1	3	1	2	3	3	2	3	6	8	6	0	1	1	0	0	2	2	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	127	2	3	3	8	1	4	2	0	2	1	4	1	0	2	1	1	5	6	5	3	1	1	6	2	4	0	1	2	7	1	14	6	5	9	14					
14	Число погашенных открепительных удостоверений	499	7	15	17	22	17	12	9	14	18	11	16	10	17	14	24	22	19	23	21	20	21	22	14	12	17	13	13	12	5	11	3	4	7	2	15					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	212	1	7	7	8	11	3	5	2	5	4	8	5	6	3	7	5	7	13	7	11	16	11	4	7	3	2	4	2	0	9	4	2	6	6	11					
		0.83%	0.23%	0.82%	0.63%	0.67%	1.21%	0.35%	0.99%	0.28%	0.56%	0.54%	0.92%	0.64%	0.68%	0.47%	0.60%	0.46%	1.04%	1.12%	0.73%	1.14%	1.59%	1.16%	0.48%	0.95%	0.32%	0.43%	0.72%	0.46%	0.0%	1.93%	1.92%	0.81%	1.50%	1.51%	2.02%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1283	25	50	48	63	43	48	32	30	43	40	52	42	43	47	67	78	59	90	73	37	23	43	26	28	36	16	19	7	19	11	12	9	16	3	5					
		5.02%	5.96%	5.86%	4.37%	5.31%	4.74%	5.74%	6.37%	4.26%	4.89%	5.42%	6.02%	5.41%	4.88%	7.42%	5.81%	7.32%	8.77%	7.78%	7.70%	3.85%	2.29%	4.56%	3.14%	3.80%	3.90%	3.51%	3.46%	1.61%	10.43%	2.37%	5.76%	3.68%	4.02%	0.75%	0.91%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1357	22	58	60	53	48	55	23	39	56	34	44	47	53	30	51	38	14	56	28	77	65	36	60	48	52	20	26	26	10	19	23	20	16	16	34					
		5.31%	5.25%	6.79%	5.46%	4.46%	5.29%	6.57%	4.58%	5.54%	6.37%	4.61%	5.09%	6.05%	6.01%	4.73%	4.42%	3.56%	2.08%	4.84%	2.95%	8.01%	6.49%	3.82%	7.25%	6.52%	5.64%	4.39%	4.73%	5.99%	5.49%	4.09%	11.05%	8.19%	4.02%	4.05%	6.24%					
