Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Павлоградская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775					
1	"Число избирателей, внесенных в списки"	15656	2234	2563	894	331	165	85	210	510	169	832	276	208	136	569	258	158	234	148	861	117	220	691	768	332	55	935	303	165	783	139	132	175					
2	"Число бюллетеней, полученных участковыми комиссиями"	14298	1966	2273	754	300	165	87	228	459	170	742	253	208	135	496	262	164	241	149	770	121	214	626	689	310	57	850	307	165	692	144	130	171					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11764	1351	1533	645	260	143	84	202	448	164	620	237	166	123	490	250	137	223	148	709	115	191	579	595	272	55	705	248	160	496	137	122	156					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	204	24	25	37	0	5	0	0	9	0	13	5	5	0	6	8	0	0	0	10	0	0	0	10	13	0	21	0	0	11	2	0	0					
6	Число погашенных бюллетеней	2330	591	715	72	40	17	3	26	2	6	109	11	37	12	0	4	27	18	1	51	6	23	47	84	25	2	124	59	5	185	5	8	15					
7	Число бюллетеней в переносных ящиках для голосования	204	24	25	37	0	5	0	0	9	0	13	5	5	0	6	8	0	0	0	10	0	0	0	10	13	0	21	0	0	11	2	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11764	1351	1533	645	260	143	84	202	448	164	620	237	166	123	490	250	137	223	148	709	115	191	579	595	272	55	705	248	160	496	137	122	156					
9	Число недействительных бюллетеней	96	5	18	13	3	0	0	0	1	0	5	1	0	1	3	0	1	0	0	5	3	1	6	4	0	0	11	0	7	6	1	0	1					
10	Число действительных бюллетеней	11872	1370	1540	669	257	148	84	202	456	164	628	241	171	122	493	258	136	223	148	714	112	190	573	601	285	55	715	248	153	501	138	122	155					
