Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Брюховецкая																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740					
1	"Число избирателей, внесенных в списки"	44250	2080	2584	2644	2367	2413	995	1541	1649	2626	1118	228	135	104	665	214	2129	2222	282	695	1581	299	348	365	269	1685	1682	1703	1859	1154	497	297	256	801	331	1361	1527	271	168	560	545					
2	"Число бюллетеней, полученных участковыми комиссиями"	45310	2000	2400	2650	2370	2500	990	1530	1630	2590	1100	210	130	100	690	220	2140	2300	290	730	1640	340	350	370	290	1820	1790	1840	1940	1220	540	330	290	960	360	1420	1530	280	210	610	610					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23787	987	1210	1268	1093	1308	540	783	871	1426	340	135	91	52	303	112	1048	1162	200	427	916	215	259	224	198	966	905	925	1166	649	295	226	133	544	145	788	867	170	145	344	351					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2736	86	210	97	69	75	31	70	48	86	343	15	0	28	89	26	46	34	31	41	65	10	6	8	20	98	77	58	70	184	80	42	98	156	108	87	32	32	5	32	43					
6	Число погашенных бюллетеней	18787	927	980	1285	1208	1117	419	677	711	1078	417	60	39	20	298	82	1046	1104	59	262	659	115	85	138	72	756	808	857	704	387	165	62	59	260	107	545	631	78	60	234	216					
7	Число бюллетеней в переносных ящиках для голосования	2736	86	210	97	69	75	31	70	48	86	343	15	0	28	89	26	46	34	31	41	65	10	6	8	20	98	77	58	70	184	80	42	98	156	108	87	32	32	5	32	43					
8	Число бюллетеней в стационарных ящиках для голосования	23783	987	1210	1268	1093	1305	540	783	871	1426	340	135	91	52	303	112	1048	1162	200	427	916	215	259	224	198	966	905	925	1165	649	295	226	133	544	145	788	867	170	145	344	351					
9	Число недействительных бюллетеней	426	14	16	17	20	17	9	30	14	22	8	3	2	4	8	7	21	18	3	4	24	4	0	12	4	6	7	17	24	11	0	18	4	10	3	13	11	5	2	6	8					
10	Число действительных бюллетеней	26093	1059	1404	1348	1142	1363	562	823	905	1490	675	147	89	76	384	131	1073	1178	228	464	957	221	265	220	214	1058	975	966	1211	822	375	250	227	690	250	862	888	197	148	370	386					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	35	15	15	15	15	10	10	10	10	10	5	5	5	5	5	15	15	5	5	10	5	5	5	5	15	15	15	15	10	10	10	5	10	5	10	10	5	5	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	80	4	7	5	3	7	4	4	6	5	2	1	0	0	0	0	3	2	1	2	0	2	0	0	1	1	1	2	5	3	0	0	0	0	1	2	2	0	0	4	0					
