Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																						
Дата голосования: 02.12.2007																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Астрахань, Трусовская"																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №702	УИК №703	УИК №704	УИК №710	УИК №711	УИК №720	УИК №725	УИК №730	УИК №731	УИК №733	УИК №736	УИК №742	УИК №743	УИК №744					
1	"Число избирателей, внесенных в списки избирателей"	81419	644	654	1520	1554	1720	1175	1059	1462	1556	1154	1046	1193	1452	1168	1061	847	1373	1072	1710	1442	1160	1472	1088	822	1388	882	1251	1209	1081	1175	1167	1180	1951	881	1557	1431	1459	1324	1314	899	1223	455	970	1312	1264	1369	1218	1337	1264	1353	1447	1393	1280	1060	1415	1406	1331	1380	1211	1364	1206	1340	1280	1182	1654	11	12	11	11	9	9	9	12	12	11	7	13	12	13					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78210	600	600	1400	1400	1600	1100	900	1400	1500	1100	900	1200	1400	1100	900	800	1300	1000	1600	1400	1100	1400	1000	800	1300	800	1200	1100	1000	1100	1100	1100	2000	950	1500	1400	1400	1300	1300	900	1300	400	900	1200	1200	1300	1200	1300	1300	1300	1500	1400	1300	1000	1200	1400	1300	1300	1200	1400	1300	1300	1400	1100	1600	12	12	11	12	11	9	9	12	12	11	11	13	12	13					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46383	304	246	789	879	952	660	476	736	1021	735	736	669	841	681	503	415	716	573	1063	845	726	766	657	465	721	385	732	627	490	610	698	594	876	431	955	805	927	859	896	569	761	220	449	654	659	729	746	789	751	842	853	837	754	610	795	894	809	897	767	822	741	741	730	545	1212	11	12	11	11	9	7	9	12	12	11	7	10	12	13					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3698	118	96	50	53	49	65	142	56	53	45	35	57	67	80	114	85	37	60	42	68	38	87	8	12	53	87	30	25	43	42	23	62	87	441	40	29	26	25	10	20	54	1	35	62	45	37	28	34	21	23	32	38	41	31	143	43	39	55	60	53	26	80	86	49	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	28129	178	258	561	468	599	375	282	608	426	320	129	474	492	339	283	300	547	367	495	487	336	547	335	323	526	328	438	448	467	448	379	444	1037	78	505	566	447	416	394	311	485	179	416	484	496	534	426	477	528	435	615	525	505	359	262	463	452	348	373	525	533	479	584	506	366	1	0	0	1	2	2	0	0	0	0	4	3	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3697	118	96	50	53	49	65	142	56	53	45	35	57	67	80	114	85	37	60	42	68	38	87	8	12	53	87	30	25	43	42	23	62	87	441	40	29	26	25	10	20	54	1	35	62	45	37	28	34	21	23	32	38	41	31	143	43	39	55	59	53	26	80	86	49	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46374	304	246	788	879	952	660	476	736	1021	735	736	669	841	681	503	415	716	573	1063	845	726	766	657	465	721	385	732	627	490	610	698	594	876	431	955	805	927	859	896	569	761	220	449	654	659	729	746	789	751	842	853	837	754	610	795	894	809	897	764	822	741	738	730	543	1212	11	12	11	11	9	7	9	12	12	11	7	10	12	13					
9	Число недействительных избирательных бюллетеней	666	7	6	24	17	12	35	16	4	8	5	10	7	5	7	3	6	9	5	6	5	1	11	8	6	2	5	9	6	3	8	10	5	14	9	12	5	5	18	10	4	7	2	6	4	11	10	5	8	9	14	9	7	5	11	116	4	15	12	5	8	6	12	10	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	49405	415	336	814	915	989	690	602	788	1066	775	761	719	903	754	614	494	744	628	1099	908	763	842	657	471	772	467	753	646	530	644	711	651	949	863	983	829	948	866	896	585	808	219	478	712	693	756	769	815	763	851	876	868	790	630	822	933	833	940	818	867	761	806	806	590	1214	11	12	11	11	9	7	9	12	12	11	7	10	12	13					
