Выборы Президента Российской Федерации																																														
Дата голосования: 02.03.2008																																														
																																														
Наименование Избирательной комиссии:    Черногорская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
	Число участковых избирательных комиссий	39																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	39																																												
																																														
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153					
1	"Число избирателей, включенных в списки избирателей"	50308	1005	996	980	926	1872	1787	499	1268	880	984	1234	2225	1282	912	1020	998	1479	814	1179	1006	1813	1152	814	1842	1831	1867	1872	1176	1870	758	1908	1229	805	2033	1448	494	1854	759	1437					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50945	900	1000	1050	1050	2000	1800	500	1145	900	1050	1150	2350	1250	950	950	1000	1500	800	1100	1000	1900	1100	750	1900	1950	2000	1950	1200	1900	800	1900	1250	750	2100	1400	450	2050	700	1450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	26480	530	633	561	562	822	751	179	566	538	493	587	1145	596	497	518	565	647	412	580	607	956	576	411	946	939	1031	1065	652	1002	478	1010	637	427	1067	767	228	1111	489	899					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4917	200	127	189	226	372	241	102	124	49	197	126	250	106	127	214	67	156	57	192	64	206	90	92	82	124	72	73	38	105	58	140	41	107	87	54	67	169	37	89					
6	Число погашенных избирательных бюллетеней	19548	170	240	300	262	806	808	219	455	313	360	437	955	548	326	218	368	697	331	328	329	738	434	247	872	887	897	812	510	793	264	750	572	216	946	579	155	770	174	462					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4917	200	127	189	226	372	241	102	124	49	197	126	250	106	127	214	67	156	57	192	64	206	90	92	82	124	72	73	38	105	58	140	41	107	87	54	67	169	37	89					
8	Число бюллетеней в стационарных ящиках для голосования	26478	530	633	561	562	821	751	179	566	538	493	587	1145	596	497	518	565	646	412	580	607	956	576	411	946	939	1031	1065	652	1002	478	1010	637	427	1067	767	228	1111	489	899					
9	Число недействительных избирательных бюллетеней	325	12	10	13	2	6	5	3	15	4	7	5	11	8	3	8	6	5	5	9	12	14	6	5	13	4	16	24	8	11	0	10	6	7	13	9	4	11	5	10					
10	Число действительных избирательных бюллетеней	31070	718	750	737	786	1187	987	278	675	583	683	708	1384	694	621	724	626	797	464	763	659	1148	660	498	1015	1059	1087	1114	682	1096	536	1140	672	527	1141	812	291	1269	521	978					
11	Число полученных открепительных  удостоверений	964	21	15	10	10	40	25	5	15	15	10	15	35	30	10	23	10	15	20	20	25	28	30	20	30	30	43	45	25	30	20	50	25	20	40	29	10	30	15	75					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	847	21	13	7	7	37	18	3	15	9	6	11	24	27	10	23	6	13	17	18	25	28	29	15	24	26	37	45	22	30	20	41	20	11	40	26	8	29	12	74					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	811	88	15	7	15	30	12	10	15	8	12	16	20	26	3	72	18	11	8	11	13	23	12	29	24	28	18	22	11	15	7	47	3	42	20	15	6	26	9	44					
14	Число неиспользованных открепительных удостоверений	117	0	2	3	3	3	7	2	0	6	4	4	11	3	0	0	4	2	3	2	0	0	1	5	6	4	6	0	3	0	0	9	5	9	0	3	2	1	3	1					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	376	14	7	4	6	22	7	7	12	4	9	15	19	12	5	10	9	9	6	12	3	13	3	20	14	8	5	9	3	10	8	9	12	5	21	11	6	15	3	9					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	Богданов Андрей Владимирович	466	9	28	9	9	17	8	5	7	6	4	3	11	8	5	14	6	8	4	11	12	33	10	9	17	23	13	25	11	19	3	11	12	14	23	16	3	24	4	12					
		1.48%	1.23%	3.68%	1.20%	1.14%	1.42%	0.81%	1.78%	1.01%	1.02%	0.58%	0.42%	0.79%	1.14%	0.80%	1.91%	0.95%	0.99%	0.85%	1.42%	1.79%	2.84%	1.50%	1.79%	1.65%	2.16%	1.18%	2.20%	1.59%	1.72%	0.56%	0.96%	1.77%	2.62%	1.99%	1.95%	1.02%	1.88%	0.76%	1.21%					
19	Жириновский Владимир Вольфович	4671	159	97	109	134	222	122	33	109	102	113	117	220	110	107	127	73	127	65	124	74	171	110	102	135	152	119	168	102	174	61	131	91	90	138	114	50	188	79	152					
		14.88%	21.78%	12.76%	14.53%	17.01%	18.61%	12.30%	11.74%	15.80%	17.38%	16.38%	16.41%	15.77%	15.67%	17.15%	17.35%	11.55%	15.84%	13.86%	16.06%	11.03%	14.72%	16.52%	20.28%	13.13%	14.30%	10.79%	14.76%	14.78%	15.72%	11.38%	11.39%	13.42%	16.85%	11.96%	13.89%	16.95%	14.69%	15.02%	15.38%					
20	Зюганов Геннадий Андреевич	7259	183	223	191	166	249	261	62	150	136	125	153	287	197	106	166	156	189	115	172	236	305	159	83	254	229	278	253	187	229	115	276	171	112	260	182	80	327	101	135					
		23.12%	25.07%	29.34%	25.47%	21.07%	20.87%	26.31%	22.06%	21.74%	23.17%	18.12%	21.46%	20.57%	28.06%	16.99%	22.68%	24.68%	23.57%	24.52%	22.28%	35.17%	26.25%	23.87%	16.50%	24.71%	21.54%	25.20%	22.23%	27.10%	20.69%	21.46%	24.00%	25.22%	20.97%	22.53%	22.17%	27.12%	25.55%	19.20%	13.66%					
21	Медведев Дмитрий Анатольевич	18674	367	402	428	477	699	596	178	409	339	441	435	866	379	403	417	391	473	280	456	337	639	381	304	609	655	677	668	382	674	357	722	398	311	720	500	158	730	337	679					
		59.48%	50.27%	52.89%	57.07%	60.53%	58.59%	60.08%	63.35%	59.28%	57.75%	63.91%	61.01%	62.08%	53.99%	64.58%	56.97%	61.87%	58.98%	59.70%	59.07%	50.22%	54.99%	57.21%	60.44%	59.24%	61.62%	61.38%	58.70%	55.36%	60.89%	66.60%	62.78%	58.70%	58.24%	62.39%	60.90%	53.56%	57.03%	64.07%	68.72%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
