Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Тляратинская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14990	310	273	95	95	74	83	109	105	106	268	101	196	490	136	164	262	178	321	175	197	163	126	1324	99	306	106	217	470	260	131	183	120	346	201	180	295	92	130	38	136	216	87	102	170	74	171	806	362	226	109	282	156	390	268	70	305	610	418	328	79	145	332	238	131	254									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14739	310	270	95	95	74	83	109	105	105	260	100	195	480	135	160	260	175	315	175	195	160	125	1250	99	300	105	215	460	255	130	180	120	340	200	180	290	90	130	38	133	215	87	100	170	73	170	775	350	225	109	280	155	380	265	70	300	610	415	325	79	145	330	235	130	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13751	275	260	95	94	69	82	105	97	96	240	81	166	423	123	158	245	149	305	162	182	160	118	1175	99	300	103	195	443	232	121	151	96	331	172	159	240	85	126	38	121	213	85	100	170	73	161	621	344	200	100	270	134	378	241	66	295	596	401	322	79	140	311	235	125	219									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	319	13	0	0	0	0	0	0	0	0	12	0	7	18	0	0	5	0	10	10	10	0	0	35	0	0	0	10	0	18	0	22	16	6	21	0	36	0	0	0	12	0	0	0	0	0	0	0	6	10	0	0	6	0	0	0	0	0	12	0	0	3	0	0	0	21									
6	Число погашенных избирательных бюллетеней	669	22	10	0	1	5	1	4	8	9	8	19	22	39	12	2	10	26	0	3	3	0	7	40	0	0	2	10	17	5	9	7	8	3	7	21	14	5	4	0	0	2	2	0	0	0	9	154	0	15	9	10	15	2	24	4	5	14	2	3	0	2	19	0	5	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	319	13	0	0	0	0	0	0	0	0	12	0	7	18	0	0	5	0	10	10	10	0	0	35	0	0	0	10	0	18	0	22	16	6	21	0	36	0	0	0	12	0	0	0	0	0	0	0	6	10	0	0	6	0	0	0	0	0	12	0	0	3	0	0	0	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13751	275	260	95	94	69	82	105	97	96	240	81	166	423	123	158	245	149	305	162	182	160	118	1175	99	300	103	195	443	232	121	151	96	331	172	159	240	85	126	38	121	213	85	100	170	73	161	621	344	200	100	270	134	378	241	66	295	596	401	322	79	140	311	235	125	219									
9	Число недействительных избирательных бюллетеней	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	10	0	0	0	0	1	0	0	1									
10	Число действительных избирательных бюллетеней	14049	288	260	95	94	69	82	105	97	96	252	81	173	440	123	158	250	149	315	171	192	160	118	1208	99	300	103	205	443	250	121	173	112	336	193	159	276	85	126	38	133	213	85	100	170	73	160	621	348	210	100	270	140	378	240	66	295	586	413	322	79	143	310	235	125	239									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	10	10	0	0	0	0	5	0	0	5	0	0	10	0	0	0	0	10	0	0	0	0	20	0	10	0	0	10	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	100	10	10	0	0	0	0	5	0	0	5	0	0	10	0	0	0	0	10	0	0	0	0	20	0	10	0	0	10	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	4	1	0	0	2	2	0	1	0	0	4	6	0	0	0	0	0	0	0									
		0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.24%	0.64%	0.29%	0.00%	0.00%	0.74%	1.43%	0.00%	0.41%	0.00%	0.00%	0.67%	1.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13334	275	253	90	92	69	76	100	83	95	231	73	172	398	112	157	227	130	311	171	179	157	102	1149	99	300	103	182	416	244	119	173	112	336	191	156	261	85	125	38	133	210	85	100	170	73	158	548	337	200	69	251	136	372	224	59	286	507	404	300	79	143	256	233	122	237									
		94.77%	95.49%	97.31%	94.74%	97.87%	100.00%	92.68%	95.24%	85.57%	98.96%	91.67%	90.12%	99.42%	90.25%	91.06%	99.37%	90.80%	87.25%	98.73%	99.42%	93.23%	98.13%	86.44%	94.96%	100.00%	100.00%	100.00%	88.78%	93.91%	97.60%	98.35%	100.00%	100.00%	99.70%	98.96%	98.11%	94.57%	100.00%	99.21%	100.00%	100.00%	98.59%	100.00%	100.00%	100.00%	100.00%	98.14%	88.24%	96.29%	95.24%	69.00%	92.96%	97.14%	98.41%	92.95%	89.39%	96.95%	85.07%	97.82%	93.17%	100.00%	100.00%	82.32%	99.15%	97.60%	98.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0									
		0.09%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.37%	0.00%	0.53%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	29	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1									
		0.21%	0.69%	0.00%	0.00%	0.00%	0.00%	1.22%	0.95%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	0.63%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.57%	0.48%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.60%	0.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	1.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	451	5	2	5	1	0	4	1	10	1	18	5	0	24	7	1	17	10	4	0	7	2	16	36	0	0	0	12	0	5	2	0	0	0	0	3	11	0	1	0	0	2	0	0	0	0	0	57	5	1	18	5	2	4	12	7	8	63	0	22	0	0	35	0	0	0									
		3.21%	1.74%	0.77%	5.26%	1.06%	0.00%	4.88%	0.95%	10.31%	1.04%	7.14%	6.17%	0.00%	5.44%	5.69%	0.63%	6.80%	6.71%	1.27%	0.00%	3.65%	1.25%	13.56%	2.98%	0.00%	0.00%	0.00%	5.85%	0.00%	2.00%	1.65%	0.00%	0.00%	0.00%	0.00%	1.89%	3.99%	0.00%	0.79%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	9.18%	1.43%	0.48%	18.00%	1.85%	1.43%	1.06%	4.98%	10.61%	2.71%	10.57%	0.00%	6.83%	0.00%	0.00%	11.25%	0.00%	0.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.57%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	120	5	5	0	1	0	0	1	0	0	3	3	0	17	4	0	6	9	0	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	6	12	2	0	0	3	0	0	0	0	0	0	0	19	2	0	0									
		0.85%	1.74%	1.92%	0.00%	1.06%	0.00%	0.00%	0.95%	0.00%	0.00%	1.19%	3.70%	0.00%	3.85%	3.25%	0.00%	2.40%	6.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	5.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	2.86%	12.00%	0.74%	0.00%	0.00%	1.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.11%	0.85%	0.00%	0.00%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
