Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Славгородская городская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510					
1	"Число избирателей, внесенных в списки"	26768	2469	3489	2584	2407	2232	2489	1899	2670	3333	2512	130	554					
2	"Число бюллетеней, полученных участковыми комиссиями"	24983	2304	3233	2440	2264	2128	2260	1808	2413	3106	2341	134	552					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11049	1254	1208	896	1117	880	1093	625	1021	1295	1211	96	353					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	734	49	58	40	76	55	43	57	200	75	39	10	32					
6	Число погашенных бюллетеней	13200	1001	1967	1504	1071	1193	1124	1126	1192	1736	1091	28	167					
7	Число бюллетеней в переносных ящиках для голосования	734	49	58	40	76	55	43	57	200	75	39	10	32					
8	Число бюллетеней в стационарных ящиках для голосования	11044	1254	1207	894	1116	880	1092	625	1021	1295	1211	96	353					
9	Число недействительных бюллетеней	113	21	7	8	6	10	4	11	20	14	4	1	7					
10	Число действительных бюллетеней	11665	1282	1258	926	1186	925	1131	671	1201	1356	1246	105	378					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	172	17	17	17	8	8	17	17	17	17	17	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	46	4	5	2	4	4	4	1	4	4	5	7	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	6	5	1	2	2	8	4	2	4	0	1	1					
14	Число погашенных открепительных удостоверений	126	13	12	15	4	4	13	16	13	13	12	3	8					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	1	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	111	12	17	11	9	6	8	4	5	15	16	2	6					
		0.94%	0.92%	1.34%	1.17%	0.75%	0.64%	0.70%	0.58%	0.40%	1.09%	1.28%	1.88%	1.55%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	365	27	49	23	42	17	48	16	36	38	63	1	5					
		3.09%	2.07%	3.87%	2.46%	3.52%	1.81%	4.22%	2.34%	2.94%	2.77%	5.04%	0.94%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	313	29	27	19	28	17	30	24	52	50	24	5	8					
		2.65%	2.22%	2.13%	2.03%	2.34%	1.81%	2.64%	3.51%	4.25%	3.64%	1.92%	4.71%	2.07%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	450	88	41	29	57	35	31	20	42	40	63	1	3					
		3.82%	6.75%	3.24%	3.10%	4.78%	3.74%	2.73%	2.93%	3.43%	2.91%	5.04%	0.94%	0.77%					
22	"5. ""За Русь Святую"""	31	3	3	4	2	3	3	4	4	4	1	0	0					
		0.26%	0.23%	0.23%	0.42%	0.16%	0.32%	0.26%	0.58%	0.32%	0.29%	0.08%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	4	7	5	4	1	1	3	3	2	4	0	2					
		0.30%	0.30%	0.55%	0.53%	0.33%	0.10%	0.08%	0.43%	0.24%	0.14%	0.32%	0.0%	0.51%					
24	"7. ""Новый курс - Автомобильная Россия"""	63	3	6	5	6	8	9	5	4	6	10	0	1					
		0.53%	0.23%	0.47%	0.53%	0.50%	0.85%	0.79%	0.73%	0.32%	0.43%	0.8%	0.0%	0.25%					
25	"8. ""Народно-республиканская партия России"""	12	1	1	0	1	1	1	1	1	3	0	0	2					
		0.10%	0.07%	0.07%	0.0%	0.08%	0.10%	0.08%	0.14%	0.08%	0.21%	0.0%	0.0%	0.51%					
26	"9. ""Российская экологическая партия ""Зеленые"""	38	7	3	1	5	3	4	2	2	6	4	0	1					
		0.32%	0.53%	0.23%	0.10%	0.41%	0.32%	0.35%	0.29%	0.16%	0.43%	0.32%	0.0%	0.25%					
27	"10. ""Аграрная партия России"""	1167	147	149	94	118	83	75	75	112	153	126	14	21					
		9.90%	11.28%	11.77%	10.06%	9.89%	8.87%	6.60%	10.99%	9.17%	11.16%	10.08%	13.20%	5.45%					
28	"11. ""Истинные патриоты России"""	6	0	0	0	0	1	1	1	0	2	0	0	1					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.10%	0.08%	0.14%	0.0%	0.14%	0.0%	0.0%	0.25%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	84	15	5	9	8	10	11	3	7	4	9	1	2					
		0.71%	1.15%	0.39%	0.96%	0.67%	1.06%	0.96%	0.43%	0.57%	0.29%	0.72%	0.94%	0.51%					
30	"13. ""Демократическая партия России"""	13	0	2	1	1	0	0	2	0	1	4	1	1					
		0.11%	0.0%	0.15%	0.10%	0.08%	0.0%	0.0%	0.29%	0.0%	0.07%	0.32%	0.94%	0.25%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	1	2	0	1	1	2	0	2	4	1	0	3					
		0.14%	0.07%	0.15%	0.0%	0.08%	0.10%	0.17%	0.0%	0.16%	0.29%	0.08%	0.0%	0.77%					
32	"15. ""Партия СЛОН"""	16	1	2	1	1	0	4	1	2	0	4	0	0					
		0.13%	0.07%	0.15%	0.10%	0.08%	0.0%	0.35%	0.14%	0.16%	0.0%	0.32%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	845	97	87	79	89	53	89	47	67	114	105	6	12					
		7.17%	7.44%	6.87%	8.45%	7.46%	5.66%	7.84%	6.89%	5.48%	8.32%	8.4%	5.66%	3.11%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	18	2	2	0	0	1	3	0	6	1	0	1	2					
		0.15%	0.15%	0.15%	0.0%	0.0%	0.10%	0.26%	0.0%	0.49%	0.07%	0.0%	0.94%	0.51%					
35	"18. ""ЛДПР"""	1674	149	179	176	180	144	134	114	161	212	155	13	57					
		14.21%	11.43%	14.15%	18.84%	15.10%	15.40%	11.80%	16.71%	13.18%	15.47%	12.4%	12.26%	14.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	219	20	18	21	27	9	18	11	25	22	22	3	23					
		1.85%	1.53%	1.42%	2.24%	2.26%	0.96%	1.58%	1.61%	2.04%	1.60%	1.76%	2.83%	5.97%					
37	"20. ""Политическая партия ""Единая Россия"""	3863	385	361	265	384	356	450	213	439	436	418	30	126					
		32.79%	29.54%	28.53%	28.37%	32.21%	38.07%	39.64%	31.23%	35.95%	31.82%	33.44%	28.30%	32.72%					
38	"21. ""Российская Конституционно-демократическая партия"""	29	3	4	4	2	6	4	2	1	1	1	0	1					
		0.24%	0.23%	0.31%	0.42%	0.16%	0.64%	0.35%	0.29%	0.08%	0.07%	0.08%	0.0%	0.25%					
39	"22. ""Развитие предпринимательства"""	28	1	3	3	3	3	4	1	5	2	2	1	0					
		0.23%	0.07%	0.23%	0.32%	0.25%	0.32%	0.35%	0.14%	0.40%	0.14%	0.16%	0.94%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1776	226	235	131	161	123	157	97	177	206	157	20	86					
		15.07%	17.34%	18.57%	14.02%	13.50%	13.15%	13.83%	14.22%	14.49%	15.03%	12.56%	18.86%	22.33%					
																			
41	Против всех	491	61	55	45	57	44	44	25	48	34	57	6	15					
		4.16%	4.68%	4.34%	4.81%	4.78%	4.70%	3.87%	3.66%	3.93%	2.48%	4.56%	5.66%	3.89%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
