Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Канашская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301					
1	"Число избирателей, внесенных в список избирателей"	28535	826	860	590	109	267	318	497	199	154	206	431	258	104	548	359	260	2191	379	161	666	483	93	120	693	145	151	416	238	138	133	78	391	216	233	200	252	217	554	223	276	174	195	836	927	202	1011	524	345	960	314	358	371	229	693	448	751	269	253	319	236	528	254	733	215	516	258	384	384	485	219	511					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27620	770	830	550	100	250	300	460	190	160	210	430	240	100	530	350	240	2100	370	150	650	500	90	120	670	140	150	410	240	140	140	80	380	210	220	210	260	230	540	220	260	180	210	810	900	190	940	500	340	930	300	340	340	200	690	430	720	250	240	330	230	510	240	730	210	500	240	370	370	490	210	490					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17788	469	507	370	78	169	200	295	132	107	106	209	195	78	380	264	182	1451	250	109	395	338	62	91	439	89	105	233	161	92	78	63	225	116	123	142	163	178	365	124	205	130	94	495	521	130	598	331	199	601	213	206	189	133	434	282	476	162	164	227	180	341	159	488	131	322	129	229	220	264	128	274					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1463	107	23	27	10	10	21	8	10	5	11	27	15	5	20	11	14	24	25	3	21	27	0	10	48	11	13	19	11	8	6	4	15	18	28	13	16	9	36	16	10	11	44	50	47	15	30	25	24	20	16	30	29	16	25	11	46	24	23	20	21	34	19	18	8	18	14	11	5	27	21	46					
6	Число погашенных избирательных бюллетеней	8369	194	300	153	12	71	79	157	48	48	93	194	30	17	130	75	44	625	95	38	234	135	28	19	183	40	32	158	68	40	56	13	140	76	69	55	81	43	139	80	45	39	72	265	332	45	312	144	117	309	71	104	122	51	231	137	198	64	53	83	29	135	62	224	71	160	97	130	145	199	61	170					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1463	107	23	27	10	10	21	8	10	5	11	27	15	5	20	11	14	24	25	3	21	27	0	10	48	11	13	19	11	8	6	4	15	18	28	13	16	9	36	16	10	11	44	50	47	15	30	25	24	20	16	30	29	16	25	11	46	24	23	20	21	34	19	18	8	18	14	11	5	27	21	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17788	469	507	370	78	169	200	295	132	107	106	209	195	78	380	264	182	1451	250	109	395	338	62	91	439	89	105	233	161	92	78	63	225	116	123	142	163	178	365	124	205	130	94	495	521	130	598	331	199	601	213	206	189	133	434	282	476	162	164	227	180	341	159	488	131	322	129	229	220	264	128	274					
9	Число недействительных избирательных бюллетеней	708	20	18	21	8	8	8	17	11	5	2	5	12	3	8	7	18	27	12	3	19	6	1	1	21	0	4	13	8	0	6	10	2	13	5	9	7	9	11	10	12	0	3	18	6	2	20	7	5	28	2	9	8	6	19	14	16	4	10	7	6	15	7	31	4	24	12	13	1	18	5	8					
10	Число действительных избирательных бюллетеней	18543	556	512	376	80	171	213	286	131	107	115	231	198	80	392	268	178	1448	263	109	397	359	61	100	466	100	114	239	164	100	78	57	238	121	146	146	172	178	390	130	203	141	135	527	562	143	608	349	218	593	227	227	210	143	440	279	506	182	177	240	195	360	171	475	135	316	131	227	224	273	144	312					
