Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																															
Дата голосования: 02.12.2007																																																																															
																																																																															
Наименование Избирательной комиссии:    Канашская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299					
1	"Число избирателей, внесенных в списки избирателей"	29277	798	845	619	126	266	297	492	199	157	217	408	280	109	541	347	264	2341	403	178	678	579	93	143	735	170	156	437	165	251	145	87	412	219	247	214	276	226	610	235	277	200	225	864	960	198	1073	460	336	872	351	359	412	195	682	471	741	298	274	342	271	525	242	709	214	486	239	384	358	479	219	542	54					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28707	740	807	592	113	254	305	488	207	150	237	426	269	106	525	341	252	2227	395	173	664	534	88	139	733	168	150	424	158	254	148	85	398	214	241	219	273	231	585	233	250	198	220	874	955	194	1039	471	343	873	343	355	396	182	675	457	713	287	266	352	268	533	236	715	221	496	266	372	354	472	210	521	54					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21453	578	569	491	101	193	226	353	146	121	148	276	224	95	419	285	222	1584	280	128	462	498	80	121	468	136	119	327	132	207	120	67	267	124	158	157	195	176	454	181	224	138	146	609	701	157	847	315	220	636	276	226	234	136	449	296	558	189	198	271	216	368	176	556	168	356	172	324	307	416	172	460	48					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2176	43	23	37	6	19	15	17	15	9	17	31	18	8	38	33	16	167	9	4	30	33	5	7	89	17	20	14	10	12	8	6	22	31	49	22	22	19	28	21	20	12	36	70	151	18	63	50	33	48	23	47	40	15	21	16	70	32	28	40	21	43	22	40	8	41	26	28	20	39	26	33	6					
6	Число погашенных избирательных бюллетеней	5078	119	215	64	6	42	64	118	46	20	72	119	27	3	68	23	14	476	106	41	172	3	3	11	176	15	11	83	16	35	20	12	109	59	34	40	56	36	103	31	6	48	38	195	103	19	129	106	90	189	44	82	122	31	205	145	85	66	40	41	31	122	38	119	45	99	68	20	27	17	12	28	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2176	43	23	37	6	19	15	17	15	9	17	31	18	8	38	33	16	167	9	4	30	33	5	7	89	17	20	14	10	12	8	6	22	31	49	22	22	19	28	21	20	12	36	70	151	18	63	50	33	48	23	47	40	15	21	16	70	32	28	40	21	43	22	40	8	41	26	28	20	39	26	33	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21453	578	569	491	101	193	226	353	146	121	148	276	224	95	419	285	222	1584	280	128	462	498	80	121	468	136	119	327	132	207	120	67	267	124	158	157	195	176	454	181	224	138	146	609	701	157	847	315	220	636	276	226	234	136	449	296	558	189	198	271	216	368	176	556	168	356	172	324	307	416	172	460	48					
9	Число недействительных избирательных бюллетеней	417	10	7	13	2	9	1	7	6	1	4	3	7	0	5	0	1	17	2	2	14	42	0	0	12	2	5	5	0	3	4	2	1	1	1	2	3	4	24	4	5	1	2	11	35	0	4	2	2	11	5	3	4	6	14	11	16	1	4	8	3	0	3	3	1	12	5	1	1	12	2	3	0					
10	Число действительных избирательных бюллетеней	23212	611	585	515	105	203	240	363	155	129	161	304	235	103	452	318	237	1734	287	130	478	489	85	128	545	151	134	336	142	216	124	71	288	154	206	177	214	191	458	198	239	149	180	668	817	175	906	363	251	673	294	270	270	145	456	301	612	220	222	303	234	411	195	593	175	385	193	351	326	443	196	490	54					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1688	30	40	20	10	20	18	30	10	10	20	30	10	0	41	27	10	134	20	10	24	30	10	13	35	20	10	30	10	24	13	8	20	10	10	18	10	13	30	12	10	9	10	50	43	10	50	30	30	38	20	20	11	10	30	30	40	20	10	25	16	48	20	52	19	40	23	30	20	30	10	39	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1688	30	40	20	10	20	18	30	10	10	20	30	10	0	41	27	10	134	20	10	24	30	10	13	35	20	10	30	10	24	13	8	20	10	10	18	10	13	30	12	10	9	10	50	43	10	50	30	30	38	20	20	11	10	30	30	40	20	10	25	16	48	20	52	19	40	23	30	20	30	10	39	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	601	32	8	11	7	4	3	11	0	2	7	10	5	4	11	3	2	53	8	4	8	49	5	6	7	3	2	7	4	4	4	2	6	5	8	5	3	5	13	5	19	2	4	7	4	7	53	6	4	7	3	5	10	5	12	8	11	5	6	8	7	3	6	14	5	9	3	5	6	9	1	8	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	462	20	3	2	5	1	3	3	0	1	6	4	1	0	13	12	1	19	0	3	23	21	8	2	6	0	0	2	0	4	2	0	5	19	2	10	3	12	0	2	2	4	2	2	10	0	8	10	4	3	2	5	15	2	9	3	17	6	6	6	4	2	11	18	3	30	0	0	22	32	0	6	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
18	1.Политическая партия «Аграрная партия России»	317	6	11	3	2	8	1	8	6	3	2	2	2	3	7	4	3	24	6	1	5	3	0	0	13	4	7	0	0	3	1	0	1	1	0	5	2	2	10	2	1	2	4	2	1	1	7	2	1	16	6	0	3	2	10	12	4	3	7	3	6	12	3	7	1	9	2	7	5	2	5	10	0					
		1.34%	0.97%	1.86%	0.57%	1.87%	3.77%	0.41%	2.16%	3.73%	2.31%	1.21%	0.65%	0.83%	2.91%	1.53%	1.26%	1.26%	1.37%	2.08%	0.76%	1.02%	0.56%	0.00%	0.00%	2.33%	2.61%	5.04%	0.00%	0.00%	1.37%	0.78%	0.00%	0.35%	0.65%	0.00%	2.79%	0.92%	1.03%	2.07%	0.99%	0.41%	1.33%	2.20%	0.29%	0.12%	0.57%	0.77%	0.55%	0.40%	2.34%	2.01%	0.00%	1.09%	1.32%	2.13%	3.85%	0.64%	1.36%	3.10%	0.96%	2.53%	2.92%	1.52%	1.17%	0.57%	2.27%	1.01%	1.99%	1.53%	0.44%	2.53%	2.03%	0.00%					
