Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Соликамская районная																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №4701	УИК №4703	УИК №4704	УИК №4705	УИК №4708	УИК №4709	УИК №4710	УИК №4712	УИК №4714	УИК №4715	УИК №4717	УИК №4719	УИК №4720	УИК №4721	УИК №4724	УИК №4725									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11181	481	440	409	1137	574	330	347	1293	570	1442	291	818	1038	1189	356	466									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9600	400	350	350	1000	500	250	300	1100	500	1250	250	700	900	1050	300	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	158	2	0	29	32	0	0	5	3	0	0	0	10	77	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4728	298	155	144	428	279	178	149	573	209	572	126	373	387	492	190	175									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	361	9	53	10	30	52	3	6	21	13	42	3	25	27	48	10	9									
6	Число погашенных избирательных бюллетеней	4353	91	142	167	510	169	69	140	503	278	636	121	292	409	510	100	216									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	519	11	53	39	62	52	3	11	24	13	42	3	35	104	48	10	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4728	298	155	144	428	279	178	149	573	209	572	126	373	387	492	190	175									
9	Число недействительных избирательных бюллетеней	191	1	7	1	12	14	7	10	22	12	32	3	23	14	17	9	7									
10	Число действительных избирательных бюллетеней	5056	308	201	182	478	317	174	150	575	210	582	126	385	477	523	191	177									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	335	20	20	20	30	20	10	15	30	20	30	10	20	30	30	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	93	8	0	5	14	7	0	10	5	0	10	2	2	5	10	2	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	194	2	2	8	51	19	23	2	27	6	3	1	29	9	3	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	242	12	20	15	16	13	10	5	25	20	20	8	18	25	20	8	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	0	0	1	2	0	0	1	0	3	0	4	2	0	5	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	1	0	6	1	4	4	5	2	4	5	2	0	5	4	1	1									
		0.86%	0.32%	0.00%	3.28%	0.20%	1.21%	2.21%	3.13%	0.34%	1.80%	0.81%	1.55%	0.00%	1.02%	0.74%	0.50%	0.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	126	2	2	7	13	10	4	4	14	10	15	2	11	10	13	9	0									
		2.40%	0.65%	0.96%	3.83%	2.65%	3.02%	2.21%	2.50%	2.35%	4.50%	2.44%	1.55%	2.70%	2.04%	2.41%	4.50%	0.00%									
