Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Фурмановская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324					
1	"Число избирателей, внесенных в список"	38286	1550	1425	2780	2857	1301	1542	1832	1723	1504	1273	2868	2821	1535	1262	2725	1396	1480	927	1221	246	299	582	362	397	535	356	585	189	234	479					
2	Число полученных избирательных бюллетеней	36042	1500	1300	2600	2600	1250	1500	1700	1600	1400	1200	2700	2650	1450	1200	2600	1300	1400	900	1200	240	290	550	340	370	500	330	530	192	220	430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17057	594	648	1295	1291	525	738	908	781	704	573	1238	1336	751	630	1234	638	558	488	559	8	147	213	97	174	99	130	333	120	88	159					
5	"Число избирательных бюллетеней, выданных вне помещения"	2474	110	82	79	63	78	49	16	52	81	40	47	88	99	106	57	34	80	21	162	176	81	176	91	47	207	81	19	32	69	151					
6	Число погашенных избирательных бюллетеней	16511	796	570	1226	1246	647	713	776	767	615	587	1415	1226	600	464	1309	628	762	391	479	56	62	161	152	149	194	119	178	40	63	120					
7	Число избирательных бюллетеней в переносных ящиках	2474	110	82	79	63	78	49	16	52	81	40	47	88	99	106	57	34	80	21	162	176	81	176	91	47	207	81	19	32	69	151					
8	Число бюллетеней в стационарных ящиках для голосования	17056	594	648	1295	1291	525	738	908	780	704	573	1238	1336	751	630	1234	638	558	488	559	8	147	213	97	174	99	130	333	120	88	159					
9	Число недействительных избирательных бюллетеней	132	6	10	13	8	5	9	6	6	6	5	2	9	16	2	11	2	1	1	4	0	1	2	0	2	0	1	4	0	0	0					
10	Число действительных избирательных бюллетеней	19398	698	720	1361	1346	598	778	918	826	779	608	1283	1415	834	734	1280	670	637	508	717	184	227	387	188	219	306	210	348	152	157	310					
11	Число полученных открепительных  удостоверений	470	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	100	1	2	9	9	7	5	0	5	3	0	7	8	1	6	7	6	1	5	8	0	3	1	0	1	3	0	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	117	2	5	10	4	4	3	3	14	5	2	3	11	4	6	6	1	9	2	2	0	2	4	2	3	3	0	1	2	2	2					
14	Число неиспользованных открепительных удостоверений	370	19	18	11	11	13	15	20	15	17	20	13	12	19	14	13	14	19	5	2	10	7	9	10	9	7	10	9	10	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	725	17	16	69	70	29	24	44	20	24	42	58	54	39	40	40	17	30	21	9	4	8	3	5	8	6	6	6	2	5	9					
		3.71%	2.41%	2.19%	5.02%	5.17%	4.81%	3.05%	4.76%	2.40%	3.06%	6.85%	4.51%	3.79%	4.59%	5.43%	3.10%	2.53%	4.70%	4.13%	1.25%	2.17%	3.51%	0.77%	2.66%	3.62%	1.96%	2.84%	1.70%	1.32%	3.18%	2.90%					
19	. Малышкин Олег Александрович	539	15	19	10	43	18	33	30	34	32	10	32	37	31	20	27	20	11	17	17	3	3	11	4	12	13	0	6	12	13	6					
		2.76%	2.13%	2.60%	0.73%	3.18%	2.99%	4.19%	3.25%	4.09%	4.08%	1.63%	2.49%	2.60%	3.65%	2.72%	2.09%	2.98%	1.72%	3.34%	2.36%	1.63%	1.32%	2.83%	2.13%	5.43%	4.25%	0.00%	1.70%	7.89%	8.28%	1.94%					
20	. Миронов Сергей Михайлович	163	3	5	8	10	9	7	10	3	7	7	11	12	5	18	9	1	3	7	3	2	1	5	2	1	5	1	2	3	2	1					
		0.83%	0.43%	0.68%	0.58%	0.74%	1.49%	0.89%	1.08%	0.36%	0.89%	1.14%	0.86%	0.84%	0.59%	2.45%	0.70%	0.15%	0.47%	1.38%	0.42%	1.09%	0.44%	1.29%	1.06%	0.45%	1.63%	0.47%	0.57%	1.97%	1.27%	0.32%					
21	. Путин Владимир Владимирович	13005	504	491	881	896	397	503	631	588	539	391	873	925	528	423	934	467	424	319	442	110	169	256	134	159	233	156	238	80	90	224					
		66.59%	71.59%	67.26%	64.12%	66.17%	65.84%	63.91%	68.29%	70.67%	68.66%	63.78%	67.94%	64.96%	62.12%	57.47%	72.35%	69.49%	66.46%	62.67%	61.30%	59.78%	74.12%	65.81%	71.28%	71.95%	76.14%	73.93%	67.61%	52.63%	57.32%	72.26%					
22	. Хакамада Ирина Муцуовна	412	13	14	37	25	11	27	22	24	9	10	36	44	17	19	27	8	13	5	9	9	4	4	4	5	5	3	1	2	0	5					
		2.11%	1.85%	1.92%	2.69%	1.85%	1.82%	3.43%	2.38%	2.88%	1.15%	1.63%	2.80%	3.09%	2.00%	2.58%	2.09%	1.19%	2.04%	0.98%	1.25%	4.89%	1.75%	1.03%	2.13%	2.26%	1.63%	1.42%	0.28%	1.32%	0.00%	1.61%					
23	. Харитонов Николай Михайлович	3809	127	161	317	236	114	160	140	124	149	134	208	251	172	182	184	135	135	112	227	52	34	94	39	17	36	33	88	46	41	61					
		19.50%	18.04%	22.05%	23.07%	17.43%	18.91%	20.33%	15.15%	14.90%	18.98%	21.86%	16.19%	17.63%	20.24%	24.73%	14.25%	20.09%	21.16%	22.00%	31.48%	28.26%	14.91%	24.16%	20.74%	7.69%	11.76%	15.64%	25.00%	30.26%	26.11%	19.68%					
																																					
24	Против всех	745	19	14	39	66	20	24	41	33	19	14	65	92	42	32	59	22	21	27	10	4	8	14	0	17	8	11	7	7	6	4					
		3.81%	2.70%	1.92%	2.84%	4.87%	3.32%	3.05%	4.44%	3.97%	2.42%	2.28%	5.06%	6.46%	4.94%	4.35%	4.57%	3.27%	3.29%	5.30%	1.39%	2.17%	3.51%	3.60%	0.00%	7.69%	2.61%	5.21%	1.99%	4.61%	3.82%	1.29%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
