Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																														
Дата голосования: 02.12.2007																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Тайшетская																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200					
1	"Число избирателей, внесенных в списки избирателей"	57115	41	835	297	194	602	179	150	236	146	328	683	195	284	126	655	326	19	899	911	44	608	837	183	271	178	155	486	246	158	853	880	268	136	627	368	118	129	418	1062	1020	357	125	196	77	342	222	383	271	657	931	358	473	1391	1122	1185	1203	1160	365	839	718	816	826	900	1871	1417	1478	869	486	1000	1443	1045	1498	1069	1966	1319	1119	309	708	1105	961	1374	763	150	726	1120	2001	250					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	56302	41	850	292	195	580	176	150	242	139	322	728	227	272	111	639	323	61	880	914	44	585	801	177	267	170	154	477	247	155	857	857	274	136	632	371	117	111	359	1039	1008	361	139	192	73	335	222	374	245	645	879	360	472	1442	1078	1289	1283	1255	351	864	756	808	818	884	1806	1408	1494	812	455	983	1457	984	1422	1002	1907	1318	1026	287	678	985	1006	1301	708	133	847	1021	1907	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33762	41	417	225	168	449	105	107	146	115	226	419	142	202	102	459	184	19	581	654	43	511	509	150	252	165	135	421	219	127	521	488	218	127	407	237	65	77	241	770	739	270	117	147	69	238	165	243	189	373	552	343	288	708	537	659	585	513	242	348	456	442	438	494	892	846	954	458	272	625	930	560	827	717	1159	840	590	116	271	640	506	680	380	91	342	517	950	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3056	0	85	15	0	30	34	11	39	5	43	64	10	16	0	31	13	0	28	31	0	48	34	17	0	0	0	13	24	16	35	59	23	6	64	37	10	8	68	48	16	22	0	12	3	79	31	18	3	70	78	4	64	146	36	75	65	159	24	71	39	26	42	26	52	41	24	23	7	14	22	23	76	10	51	31	20	5	28	28	38	54	25	4	45	65	46	250					
6	Число погашенных избирательных бюллетеней	19484	0	348	52	27	101	37	32	57	19	53	245	75	54	9	149	126	42	271	229	1	26	258	10	15	5	19	43	4	12	301	310	33	3	161	97	42	26	50	221	253	69	22	33	1	18	26	113	53	202	249	13	120	588	505	555	633	583	85	445	261	340	338	364	862	521	516	331	176	344	505	401	519	275	697	447	416	166	379	317	462	567	303	38	460	439	911	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3056	0	85	15	0	30	34	11	39	5	43	64	10	16	0	31	13	0	28	31	0	48	34	17	0	0	0	13	24	16	35	59	23	6	64	37	10	8	68	48	16	22	0	12	3	79	31	18	3	70	78	4	64	146	36	75	65	159	24	71	39	26	42	26	52	41	24	23	7	14	22	23	76	10	51	31	20	5	28	28	38	54	25	4	45	65	46	250					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33744	41	417	225	168	449	105	107	146	115	226	419	142	202	102	459	184	19	581	654	43	511	509	150	252	165	135	421	219	127	521	488	218	127	407	237	65	77	241	770	739	270	117	147	69	238	165	243	189	373	552	343	288	708	537	659	585	513	242	348	456	442	438	494	892	846	937	458	272	625	930	560	827	717	1159	840	590	116	271	640	506	680	379	91	342	517	950	0					
9	Число недействительных избирательных бюллетеней	572	1	17	0	5	5	4	5	13	3	3	15	2	6	3	10	4	0	23	2	0	10	5	0	1	0	0	9	4	1	7	7	5	1	10	6	2	0	6	9	10	4	0	0	0	7	0	0	5	1	20	19	3	8	7	5	7	16	5	5	12	2	8	3	12	16	19	9	9	11	7	9	12	5	9	14	8	1	5	32	6	9	1	1	3	6	16	1					
10	Число действительных избирательных бюллетеней	36228	40	485	240	163	474	135	113	172	117	266	468	150	212	99	480	193	19	586	683	43	549	538	167	251	165	135	425	239	142	549	540	236	132	461	268	73	85	303	809	745	288	117	159	72	310	196	261	187	442	610	328	349	846	566	729	643	656	261	414	483	466	472	517	932	871	942	472	270	628	945	574	891	722	1201	857	602	120	294	636	538	725	403	94	384	576	980	249					
