Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Бобровская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №8001	УИК №8400									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41144	1292	1535	531	1558	1315	1456	1672	1242	1577	1330	744	460	455	669	813	399	89	723	279	51	1319	251	882	1080	1522	866	612	324	1231	1179	855	904	847	881	763	197	215	647	979	1216	1124	1462	804	690	133	142	1696	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63984	1280	1505	530	1570	1305	1450	1682	1225	1565	1350	755	480	470	680	810	420	96	755	300	56	1370	270	910	1095	1555	930	620	330	1215	1165	865	940	880	925	770	210	220	680	1005	1185	1115	1455	800	690	140	160	23365	835									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25511	590	766	331	827	719	763	804	844	503	675	422	318	185	448	548	334	57	439	197	34	624	181	447	803	978	553	429	277	800	856	546	689	605	783	524	105	123	452	744	665	632	844	628	460	55	142	1681	81									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	8035	518	309	63	230	268	154	222	125	231	322	192	115	249	150	151	54	29	260	52	11	493	42	373	140	405	239	98	17	219	109	158	82	166	85	125	65	65	70	200	364	178	295	81	168	78	0	15	0									
6	Число погашенных избирательных бюллетеней	30386	172	430	136	513	318	533	656	256	831	353	141	47	36	82	111	32	10	56	51	11	253	47	90	152	172	138	93	36	196	200	161	169	109	57	121	40	32	158	61	156	305	316	91	62	7	18	21669	702									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	8087	518	309	63	230	268	154	222	125	231	322	192	115	249	150	151	54	29	260	52	11	493	42	373	140	405	239	98	17	219	109	158	82	166	85	125	65	65	70	200	364	178	295	81	168	78	0	15	52									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25508	590	766	331	827	719	763	804	844	503	675	422	318	185	448	548	334	57	436	197	34	624	181	447	803	978	553	429	277	800	856	546	689	605	783	524	105	123	452	744	665	632	844	628	460	55	142	1681	81									
9	Число недействительных избирательных бюллетеней	287	3	4	5	2	0	58	4	0	2	0	3	57	8	10	1	0	0	1	0	0	0	0	4	0	0	5	3	2	0	0	0	8	2	0	0	0	0	5	4	0	4	0	9	1	1	1	80	0									
10	Число действительных избирательных бюллетеней	33308	1105	1071	389	1055	987	859	1022	969	732	997	611	376	426	588	698	388	86	695	249	45	1117	223	816	943	1383	787	524	292	1019	965	704	763	769	868	649	170	188	517	940	1029	806	1139	700	627	132	141	1616	133									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	623	8	11	10	11	12	11	12	10	10	21	10	10	26	10	10	13	5	20	15	5	22	10	15	15	40	27	10	5	9	8	9	20	10	36	10	5	5	9	39	8	20	11	10	10	0	0	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	488	1	4	2	6	2	11	12	3	6	21	0	10	22	10	0	13	5	20	15	5	22	10	15	9	40	27	10	5	9	8	2	20	10	36	10	5	5	6	39	2	10	11	2	7	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	121	2	4	2	4	0	7	2	1	1	4	3	6	9	0	0	0	0	0	2	3	2	0	15	2	5	0	5	0	1	0	0	1	0	2	4	0	1	0	1	5	2	2	3	0	5	12	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	135	7	7	8	5	10	0	0	7	4	0	10	0	4	0	10	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	3	0	6	10	0	8	3	0	0	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	97	3	0	4	4	3	4	3	0	2	2	1	1	0	0	0	2	0	2	1	0	4	0	4	5	13	3	0	0	0	2	2	10	7	7	0	0	0	1	1	3	0	3	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	150	3	4	4	3	7	13	12	0	4	1	0	0	0	2	2	0	0	0	5	0	2	0	12	2	0	3	1	4	2	0	0	3	0	0	3	0	0	4	6	1	2	0	22	0	0	0	16	7									
		0.45%	0.27%	0.37%	1.02%	0.28%	0.71%	1.42%	1.17%	0.00%	0.54%	0.10%	0.00%	0.00%	0.00%	0.33%	0.29%	0.00%	0.00%	0.00%	2.01%	0.00%	0.18%	0.00%	1.46%	0.21%	0.00%	0.38%	0.19%	1.36%	0.20%	0.00%	0.00%	0.39%	0.00%	0.00%	0.46%	0.00%	0.00%	0.77%	0.64%	0.10%	0.25%	0.00%	3.10%	0.00%	0.00%	0.00%	0.94%	5.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	356	11	18	10	5	20	18	36	0	9	2	0	1	4	7	6	0	0	1	5	2	19	1	3	4	0	6	1	5	20	0	4	10	0	19	12	8	1	3	10	2	12	9	34	0	0	0	16	2									
