Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Нижнеудинская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972					
1	"Число избирателей, внесенных в списки"	22012	1248	208	165	247	142	97	115	80	1037	852	581	1136	1214	1031	288	342	574	129	216	111	119	76	525	75	490	160	367	85	458	197	118	265	171	633	259	351	479	915	968	105	93	180	348	270	151	847	315	64	195	240	121	77	824	317	150	152	403	303	128	205					
2	"Число бюллетеней, полученных участковыми комиссиями"	19788	1076	185	144	253	144	97	114	77	900	698	488	983	1063	937	254	298	504	114	185	114	118	92	464	77	441	168	322	88	408	175	122	235	156	541	227	298	406	794	845	103	93	158	309	243	138	765	285	63	175	212	120	77	727	281	132	157	362	385	133	265					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12410	588	143	128	140	73	67	92	65	447	546	314	475	464	497	158	190	335	78	114	66	74	48	367	61	284	114	115	64	248	165	104	167	131	397	182	173	309	452	462	61	63	103	192	196	72	423	222	54	118	158	80	63	419	222	119	115	200	303	125	205					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	596	0	5	0	0	0	1	0	0	53	7	18	20	10	39	0	0	20	4	11	0	6	0	21	2	35	13	70	0	26	0	0	25	4	0	0	4	0	55	19	8	0	19	0	19	8	0	0	0	0	0	9	3	45	0	0	0	17	0	0	0					
6	Число погашенных бюллетеней	6782	488	37	16	113	71	29	22	12	400	145	156	488	589	401	96	108	149	32	60	48	38	44	76	14	122	41	137	24	134	10	18	43	21	144	45	121	97	287	364	34	30	36	117	28	58	342	63	9	57	54	31	11	263	59	13	42	145	82	8	60					
7	Число бюллетеней в переносных ящиках для голосования	596	0	5	0	0	0	1	0	0	53	7	18	20	10	39	0	0	20	4	11	0	6	0	21	2	35	13	70	0	26	0	0	25	4	0	0	4	0	55	19	8	0	19	0	19	8	0	0	0	0	0	9	3	45	0	0	0	17	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	12410	588	143	128	140	73	67	92	65	447	546	314	475	464	497	158	190	335	78	114	66	74	48	367	61	284	114	115	64	248	165	104	167	131	397	182	173	309	452	462	61	63	103	192	196	72	423	222	54	118	158	80	63	419	222	119	115	200	303	125	205					
9	Число недействительных бюллетеней	203	9	0	0	8	4	1	2	0	22	15	0	4	3	2	1	0	15	2	1	6	3	1	4	2	17	0	5	0	5	3	1	1	1	3	0	0	0	10	12	0	0	5	7	3	0	2	1	0	1	1	8	0	4	0	0	0	6	1	0	1					
10	Число действительных бюллетеней	12803	579	148	128	132	69	67	90	65	478	538	332	491	471	534	157	190	340	80	124	60	77	47	384	61	302	127	180	64	269	162	103	191	134	394	182	177	309	497	469	69	63	117	185	212	80	421	221	54	117	157	81	66	460	222	119	115	211	302	125	204					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	242	10	2	2	2	2	2	2	2	10	7	8	11	11	10	3	3	4	2	2	2	2	2	5	2	5	2	3	2	4	3	2	3	3	6	3	4	5	9	10	2	2	3	3	3	2	9	3	2	3	3	2	2	8	3	3	2	4	5	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	0	0	0	0	0	0	0	0	2	0	0	2	3	1	1	3	2	1	2	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	230	10	2	2	2	2	2	2	2	10	7	8	8	11	10	3	3	1	2	2	2	2	2	4	2	5	2	3	2	4	3	2	3	3	5	3	4	5	9	10	2	2	3	3	2	2	7	3	2	3	3	1	2	8	3	3	2	4	5	3	3					
15	Число открепительных удостоверений выданных ТИК	40	2	2	0	0	0	0	0	0	3	1	3	3	2	2	0	1	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	1	2	2	0	0	1	0	0	0	2	0	0	1	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	266	8	4	0	0	5	1	3	1	14	16	9	2	8	2	2	0	7	6	2	3	6	0	0	0	4	5	2	2	10	1	7	2	3	2	5	3	3	13	6	0	2	1	4	5	2	16	4	2	7	6	0	2	6	8	4	4	6	18	0	2					
		2.04%	1.36%	2.70%	0.0%	0.0%	6.84%	1.47%	3.26%	1.53%	2.8%	2.89%	2.71%	0.40%	1.68%	0.37%	1.26%	0.0%	1.97%	7.31%	1.6%	4.54%	7.5%	0.0%	0.0%	0.0%	1.25%	3.93%	1.08%	3.12%	3.64%	0.60%	6.73%	1.04%	2.22%	0.50%	2.74%	1.69%	0.97%	2.56%	1.24%	0.0%	3.17%	0.81%	2.08%	2.32%	2.5%	3.78%	1.80%	3.70%	5.93%	3.79%	0.0%	3.03%	1.29%	3.60%	3.36%	3.47%	2.76%	5.94%	0.0%	0.97%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	90	6	0	2	2	1	1	2	1	3	1	1	5	6	7	0	5	7	2	0	0	0	1	3	0	1	2	3	0	1	0	0	0	1	1	2	1	0	0	2	1	0	1	3	4	0	1	0	0	1	0	1	0	4	0	0	0	1	0	1	2					
