Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    Агинская городская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №908	УИК №909	УИК №910	УИК №911					
1	"Число избирателей, внесенных в список избирателей"	10080	2702	2520	2101	2757					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10620	2771	2600	2300	2949					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5611	1390	1477	1180	1564					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	327	68	98	27	134					
6	Число погашенных избирательных бюллетеней	4682	1313	1025	1093	1251					
7	Число избирательных бюллетеней в переносных ящиках для голосования	327	68	98	27	134					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5611	1390	1477	1180	1564					
9	Число недействительных избирательных бюллетеней	75	21	9	20	25					
10	Число действительных избирательных бюллетеней	5863	1437	1566	1187	1673					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	310	70	90	70	80					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	264	61	88	70	45					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	223	78	79	31	35					
14	Число погашенных неиспользованных открепительных удостоверений	46	9	2	0	35					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	911	220	274	232	185					
		15.34%	15.09%	17.40%	19.22%	10.90%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	449	123	57	81	188					
		7.56%	8.44%	3.62%	6.71%	11.07%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	10	15	9	7					
		0.69%	0.69%	0.95%	0.75%	0.41%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	709	188	196	129	196					
		11.94%	12.89%	12.44%	10.69%	11.54%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	110	31	37	15	27					
		1.85%	2.13%	2.35%	1.24%	1.59%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3601	856	972	711	1062					
		60.64%	58.71%	61.71%	58.91%	62.54%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	42	9	15	10	8					
		0.71%	0.62%	0.95%	0.83%	0.47%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
